gene_symbol,logfc_dz:749,logfc_dz:748,logfc_dz:747,logfc_dz:750,logfc_dz:812,mean_logfc,median_logfc,common_experiment,organism
SELP,,0.012867949903011322,,,,0.012867949903011322,0.012867949903011322,,human
CCDC59,,0.01277653407305479,,,,0.01277653407305479,0.01277653407305479,,human
MAPK6,,0.012760384939610958,,0.022823059931397438,0.01880163513123989,0.018128360000749428,0.01880163513123989,,human
NSA2,,0.012685623951256275,-0.03644324839115143,,-0.04252098128199577,-0.022092868573963642,-0.03644324839115143,-0.03644324839115143,human
TRMT112,,0.012672523967921734,,0.018295815214514732,-0.013183009810745716,0.005928443123896916,0.012672523967921734,,human
TM7SF3,,0.01266487967222929,0.01711866818368435,0.014298513531684875,0.01847246289253235,0.015638631070032716,0.015708590857684612,0.01711866818368435,human
NPIPA1,,0.012626764364540577,0.01612653024494648,,,0.014376647304743528,0.014376647304743528,0.01612653024494648,human
SNHG12,,0.012596567161381245,0.014245943166315556,,,0.0134212551638484,0.0134212551638484,0.014245943166315556,human
MLKL,,0.012581232003867626,,,,0.012581232003867626,0.012581232003867626,,human
CSK,,0.012547780759632587,,,,0.012547780759632587,0.012547780759632587,,human
RPL13AP5,,-0.08595315366983414,-0.1287970244884491,-0.047447044402360916,-0.052372999489307404,-0.07864255551248789,-0.06916307657957077,-0.1287970244884491,human
TUBA1A,,-0.04364992678165436,-0.09177704900503159,-0.12102234363555908,-0.11466693878173828,-0.09277906455099583,-0.10322199389338493,-0.09177704900503159,human
HNRNPA1P10,,-0.04356103762984276,-0.02387879602611065,-0.017700757831335068,-0.03350583463907242,-0.029661606531590223,-0.028692315332591534,-0.02387879602611065,human
NAE1,,-0.03143936023116112,-0.03824988752603531,,,-0.03484462387859821,-0.03484462387859821,-0.03824988752603531,human
HMGN1,,-0.03104184754192829,,-0.02544458955526352,,-0.028243218548595905,-0.028243218548595905,,human
RPS8,,-0.02997610531747341,-0.06700169295072556,-0.05225609615445137,,-0.04974463147421678,-0.05225609615445137,-0.06700169295072556,human
BTBD3,,-0.027308372780680656,-0.01369433756917715,-0.021095408126711845,-0.012659327127039433,-0.01868936140090227,-0.017394872847944498,-0.01369433756917715,human
PXDN,,-0.025697166100144386,,,-0.014865242876112461,-0.020281204488128424,-0.020281204488128424,,human
