gene_symbol,logfc_dz:596,logfc_dz:917,logfc_dz:453,logfc_dz:643,mean_logfc,median_logfc,common_experiment,organism
TIMP1,,0.009961821138858795,,0.03925487399101257,0.024608347564935684,0.024608347564935684,0.009961821138858795,human
UQCR10,,0.009939867071807384,,-0.030858857557177544,-0.01045949524268508,-0.01045949524268508,0.009939867071807384,human
PLA2G10,,0.009862110950052738,,0.011997103691101074,0.010929607320576906,0.010929607320576906,0.009862110950052738,human
CLCA1,,0.009753893129527569,,,0.009753893129527569,0.009753893129527569,0.009753893129527569,human
CES2,,0.009738028049468994,,,0.009738028049468994,0.009738028049468994,0.009738028049468994,human
MT1M,,0.009668052196502686,,,0.009668052196502686,0.009668052196502686,0.009668052196502686,human
PHYH,,0.009659402072429657,,,0.009659402072429657,0.009659402072429657,0.009659402072429657,human
DNAJC15,,0.009636555798351765,,,0.009636555798351765,0.009636555798351765,0.009636555798351765,human
YWHAH,,0.009611784480512142,,,0.009611784480512142,0.009611784480512142,0.009611784480512142,human
UQCRH,,0.009460820816457272,,,0.009460820816457272,0.009460820816457272,0.009460820816457272,human
ATPIF1,,0.009344164282083511,,,0.009344164282083511,0.009344164282083511,0.009344164282083511,human
UGT1A3,,0.00933131854981184,,,0.00933131854981184,0.00933131854981184,0.00933131854981184,human
SNRPG,,0.009290519170463085,,,0.009290519170463085,0.009290519170463085,0.009290519170463085,human
S100A4,,0.009270802140235901,,,0.009270802140235901,0.009270802140235901,0.009270802140235901,human
BACE2,,0.009261002764105797,,0.01477283239364624,0.012016917578876019,0.012016917578876019,0.009261002764105797,human
GPA33,,0.009166890755295753,,0.01513668056577444,0.012151785660535097,0.012151785660535097,0.009166890755295753,human
CASP7,,0.009069002233445644,,,0.009069002233445644,0.009069002233445644,0.009069002233445644,human
PSME2,,0.00900656171143055,,0.03478246554732323,0.02189451362937689,0.02189451362937689,0.00900656171143055,human
SEC13,,0.009000234305858612,,,0.009000234305858612,0.009000234305858612,0.009000234305858612,human
SRP9,,0.008998609147965908,,,0.008998609147965908,0.008998609147965908,0.008998609147965908,human
SPCS1,,0.008971798233687878,,,0.008971798233687878,0.008971798233687878,0.008971798233687878,human
MIR1244-2,,0.008928341791033745,,,0.008928341791033745,0.008928341791033745,0.008928341791033745,human
CNDP2,,0.008924604393541813,,0.024764684960246086,0.01684464467689395,0.01684464467689395,0.008924604393541813,human
ARFGAP3,,0.008902696892619133,,,0.008902696892619133,0.008902696892619133,0.008902696892619133,human
CYP51A1,,0.00884375162422657,,,0.00884375162422657,0.00884375162422657,0.00884375162422657,human
COX7A2,,0.008782444521784782,,,0.008782444521784782,0.008782444521784782,0.008782444521784782,human
CAMK2N1,,0.008745770901441574,,,0.008745770901441574,0.008745770901441574,0.008745770901441574,human
TM4SF20,,0.008727599866688251,,,0.008727599866688251,0.008727599866688251,0.008727599866688251,human
MISP,,0.008601543493568897,,0.03149838000535965,0.020049961749464273,0.020049961749464273,0.008601543493568897,human
NT5E,,0.008518180809915066,,,0.008518180809915066,0.008518180809915066,0.008518180809915066,human
HNRNPA1P10,,0.008414752781391144,,,0.008414752781391144,0.008414752781391144,0.008414752781391144,human
HINT1,,0.008377336896955967,,-0.013633140362799168,-0.0026279017329216003,-0.0026279017329216003,0.008377336896955967,human
SLC25A6,,0.008337359875440598,,-0.02471669390797615,-0.008189667016267776,-0.008189667016267776,0.008337359875440598,human
HSD17B12,,0.00833218451589346,,,0.00833218451589346,0.00833218451589346,0.00833218451589346,human
HMGB1,,0.008320687338709831,,,0.008320687338709831,0.008320687338709831,0.008320687338709831,human
TUBA1B,,0.008287856355309486,,0.01886811852455139,0.013577987439930439,0.013577987439930439,0.008287856355309486,human
KPNA2,,0.008115358650684357,,,0.008115358650684357,0.008115358650684357,0.008115358650684357,human
C14orf2,,0.008046410046517849,,,0.008046410046517849,0.008046410046517849,0.008046410046517849,human
H2AFZ,,0.008041285909712315,,,0.008041285909712315,0.008041285909712315,0.008041285909712315,human
SEC11A,,0.00802373792976141,,,0.00802373792976141,0.00802373792976141,0.00802373792976141,human
PPP1CC,,0.007999124936759472,,,0.007999124936759472,0.007999124936759472,0.007999124936759472,human
LAPTM4B,,0.007978101260960102,,0.013425981625914574,0.010702041443437338,0.010702041443437338,0.007978101260960102,human
CTSS,,0.00795047078281641,,,0.00795047078281641,0.00795047078281641,0.00795047078281641,human
YBX1,,0.007950452156364918,,,0.007950452156364918,0.007950452156364918,0.007950452156364918,human
GDI2,,0.00791812315583229,,,0.00791812315583229,0.00791812315583229,0.00791812315583229,human
ADD3,,0.00789928063750267,,,0.00789928063750267,0.00789928063750267,0.00789928063750267,human
PRDX4,,0.007838096469640732,,-0.012800967320799828,-0.002481435425579548,-0.002481435425579548,0.007838096469640732,human
VILL,,0.007799819111824036,,0.015122652053833008,0.011461235582828522,0.011461235582828522,0.007799819111824036,human
NANS,,0.007769822608679533,,,0.007769822608679533,0.007769822608679533,0.007769822608679533,human
IGHV4-31,,0.007759616244584322,,0.07872152328491211,0.043240569764748216,0.043240569764748216,0.007759616244584322,human
RAB1A,,0.007693788502365351,,,0.007693788502365351,0.007693788502365351,0.007693788502365351,human
AKR7A3,,0.007534423377364874,,,0.007534423377364874,0.007534423377364874,0.007534423377364874,human
CRIP1,,0.007501107174903154,,0.024710427969694138,0.016105767572298646,0.016105767572298646,0.007501107174903154,human
COL1A2,,0.007500139530748129,,0.02856431156396866,0.018032225547358394,0.018032225547358394,0.007500139530748129,human
LAP3,,0.007498375605791807,,,0.007498375605791807,0.007498375605791807,0.007498375605791807,human
RGS5,,0.007484684232622385,,,0.007484684232622385,0.007484684232622385,0.007484684232622385,human
ERH,,0.007478491403162479,,,0.007478491403162479,0.007478491403162479,0.007478491403162479,human
SPRR2B,,-0.19232502579689026,-0.010893438011407852,,-0.10160923190414906,-0.10160923190414906,-0.19232502579689026,human
FABP5,,-0.1292704939842224,,,-0.1292704939842224,-0.1292704939842224,-0.1292704939842224,human
S100A7,,-0.10352978855371475,,0.12310533970594406,0.009787775576114655,0.009787775576114655,-0.10352978855371475,human
HOPX,,-0.07494542747735977,,-0.032404541969299316,-0.053674984723329544,-0.053674984723329544,-0.07494542747735977,human
LY6D,,-0.06276509910821915,-0.010044457390904427,,-0.03640477824956179,-0.03640477824956179,-0.06276509910821915,human
RLIM,,-0.05197126418352127,,-0.043845485895872116,-0.04790837503969669,-0.04790837503969669,-0.05197126418352127,human
