gene_symbol,logfc_dz:392,logfc_dz:978,logfc_dz:148,logfc_dz:602,logfc_dz:24,logfc_dz:52,logfc_dz:39,logfc_dz:478,logfc_dz:448,logfc_dz:504,logfc_dz:11,mean_logfc,median_logfc,common_experiment,organism
PSMB3,,0.04454297199845314,-0.012042577378451824,,0.03245609626173973,,,,,-0.047095708549022675,,0.004465195583179593,0.010206759441643953,,human
TFF1,,0.0438748300075531,-0.011348160915076733,,,,,,-0.022261179983615875,,,0.0034218297029534974,-0.011348160915076733,,human
MIR21,,0.04345538094639778,,0.0872545912861824,0.018256817013025284,,,,-0.024208197370171547,,,0.03118964796885848,0.030856098979711533,,human
MIF,,0.04330411180853844,-0.047953277826309204,0.04252031072974205,0.04028218984603882,,,,,,,0.019538333639502525,0.041401250287890434,,human
HSPA8,,0.043282702565193176,0.013002454303205013,,0.05114832520484924,,,-0.021260209381580353,-0.023515429347753525,0.04874064028263092,,0.018566413937757414,0.028142578434199095,,human
AGR2,,0.042907122522592545,-0.07722357660531998,,,,,,0.017322082072496414,,,-0.005664790670077006,0.017322082072496414,,human
HLA-B,,0.042518213391304016,0.042051758617162704,,0.03449465334415436,,,,,,,0.039688208450873695,0.042051758617162704,,human
EIF3H,,0.04179012030363083,0.013492581434547901,,0.02492091991007328,,-0.011219491250813007,,-0.018046244978904724,0.0291784405708313,,0.013352720998227596,0.01920675067231059,,human
HLA-A,,0.0417262502014637,-0.03792532533407211,,0.031210225075483322,,0.035992201417684555,,-0.015060686506330967,,,0.0111885329708457,0.031210225075483322,,human
RPS24,,0.04167386144399643,0.01940801925957203,,0.029216891154646873,,,,-0.027963578701019287,-0.06455227732658386,,-0.0004434168338775635,0.01940801925957203,,human
ACOX2,,0.0416562594473362,,,,,,,,-0.01435023546218872,0.01682298071682453,0.01470966823399067,0.01682298071682453,,human
ARL6IP1,,0.041007522493600845,,,0.032806750386953354,,-0.015900125727057457,0.062014032155275345,,,,0.029982044827193022,0.0369071364402771,,human
CXCL9,,0.04028058797121048,0.011327731423079967,0.014775545336306095,0.03273623809218407,,,,,,,0.024780025705695152,0.02375589171424508,,human
UBC,,0.03918898105621338,-0.04856561869382858,-0.017816537991166115,,,,,-0.06371980905532837,-0.17839708924293518,,-0.053862014785408974,-0.04856561869382858,,human
RLIM,,0.03803560137748718,0.05545589327812195,,0.04938671737909317,,,,-0.04585983604192734,0.04845809563994408,,0.029095294326543807,0.04845809563994408,,human
YWHAZ,,0.03774323686957359,,,0.03719711676239967,,,,-0.015327679924666882,-0.061073947697877884,,-0.0003653184976428747,0.010934718418866396,,human
NDUFB9,,0.03748096898198128,,,0.04930620640516281,,,,,,,0.043393587693572044,0.043393587693572044,,human
DKK1,,0.037127044051885605,,,0.03864744305610657,,,,,-0.12199561297893524,,-0.015407041956981024,0.037127044051885605,,human
CFL1,,0.03650570660829544,-0.17783260345458984,,0.014731080271303654,,,,0.044558268040418625,0.1902533620595932,,0.021643162705004215,0.03650570660829544,,human
DHRS2,,0.034017663449048996,-0.011868408881127834,,-0.01666804403066635,,,,,,,0.0018270701790849369,-0.011868408881127834,,human
EPCAM,,0.033106110990047455,,,0.0674610584974289,,,,-0.03376981243491173,,,0.022265785684188206,0.033106110990047455,,human
HIF1A,,0.03288381174206734,0.01808486506342888,,0.016331195831298828,,,-0.025835370644927025,-0.010305546224117279,,,0.006231791153550148,0.016331195831298828,,human
GGCT,,0.032701220363378525,,,0.018793947994709015,,,,,,,0.02574758417904377,0.02574758417904377,,human
RAD21,,0.03268638253211975,,,0.03180146589875221,,,,,,,0.03224392421543598,0.03224392421543598,,human
HIST1H2BK,,0.03246203064918518,,,0.02942044846713543,,,0.035914793610572815,0.010439874604344368,,,0.027059286832809448,0.030941239558160305,,human
DDIT4,,0.03205051273107529,,,0.02853487804532051,,0.03159623593091965,,0.07711337506771088,,,0.04232375044375658,0.03182337433099747,,human
MALAT1,,0.03192472457885742,,-0.01362080778926611,0.016965778544545174,,,,,,-0.03333651274442673,0.0004832956474274397,0.001672485377639532,,human
CHCHD2,,0.03173387423157692,0.011468027718365192,,,,,,,-0.03573218360543251,,0.002489906114836534,0.011468027718365192,,human
USMG5,,0.031108291819691658,,0.032932233065366745,0.047418221831321716,,,-0.020093999803066254,,,,0.022841186728328466,0.0320202624425292,,human
LASP1,,0.030839834362268448,,,0.02056378312408924,,,,,-0.015636995434761047,,0.011922207350532213,0.02056378312408924,,human
MIR1244-2,,0.030783584341406822,,,0.03341439738869667,,,,-0.04073231294751167,,,0.007821889594197273,0.030783584341406822,,human
CA2,,0.030744709074497223,,,0.030948063358664513,,0.015962794423103333,,,,,0.025885188952088356,0.030744709074497223,,human
DNAJC1,,0.030354421585798264,,,0.010519306175410748,,,,,,,0.020436863880604506,0.020436863880604506,,human
PRSS2,,0.03017287887632847,,,0.024114426225423813,,,,,,,0.02714365255087614,0.02714365255087614,,human
PSMD3,,0.03010893426835537,,,,,,-0.020517732948064804,,,,0.004795600660145283,0.004795600660145283,,human
PTGES3,,0.029672954231500626,-0.0199997890740633,,0.01602805033326149,,,,0.010669032111763954,,0.016932327300310135,0.010660514980554581,0.01602805033326149,,human
SNRPG,,0.02956796996295452,,0.015212551690638065,0.04284731298685074,,,,0.01094422023743391,0.024714019149541855,,0.02465721480548382,0.024714019149541855,,human
NAT1,,0.029428478330373764,,,,,,,,,,0.029428478330373764,0.029428478330373764,,human
CCT3,,0.02913367748260498,,,0.03484538570046425,,-0.012370153330266476,,,-0.014527677558362484,,0.009270308073610067,0.008381762076169252,,human
FTH1P5,,0.029040461406111717,,0.11128389835357666,,,,,,0.02268528752028942,,0.054336549093325935,0.029040461406111717,,human
ISG15,,0.028353922069072723,,0.050623536109924316,0.02761092595756054,0.013017126359045506,,,,-0.05465463921427727,,0.012990174256265164,0.02761092595756054,,human
S100A14,,0.028351711109280586,,,0.01242172159254551,,0.022665079683065414,,,,,0.021146170794963837,0.022665079683065414,,human
HLA-C,,0.027989624068140984,0.015942558646202087,,0.01896866038441658,,,,-0.022478479892015457,,,0.010105590801686049,0.017455609515309334,,human
UQCRQ,,0.027961906045675278,,0.022686099633574486,,,,,,-0.017723115161061287,,0.010974963506062826,0.022686099633574486,,human
PGAP3,,0.027943702414631844,,,,0.010328377597033978,,,,,,0.01913604000583291,0.01913604000583291,,human
COX2,,0.02769049070775509,,-0.048043906688690186,0.03081408143043518,,,,,,,0.0034868884831666946,0.02769049070775509,,human
COL5A2,,0.027625299990177155,0.03876056894659996,0.0982631966471672,0.012982266023755074,,,,,,,0.04440783290192485,0.03319293446838856,,human
