gene_symbol,logfc_dz:397,logfc_dz:306,logfc_dz:652,logfc_dz:653,mean_logfc,median_logfc,common_experiment,organism
GPI,,,0.018505074083805084,,0.018505074083805084,0.018505074083805084,,human
GRN,,,0.01847568340599537,0.02662162110209465,0.02254865225404501,0.02254865225404501,,human
SRSF6,,,0.018468540161848068,,0.018468540161848068,0.018468540161848068,,human
PEA15,,,0.018440857529640198,,0.018440857529640198,0.018440857529640198,,human
DIRC2,,,0.018382340669631958,,0.018382340669631958,0.018382340669631958,,human
SPRED1,,,0.01833706721663475,,0.01833706721663475,0.01833706721663475,,human
NAA50,,,0.018319467082619667,,0.018319467082619667,0.018319467082619667,,human
PPP1CB,,,0.018297871574759483,,0.018297871574759483,0.018297871574759483,,human
LAMP1,,,0.018269453197717667,0.019906092435121536,0.0190877728164196,0.0190877728164196,,human
PAFAH1B1,,,0.018238089978694916,,0.018238089978694916,0.018238089978694916,,human
SCNN1A,,,0.018185891211032867,0.03480416163802147,0.02649502642452717,0.02649502642452717,,human
HNRNPA2B1,,,0.018155820667743683,,0.018155820667743683,0.018155820667743683,,human
HDAC1,,,0.018152782693505287,,0.018152782693505287,0.018152782693505287,,human
GNAQ,,,0.018086295574903488,,0.018086295574903488,0.018086295574903488,,human
OGT,,,0.018066728487610817,,0.018066728487610817,0.018066728487610817,,human
NBR1,,,0.018013928085565567,,0.018013928085565567,0.018013928085565567,,human
GANAB,,,0.018009735271334648,0.01593288592994213,0.01697131060063839,0.01697131060063839,,human
RN7SK,,,0.01796145550906658,,0.01796145550906658,0.01796145550906658,,human
CNDP2,,,0.017957866191864014,,0.017957866191864014,0.017957866191864014,,human
LDB1,,,0.01793244108557701,0.017282944172620773,0.017607692629098892,0.017607692629098892,,human
KLHDC2,,,0.01792748086154461,,0.01792748086154461,0.01792748086154461,,human
SPTAN1,,,0.017842687666416168,0.017771806567907333,0.01780724711716175,0.01780724711716175,,human
PTPLAD1,,,0.017837831750512123,0.01577106863260269,0.016804450191557407,0.016804450191557407,,human
AKT2,,,0.017815422266721725,,0.017815422266721725,0.017815422266721725,,human
SRPR,,,0.017795614898204803,,0.017795614898204803,0.017795614898204803,,human
FNBP1L,,,0.017712924629449844,,0.017712924629449844,0.017712924629449844,,human
HNRNPAB,,,0.017687221989035606,0.016377253457903862,0.017032237723469734,0.017032237723469734,,human
SET,,,0.01767880469560623,,0.01767880469560623,0.01767880469560623,,human
UBAP2L,,,0.01766948401927948,,0.01766948401927948,0.01766948401927948,,human
NONO,,,0.017664456740021706,,0.017664456740021706,0.017664456740021706,,human
PLVAP,,,0.017643077298998833,,0.017643077298998833,0.017643077298998833,,human
TMEM109,,,0.0176406167447567,,0.0176406167447567,0.0176406167447567,,human
MDM2,,,0.01762433722615242,,0.01762433722615242,0.01762433722615242,,human
KDELR2,,,0.017623350024223328,,0.017623350024223328,0.017623350024223328,,human
DUOX1,,,0.017608730122447014,,0.017608730122447014,0.017608730122447014,,human
SPTLC3,,,0.017582667991518974,,0.017582667991518974,0.017582667991518974,,human
PSMB6,,,0.017579052597284317,,0.017579052597284317,0.017579052597284317,,human
MIR555,,,0.01755838468670845,,0.01755838468670845,0.01755838468670845,,human
BNIP3L,,,0.017556212842464447,,0.017556212842464447,0.017556212842464447,,human
REXO1L1P,,,-0.10428610444068909,-0.12872925400733948,-0.11650767922401428,-0.11650767922401428,,human
USP17L9P,,,-0.09448164701461792,-0.1177062839269638,-0.10609396547079086,-0.10609396547079086,,human
ZNF595,,,-0.07000129669904709,-0.08379314094781876,-0.07689721882343292,-0.07689721882343292,,human
RFC1,,,-0.06970172375440598,-0.09409010410308838,-0.08189591392874718,-0.08189591392874718,,human
RN7SL2,,,-0.06478191912174225,-0.06909621506929398,-0.06693906709551811,-0.06693906709551811,,human
SNORD57,,,-0.06052515655755997,-0.06848395615816116,-0.06450455635786057,-0.06450455635786057,,human
USP17L20,,,-0.055413052439689636,-0.05950610712170601,-0.05745957978069782,-0.05745957978069782,,human
USP17L6P,,,-0.04998938739299774,-0.05409487336874008,-0.05204213038086891,-0.05204213038086891,,human
HIST1H1E,,,-0.04669313132762909,-0.04722008854150772,-0.046956609934568405,-0.046956609934568405,,human
UIMC1,,,-0.04658389464020729,-0.04427555203437805,-0.04542972333729267,-0.04542972333729267,,human
LINC00965,,,-0.04536285251379013,-0.049350306391716,-0.04735657945275307,-0.04735657945275307,,human
KRTAP4-7,,,-0.04270244389772415,-0.04043969511985779,-0.04157106950879097,-0.04157106950879097,,human
RPS28,,,-0.0422079935669899,0.02682705968618393,-0.007690466940402985,-0.007690466940402985,,human
KRTAP4-11,,,-0.04125481843948364,-0.038212068378925323,-0.03973344340920448,-0.03973344340920448,,human
HIST1H4C,,,-0.040316224098205566,-0.0385691337287426,-0.03944267891347408,-0.03944267891347408,,human
KRTAP4-9,,,-0.040298253297805786,-0.0371725857257843,-0.038735419511795044,-0.038735419511795044,,human
RNU2-2P,,,-0.04007512331008911,-0.08723936975002289,-0.063657246530056,-0.063657246530056,,human
MT1G,,,-0.039981916546821594,-0.12647880613803864,-0.08323036134243011,-0.08323036134243011,,human
TOB2,,,-0.03556138649582863,-0.030923781916499138,-0.03324258420616388,-0.03324258420616388,,human
SNORD33,,,-0.03507768735289574,-0.07957469671964645,-0.057326192036271095,-0.057326192036271095,,human
GAGE12D,,,-0.03440416604280472,-0.04602181166410446,-0.04021298885345459,-0.04021298885345459,,human
RMRP,,,-0.03419441729784012,-0.03100566379725933,-0.032600040547549725,-0.032600040547549725,,human
RNU4-1,,,-0.03385002166032791,,-0.03385002166032791,-0.03385002166032791,,human
OR7E37P,,,-0.032763466238975525,-0.0418187640607357,-0.037291115149855614,-0.037291115149855614,,human
OR4F29,,,-0.03238604590296745,-0.03400998190045357,-0.03319801390171051,-0.03319801390171051,,human
REXO1L2P,,,-0.03166409581899643,-0.035034094005823135,-0.03334909491240978,-0.03334909491240978,,human
PFN1P2,,,-0.03135257959365845,-0.028387807309627533,-0.02987019345164299,-0.02987019345164299,,human
KRTAP5-7,,,-0.030199000611901283,-0.028988949954509735,-0.02959397528320551,-0.02959397528320551,,human
MGC72080,,,-0.02953750640153885,-0.03589501231908798,-0.032716259360313416,-0.032716259360313416,,human
OR7E5P,,,-0.029094452038407326,-0.03327178210020065,-0.03118311706930399,-0.03118311706930399,,human
RPLP1,,,-0.028885914012789726,,-0.028885914012789726,-0.028885914012789726,,human
HIST1H2BM,,,-0.027684621512889862,-0.01569724828004837,-0.021690934896469116,-0.021690934896469116,,human
SCARNA12,,,-0.027451802045106888,-0.023743748664855957,-0.025597775354981422,-0.025597775354981422,,human
SNORD95,,,-0.027141060680150986,-0.02664124220609665,-0.026891151443123817,-0.026891151443123817,,human
RPS26,,,-0.026722196489572525,-0.018695179373025894,-0.02270868793129921,-0.02270868793129921,,human
MS4A1,,,-0.026621587574481964,,-0.026621587574481964,-0.026621587574481964,,human
HIST2H2BC,,,-0.026514865458011627,-0.025710662826895714,-0.02611276414245367,-0.02611276414245367,,human
