gene_symbol,logfc_dz:925,logfc_dz:927,logfc_dz:926,logfc_dz:928,mean_logfc,median_logfc,common_experiment,organism
UBA2,,-0.010597153566777706,-0.01879739575088024,,-0.014697274658828974,-0.014697274658828974,-0.01879739575088024,human
PNRC1,,-0.010532804764807224,,,-0.010532804764807224,-0.010532804764807224,,human
CHMP5,,-0.010443154722452164,-0.02222791500389576,-0.018712537363171577,-0.017127869029839832,-0.018712537363171577,-0.02222791500389576,human
GSTM2,,-0.010404931381344795,,,-0.010404931381344795,-0.010404931381344795,,human
CLSTN1,,-0.010364573448896408,,,-0.010364573448896408,-0.010364573448896408,,human
MUC15,,-0.010294947773218155,,,-0.010294947773218155,-0.010294947773218155,,human
CLEC2B,,-0.010271325707435608,,,-0.010271325707435608,-0.010271325707435608,,human
HERC2P9,,-0.010257796384394169,,,-0.010257796384394169,-0.010257796384394169,,human
NR1D2,,-0.010224130935966969,,,-0.010224130935966969,-0.010224130935966969,,human
CSDE1,,-0.010122139938175678,,,-0.010122139938175678,-0.010122139938175678,,human
IDE,,-0.010105086490511894,-0.014913534745573997,-0.011202523484826088,-0.01207371490697066,-0.011202523484826088,-0.014913534745573997,human
DMXL1,,-0.010043777525424957,,,-0.010043777525424957,-0.010043777525424957,,human
SMAP1,,-0.010038432665169239,-0.01769760251045227,,-0.013868017587810755,-0.013868017587810755,-0.01769760251045227,human
CRCT1,,-0.010036456398665905,,,-0.010036456398665905,-0.010036456398665905,,human
PPP1R14C,,-0.01002885214984417,,,-0.01002885214984417,-0.01002885214984417,,human
FAM174A,,-0.009962409734725952,-0.017594553530216217,,-0.013778481632471085,-0.013778481632471085,-0.017594553530216217,human
LOC100510519,,-0.009876420721411705,-0.020121175795793533,-0.01849493570625782,-0.01616417740782102,-0.01849493570625782,-0.020121175795793533,human
CDKN1B,,-0.00985886063426733,-0.020455174148082733,,-0.015157017391175032,-0.015157017391175032,-0.020455174148082733,human
HPGD,,-0.009858677163720131,,,-0.009858677163720131,-0.009858677163720131,,human
HOXA10,,-0.009808304719626904,,,-0.009808304719626904,-0.009808304719626904,,human
HADHB,,-0.009806729853153229,,,-0.009806729853153229,-0.009806729853153229,,human
TGFBR3,,-0.009786316193640232,-0.018230261281132698,-0.018114322796463966,-0.015376966757078966,-0.018114322796463966,-0.018230261281132698,human
ARRDC3,,-0.009774906560778618,-0.017675206065177917,-0.014475696720182896,-0.013975269782046476,-0.014475696720182896,-0.017675206065177917,human
SLC25A46,,-0.009773150086402893,-0.017382144927978516,,-0.013577647507190704,-0.013577647507190704,-0.017382144927978516,human
FABP7,,-0.009740025736391544,,,-0.009740025736391544,-0.009740025736391544,,human
UBA3,,-0.009666994214057922,-0.021179212257266045,,-0.015423103235661983,-0.015423103235661983,-0.021179212257266045,human
H1F0,,-0.009666062891483307,-0.014604604803025723,,-0.012135333847254515,-0.012135333847254515,-0.014604604803025723,human
LRP11,,-0.009658657014369965,,-0.011920156888663769,-0.010789406951516867,-0.010789406951516867,,human
TSPYL4,,-0.009601888246834278,-0.016812816262245178,,-0.013207352254539728,-0.013207352254539728,-0.016812816262245178,human
RAPGEFL1,,-0.00959019735455513,,,-0.00959019735455513,-0.00959019735455513,,human
AIM1,,-0.009470531716942787,,,-0.009470531716942787,-0.009470531716942787,,human
PGRMC1,,-0.009422085247933865,0.01946895569562912,,0.005023435223847628,0.005023435223847628,0.01946895569562912,human
GRHL1,,-0.009363910183310509,,,-0.009363910183310509,-0.009363910183310509,,human
MAGED1,,-0.009362874552607536,,,-0.009362874552607536,-0.009362874552607536,,human
RPL31,,-0.009358801878988743,-0.019826535135507584,-0.01476071123033762,-0.014648682748277983,-0.01476071123033762,-0.019826535135507584,human
EPS8,,-0.009254002012312412,,,-0.009254002012312412,-0.009254002012312412,,human
RAB11A,,-0.009203382767736912,,,-0.009203382767736912,-0.009203382767736912,,human
CSRP1,,,0.040954746305942535,,0.040954746305942535,0.040954746305942535,0.040954746305942535,human
SUPT20H,,,0.03878237307071686,,0.03878237307071686,0.03878237307071686,0.03878237307071686,human
PCP4,,,0.027574876323342323,,0.027574876323342323,0.027574876323342323,0.027574876323342323,human
VAMP8,,,0.025565769523382187,0.015522006899118423,0.020543888211250305,0.020543888211250305,0.025565769523382187,human
CEBPA,,,0.025427130982279778,,0.025427130982279778,0.025427130982279778,0.025427130982279778,human
QARS,,,0.025053976103663445,,0.025053976103663445,0.025053976103663445,0.025053976103663445,human
ELOVL1,,,0.025024253875017166,,0.025024253875017166,0.025024253875017166,0.025024253875017166,human
ACADVL,,,0.024514105170965195,,0.024514105170965195,0.024514105170965195,0.024514105170965195,human
ACOT1,,,0.023986363783478737,,0.023986363783478737,0.023986363783478737,0.023986363783478737,human
UQCRC1,,,0.02357211895287037,0.011380944401025772,0.01747653167694807,0.01747653167694807,0.02357211895287037,human
MYCBP2,,,0.023204678669571877,0.017034592106938362,0.02011963538825512,0.02011963538825512,0.023204678669571877,human
CNN1,,,0.023080352693796158,,0.023080352693796158,0.023080352693796158,0.023080352693796158,human
AACS,,,0.022416234016418457,,0.022416234016418457,0.022416234016418457,0.022416234016418457,human
NPC2,,,0.021428175270557404,,0.021428175270557404,0.021428175270557404,0.021428175270557404,human
PMVK,,,0.02105570025742054,,0.02105570025742054,0.02105570025742054,0.02105570025742054,human
APOC1,,,0.020844196900725365,,0.020844196900725365,0.020844196900725365,0.020844196900725365,human
NUAK1,,,0.020277714356780052,,0.020277714356780052,0.020277714356780052,0.020277714356780052,human
SNHG8,,,0.019930977374315262,-0.012794493697583675,0.0035682418383657932,0.0035682418383657932,0.019930977374315262,human
RNF167,,,0.019217578694224358,,0.019217578694224358,0.019217578694224358,0.019217578694224358,human
UQCRFS1,,,0.019152149558067322,,0.019152149558067322,0.019152149558067322,0.019152149558067322,human
TAGLN,,,0.018864033743739128,,0.018864033743739128,0.018864033743739128,0.018864033743739128,human
RPS12,,,0.018562782555818558,,0.018562782555818558,0.018562782555818558,0.018562782555818558,human
CKMT1A,,,0.01818949729204178,,0.01818949729204178,0.01818949729204178,0.01818949729204178,human
SPINT2,,,0.018097424879670143,,0.018097424879670143,0.018097424879670143,0.018097424879670143,human
CTAGE8,,,0.017975034192204475,,0.017975034192204475,0.017975034192204475,0.017975034192204475,human
