gene_symbol,logfc_dz:377,logfc_dz:743,logfc_dz:746,logfc_dz:738,logfc_dz:737,mean_logfc,median_logfc,common_experiment,organism
SRSF5,0.03670015186071396,0.005500721279531717,,,,0.021100436570122838,0.021100436570122838,0.03670015186071396,human
ATP6V1E1,0.03646673634648323,,,,,0.03646673634648323,0.03646673634648323,0.03646673634648323,human
HERC2,0.03603969141840935,,,,,0.03603969141840935,0.03603969141840935,0.03603969141840935,human
NDUFB11,0.03580532595515251,,0.011943185701966286,,,0.0238742558285594,0.0238742558285594,0.03580532595515251,human
AP2S1,0.035422008484601974,-0.005218307487666607,,,,0.015101850498467684,0.015101850498467684,0.035422008484601974,human
GDI2,0.03378074988722801,-0.017530448734760284,-0.02555736154317856,,-0.016109000891447067,-0.0063540153205394745,-0.016819724813103676,0.03378074988722801,human
CAPZA1,0.033674176782369614,,,,,0.033674176782369614,0.033674176782369614,0.033674176782369614,human
HLA-G,0.03352982923388481,-0.010429736226797104,-0.06430401653051376,,,-0.013734641174475351,-0.010429736226797104,0.03352982923388481,human
SEPT9,0.03339291363954544,,,,,0.03339291363954544,0.03339291363954544,0.03339291363954544,human
GSTP1,0.03305560350418091,,,,,0.03305560350418091,0.03305560350418091,0.03305560350418091,human
TSPO,0.03208710625767708,-0.01121186651289463,,,,0.010437619872391224,0.010437619872391224,0.03208710625767708,human
PPP1CA,0.03198558837175369,-0.018558602780103683,,,,0.006713492795825005,0.006713492795825005,0.03198558837175369,human
PKM,0.03187404200434685,0.013929955661296844,,,,0.022901998832821846,0.022901998832821846,0.03187404200434685,human
HAAO,0.03183632344007492,,,,,0.03183632344007492,0.03183632344007492,0.03183632344007492,human
PSMB8,0.03131841495633125,,,,,0.03131841495633125,0.03131841495633125,0.03131841495633125,human
CAP1,0.03083890490233898,0.018956350162625313,,,,0.024897627532482147,0.024897627532482147,0.03083890490233898,human
TCEB1,0.030696703121066093,,,,,0.030696703121066093,0.030696703121066093,0.030696703121066093,human
CD48,0.030237512663006783,,0.03295471891760826,,,0.03159611579030752,0.03159611579030752,0.030237512663006783,human
HLA-DOB,0.030054312199354172,,,,,0.030054312199354172,0.030054312199354172,0.030054312199354172,human
SLC35D3,0.030053643509745598,,,,,0.030053643509745598,0.030053643509745598,0.030053643509745598,human
SPAG5,0.02995126135647297,,,,,0.02995126135647297,0.02995126135647297,0.02995126135647297,human
LRP10,0.029902683570981026,,,,,0.029902683570981026,0.029902683570981026,0.029902683570981026,human
PPP2R1A,0.0294653233140707,,,,,0.0294653233140707,0.0294653233140707,0.0294653233140707,human
RPS2,0.029201874509453773,,0.025721270591020584,-0.02210768684744835,-0.02477245219051838,0.0020107515156269073,0.0018067918717861176,0.029201874509453773,human
GARS,0.028930986300110817,,,,,0.028930986300110817,0.028930986300110817,0.028930986300110817,human
TOMM7,0.02891627699136734,,,,,0.02891627699136734,0.02891627699136734,0.02891627699136734,human
PSMB3,0.0285339318215847,,0.019261952489614487,,,0.023897942155599594,0.023897942155599594,0.0285339318215847,human
CAPZB,0.02840193547308445,,,,,0.02840193547308445,0.02840193547308445,0.02840193547308445,human
LOC151484,0.02829683944582939,,,,,0.02829683944582939,0.02829683944582939,0.02829683944582939,human
CYSTM1,0.028277317062020302,,,,,0.028277317062020302,0.028277317062020302,0.028277317062020302,human
H2AFZ,0.028006955981254578,,,0.017884401604533195,,0.022945678792893887,0.022945678792893887,0.028006955981254578,human
PSMA4,0.027893053367733955,,0.017043201252818108,,,0.02246812731027603,0.02246812731027603,0.027893053367733955,human
UBE2N,0.027776606380939484,,,,,0.027776606380939484,0.027776606380939484,0.027776606380939484,human
EIF3E,0.027428867295384407,0.01529318280518055,0.01354085560888052,,,0.01875430190314849,0.01529318280518055,0.027428867295384407,human
SASS6,0.027391351759433746,,,,,0.027391351759433746,0.027391351759433746,0.027391351759433746,human
PSMA6,0.027222871780395508,,0.013461840339004993,,,0.02034235605970025,0.02034235605970025,0.027222871780395508,human
YWHAQ,0.02710048109292984,0.010719788260757923,,-0.04633927717804909,-0.0489690788090229,-0.014372021658346057,-0.017809744458645582,0.02710048109292984,human
PLP2,0.02675407938659191,,,,,0.02675407938659191,0.02675407938659191,0.02675407938659191,human
HIST2H2AA3,0.0266200490295887,,,,,0.0266200490295887,0.0266200490295887,0.0266200490295887,human
UBA1,0.026160448789596558,,,,,0.026160448789596558,0.026160448789596558,0.026160448789596558,human
ARHGDIA,0.02614980936050415,,,,,0.02614980936050415,0.02614980936050415,0.02614980936050415,human
GUK1,0.02592131309211254,,,,,0.02592131309211254,0.02592131309211254,0.02592131309211254,human
MRPL53,0.025915682315826416,,,,,0.025915682315826416,0.025915682315826416,0.025915682315826416,human
MTDH,0.025911735370755196,,,,,0.025911735370755196,0.025911735370755196,0.025911735370755196,human
RASSF5,0.025429742410779,-0.0071113938465714455,,,,0.009159174282103777,0.009159174282103777,0.025429742410779,human
HNRNPC,0.025388820096850395,,0.013879119418561459,,,0.019633969757705927,0.019633969757705927,0.025388820096850395,human
IFIT3,0.025185391306877136,,,,,0.025185391306877136,0.025185391306877136,0.025185391306877136,human
LOC100505942,0.025091543793678284,,,,,0.025091543793678284,0.025091543793678284,0.025091543793678284,human
SOWAHA,0.025089293718338013,,,0.021543124690651894,0.036729972809553146,0.02778746373951435,0.025089293718338013,0.025089293718338013,human
SMIM14,0.024894781410694122,,,,,0.024894781410694122,0.024894781410694122,0.024894781410694122,human
COX7B,0.024599868804216385,,,,,0.024599868804216385,0.024599868804216385,0.024599868804216385,human
SNORA62,0.02444293349981308,,,,,0.02444293349981308,0.02444293349981308,0.02444293349981308,human
