gene_symbol,logfc_dz:35,logfc_dz:93,logfc_dz:444,mean_logfc,median_logfc,common_experiment,organism
TCEAL4,,-0.01057183276861906,-0.017577875405550003,-0.014074854087084532,-0.014074854087084532,-0.017577875405550003,human
ALDH3A2,,-0.010538053698837757,-0.027205586433410645,-0.0188718200661242,-0.0188718200661242,-0.027205586433410645,human
AMOTL2,,-0.010531037114560604,,-0.010531037114560604,-0.010531037114560604,,human
EEF2,,-0.01035389956086874,,-0.01035389956086874,-0.01035389956086874,,human
RPSA,,-0.010127190500497818,,-0.010127190500497818,-0.010127190500497818,,human
MXRA5,,-0.010091864503920078,-0.01721198856830597,-0.013651926536113024,-0.013651926536113024,-0.01721198856830597,human
PNRC1,,-0.010060380212962627,,-0.010060380212962627,-0.010060380212962627,,human
SERTAD2,,-0.010059432126581669,,-0.010059432126581669,-0.010059432126581669,,human
CFH,,-0.010025020688772202,-0.036082252860069275,-0.023053636774420738,-0.023053636774420738,-0.036082252860069275,human
ANP32B,,-0.009976347908377647,,-0.009976347908377647,-0.009976347908377647,,human
MUCL1,,-0.00990347284823656,,-0.00990347284823656,-0.00990347284823656,,human
ISOC1,,-0.00970543548464775,,-0.00970543548464775,-0.00970543548464775,,human
SOX9,,-0.009691030718386173,,-0.009691030718386173,-0.009691030718386173,,human
PPAP2B,,-0.009602190926671028,,-0.009602190926671028,-0.009602190926671028,,human
UAP1,,-0.009554906748235226,,-0.009554906748235226,-0.009554906748235226,,human
NEAT1,,-0.009505124762654305,,-0.009505124762654305,-0.009505124762654305,,human
LAMTOR4,,-0.009499510750174522,,-0.009499510750174522,-0.009499510750174522,,human
HNRNPA1,,-0.009477188810706139,,-0.009477188810706139,-0.009477188810706139,,human
FOSB,,-0.009205566719174385,,-0.009205566719174385,-0.009205566719174385,,human
YWHAE,,-0.00909032579511404,,-0.00909032579511404,-0.00909032579511404,,human
DHX15,,-0.00904097966849804,,-0.00904097966849804,-0.00904097966849804,,human
PAPSS1,,-0.00894930213689804,,-0.00894930213689804,-0.00894930213689804,,human
