gene_symbol,logfc_dz:592,logfc_dz:521,logfc_dz:520,logfc_dz:522,logfc_dz:519,logfc_dz:524,logfc_dz:523,mean_logfc,median_logfc,common_experiment,organism
HLA-A,0.058669816702604294,0.08091329783201218,-0.025163238868117332,,-0.01716521382331848,-0.02390921302139759,0.07418891042470932,0.024589059874415398,0.020752301439642906,0.058669816702604294,human
TUBB3,0.057641517370939255,,,,,,,0.057641517370939255,0.057641517370939255,0.057641517370939255,human
IFITM2,0.0572187602519989,,,,,,,0.0572187602519989,0.0572187602519989,0.0572187602519989,human
MT1H,0.05680011585354805,,,,,,,0.05680011585354805,0.05680011585354805,0.05680011585354805,human
MT1X,0.055856071412563324,0.03170883655548096,,,0.06971599161624908,-0.05584371089935303,0.08635526895523071,0.03755849152803421,0.055856071412563324,0.055856071412563324,human
RPL8,0.0541195422410965,-0.02204042859375477,,,-0.04545680433511734,-0.03222009912133217,-0.02231750264763832,-0.01358305849134922,-0.02231750264763832,0.0541195422410965,human
RPLP0,0.05021323263645172,,-0.016837894916534424,,,,,0.01668766885995865,0.01668766885995865,0.05021323263645172,human
NDUFA4,0.049394480884075165,,,,,,,0.049394480884075165,0.049394480884075165,0.049394480884075165,human
ND2,0.049138251692056656,,,,,,,0.049138251692056656,0.049138251692056656,0.049138251692056656,human
RPL12,0.04896173253655434,,,,,,,0.04896173253655434,0.04896173253655434,0.04896173253655434,human
LOC100505584,0.04742487892508507,,,,,,,0.04742487892508507,0.04742487892508507,0.04742487892508507,human
ALDOC,0.04662710800766945,0.038798071444034576,,0.08888238668441772,,,,0.05810252204537392,0.04662710800766945,0.04662710800766945,human
TMSB4XP8,0.04544728621840477,,,,,,,0.04544728621840477,0.04544728621840477,0.04544728621840477,human
COX6A1,0.04532482102513313,-0.03136981278657913,,0.015850134193897247,-0.07855688035488129,,,-0.01218793448060751,-0.007759839296340942,0.04532482102513313,human
FXYD6,0.04497643560171127,,-0.04087572172284126,-0.01803545653820038,,-0.060040950775146484,-0.04744545370340347,-0.024284229427576066,-0.04087572172284126,0.04497643560171127,human
LGALS1,0.044134676456451416,,,,-0.02499437890946865,,,0.009570148773491383,0.009570148773491383,0.044134676456451416,human
RPL35,0.04326283186674118,,,,,,,0.04326283186674118,0.04326283186674118,0.04326283186674118,human
C4orf46,0.04252871870994568,,,,,,,0.04252871870994568,0.04252871870994568,0.04252871870994568,human
MIF,0.04239753633737564,,,,-0.026728356257081032,,,0.007834590040147305,0.007834590040147305,0.04239753633737564,human
GPX1,0.04188135266304016,,,,,,,0.04188135266304016,0.04188135266304016,0.04188135266304016,human
PABPC3,0.04158845171332359,,,,,,,0.04158845171332359,0.04158845171332359,0.04158845171332359,human
COX8A,0.041443970054388046,,,,,-0.026585906744003296,,0.007429031655192375,0.007429031655192375,0.041443970054388046,human
PARK7,0.04083976894617081,,,,,,,0.04083976894617081,0.04083976894617081,0.04083976894617081,human
EDF1,0.03979517146945,,,,,,,0.03979517146945,0.03979517146945,0.03979517146945,human
OAZ1,0.039792194962501526,-0.03371488302946091,-0.052925556898117065,-0.035457007586956024,-0.05274977907538414,-0.04350506141781807,-0.07976347208023071,-0.036903366446495056,-0.04350506141781807,0.039792194962501526,human
RPS25,0.03942083567380905,,,,,,,0.03942083567380905,0.03942083567380905,0.03942083567380905,human
GABARAP,0.039312250912189484,-0.025911454111337662,,0.016057848930358887,-0.05630526319146156,,,-0.006711654365062714,-0.0049268025904893875,0.039312250912189484,human
RPL36,0.039155494421720505,-0.0157676562666893,,,,,,0.011693919077515602,0.011693919077515602,0.039155494421720505,human
CLDN5,0.0377044677734375,,,,,,,0.0377044677734375,0.0377044677734375,0.0377044677734375,human
CUTA,0.03765534609556198,,,,,,,0.03765534609556198,0.03765534609556198,0.03765534609556198,human
TMSB10,0.03754265233874321,-0.054714761674404144,-0.04325749725103378,-0.02872619405388832,-0.09860305488109589,-0.03184009715914726,,-0.03659982544680437,-0.03754879720509052,0.03754265233874321,human
RPS26,0.03752018138766289,-0.018841993063688278,,,-0.027207856997847557,,,-0.0028432228912909827,-0.018841993063688278,0.03752018138766289,human
ATP5B,0.037275660783052444,-0.029778040945529938,-0.04424438998103142,,-0.0358424186706543,-0.018780695274472237,-0.03788270801305771,-0.021542098683615524,-0.03281022980809212,0.037275660783052444,human
COX6B1,0.03718642517924309,-0.022115901112556458,,,-0.017185162752866745,,,-0.0007048795620600382,-0.017185162752866745,0.03718642517924309,human
CCDC92,0.037101712077856064,,,-0.01828376203775406,-0.025458652526140213,,,-0.0022135674953460693,-0.01828376203775406,0.037101712077856064,human
TUBA4A,0.03688773885369301,-0.040258508175611496,-0.030309557914733887,,-0.022670136764645576,,,-0.014087616000324488,-0.02648984733968973,0.03688773885369301,human
PMP2,0.03683095797896385,0.02323811687529087,,-0.01931740529835224,-0.018053878098726273,-0.019095176830887794,,0.0007205229252576828,-0.018053878098726273,0.03683095797896385,human
RPS13,0.036184150725603104,,,,,,,0.036184150725603104,0.036184150725603104,0.036184150725603104,human
SPARC,0.03537328913807869,0.02553681656718254,0.12857872247695923,,-0.05223586782813072,0.03367339074611664,-0.058601029217243195,0.018720886980493862,0.02960510365664959,0.03537328913807869,human
RNASEK,0.03533667325973511,-0.01938452571630478,,,,-0.01514927577227354,0.016084270551800728,0.004221785580739379,0.0004674973897635937,0.03533667325973511,human
HIST1H4C,0.035260606557130814,0.035758864134550095,,-0.05686761811375618,-0.16224803030490875,-0.0430888906121254,-0.07045162469148636,-0.0436061155050993,-0.04997825436294079,0.035260606557130814,human
RPS17,0.035199813544750214,,,,-0.03221365436911583,0.018351873382925987,,0.0071126775195201235,0.018351873382925987,0.035199813544750214,human
GPX4,0.03482656925916672,-0.03673522174358368,,,-0.04145504906773567,,0.023729953914880753,-0.00490843690931797,-0.006502633914351463,0.03482656925916672,human
RPL38,0.034746408462524414,-0.02381078526377678,,,-0.016396010294556618,-0.019033946096897125,,-0.006123583298176527,-0.01771497819572687,0.034746408462524414,human
