gene_symbol,logfc_dz:909,logfc_dz:908,logfc_dz:907,logfc_dz:910,mean_logfc,median_logfc,common_experiment,organism
PRR13,,-0.011939026415348053,-0.014230712316930294,,-0.013084869366139174,-0.013084869366139174,,human
PNISR,,-0.01184124406427145,,,-0.01184124406427145,-0.01184124406427145,,human
EIF3I,,-0.011727562174201012,,,-0.011727562174201012,-0.011727562174201012,,human
FAIM3,,-0.01152684073895216,0.023979241028428078,,0.006226200144737959,0.006226200144737959,,human
TRAC,,-0.011430216021835804,-0.0315178781747818,,-0.0214740470983088,-0.0214740470983088,,human
MT1E,,-0.011387827806174755,-0.013028979301452637,,-0.012208403553813696,-0.012208403553813696,,human
SSR2,,-0.011314905248582363,-0.016605909913778305,0.016767924651503563,-0.0037176301702857018,-0.011314905248582363,0.016767924651503563,human
DDIT4,,-0.011312544345855713,,,-0.011312544345855713,-0.011312544345855713,,human
LOC100506948,,-0.011287051253020763,,,-0.011287051253020763,-0.011287051253020763,,human
EPB41L4A-AS1,,-0.011264797300100327,-0.02022049017250538,,-0.015742643736302853,-0.015742643736302853,,human
RASA2,,-0.011240243911743164,,,-0.011240243911743164,-0.011240243911743164,,human
RUNX1-IT1,,-0.011228051036596298,,,-0.011228051036596298,-0.011228051036596298,,human
SNHG6,,-0.01121250819414854,-0.04277069866657257,-0.014129030518233776,-0.022704079126318295,-0.014129030518233776,-0.014129030518233776,human
CBWD1,,-0.011177266016602516,,,-0.011177266016602516,-0.011177266016602516,,human
RASA4,,-0.011118864640593529,,,-0.011118864640593529,-0.011118864640593529,,human
BRD2,,-0.011004923842847347,,0.01161167025566101,0.00030337320640683174,0.00030337320640683174,0.01161167025566101,human
FAM78A,,-0.011004684492945671,,,-0.011004684492945671,-0.011004684492945671,,human
LEF1,,-0.01094012800604105,,,-0.01094012800604105,-0.01094012800604105,,human
NPM1,,-0.010866065509617329,0.016233062371611595,,0.0026834984309971333,0.0026834984309971333,,human
OCIAD1,,-0.010826250538229942,,,-0.010826250538229942,-0.010826250538229942,,human
PMS2P9,,-0.010808812454342842,,,-0.010808812454342842,-0.010808812454342842,,human
OSTC,,-0.010747064836323261,,-0.013110963627696037,-0.01192901423200965,-0.01192901423200965,-0.013110963627696037,human
ANP32A,,-0.010737636126577854,,,-0.010737636126577854,-0.010737636126577854,,human
HERPUD1,,-0.010705705732107162,-0.011171519756317139,-0.015960467979311943,-0.012612564489245415,-0.011171519756317139,-0.015960467979311943,human
FLJ31306,,-0.010645945556461811,,,-0.010645945556461811,-0.010645945556461811,,human
HNRNPU-AS1,,-0.01063061598688364,,-0.011890742927789688,-0.011260679457336664,-0.011260679457336664,-0.011890742927789688,human
ACTR2,,-0.01058428268879652,,,-0.01058428268879652,-0.01058428268879652,,human
LSM14A,,-0.010540863499045372,,,-0.010540863499045372,-0.010540863499045372,,human
RPL37,,-0.010510065592825413,,,-0.010510065592825413,-0.010510065592825413,,human
EIF1AY,,-0.010490690357983112,,,-0.010490690357983112,-0.010490690357983112,,human
SRP9,,,0.04456217586994171,,0.04456217586994171,0.04456217586994171,,human
RPL31,,,0.041660409420728683,,0.041660409420728683,0.041660409420728683,,human
TCF7,,,0.03471972420811653,,0.03471972420811653,0.03471972420811653,,human
GPR171,,,0.0346243679523468,,0.0346243679523468,0.0346243679523468,,human
SLC25A5,,,0.03353194147348404,,0.03353194147348404,0.03353194147348404,,human
PCED1B,,,0.030018996447324753,,0.030018996447324753,0.030018996447324753,,human
RHOH,,,0.028802039101719856,,0.028802039101719856,0.028802039101719856,,human
