gene_symbol,mean_logfc,median_logfc,common_experiment,organism,signature_type
OMG,0.1940621567077452,0.1940621567077452,0.1940621567077452,human,UP
BCL9L,0.1938974183241685,0.1938974183241685,0.1938974183241685,human,UP
SEC61G,0.1931036844821121,0.1931036844821121,0.1931036844821121,human,UP
CDC42,0.1928946112493142,0.1928946112493142,0.1928946112493142,human,UP
EXOC4,0.1916800977154198,0.1916800977154198,0.1916800977154198,human,UP
SECISBP2L,0.1911143915070582,0.1911143915070582,0.1911143915070582,human,UP
ZFAND2A,0.1902744655892378,0.1902744655892378,0.1902744655892378,human,UP
CLUAP1,0.1894141078628087,0.1894141078628087,0.1894141078628087,human,UP
TBC1D32,0.188467822537707,0.188467822537707,0.188467822537707,human,UP
CLTC,0.187901036849739,0.187901036849739,0.187901036849739,human,UP
MAP3K20,0.1868332199548511,0.1868332199548511,0.1868332199548511,human,UP
IGFBP7,0.1864633472454393,0.1864633472454393,0.1864633472454393,human,UP
AC020916.1,0.1860758111968354,0.1860758111968354,0.1860758111968354,human,UP
SAXO2,0.1835741641488438,0.1835741641488438,0.1835741641488438,human,UP
REEP5,0.1835399534915936,0.1835399534915936,0.1835399534915936,human,UP
RPL13A,0.1829358889391948,0.1829358889391948,0.1829358889391948,human,UP
TMC4,0.1818411450680293,0.1818411450680293,0.1818411450680293,human,UP
RIIAD1,0.1809275142367064,0.1809275142367064,0.1809275142367064,human,UP
HSP90B1,0.1796909864405754,0.1796909864405754,0.1796909864405754,human,UP
STK33,0.1796381046953037,0.1796381046953037,0.1796381046953037,human,UP
C6orf62,0.1789304134827107,0.1789304134827107,0.1789304134827107,human,UP
B3GNT5,0.1787898826196765,0.1787898826196765,0.1787898826196765,human,UP
TACC2,0.1768744827934646,0.1768744827934646,0.1768744827934646,human,UP
SPATS2L,0.1768743584880791,0.1768743584880791,0.1768743584880791,human,UP
HLA-E,0.1762979715342443,0.1762979715342443,0.1762979715342443,human,UP
UGP2,0.1758742019743261,0.1758742019743261,0.1758742019743261,human,UP
TMEM106B,0.1755854603619976,0.1755854603619976,0.1755854603619976,human,UP
CCL15,0.1754204758304793,0.1754204758304793,0.1754204758304793,human,UP
OCIAD2,0.1752974177252422,0.1752974177252422,0.1752974177252422,human,UP
WFDC6,0.1743844621821111,0.1743844621821111,0.1743844621821111,human,UP
PFKFB3,0.174290326711942,0.174290326711942,0.174290326711942,human,UP
PLEKHA3,0.1736720615876948,0.1736720615876948,0.1736720615876948,human,UP
CARS,0.1735255716098876,0.1735255716098876,0.1735255716098876,human,UP
MIDN,0.1727316860079384,0.1727316860079384,0.1727316860079384,human,UP
ARMC4,0.1724341603701522,0.1724341603701522,0.1724341603701522,human,UP
TRA2A,0.1703129700412898,0.1703129700412898,0.1703129700412898,human,UP
DYNLRB1,0.1685685101805987,0.1685685101805987,0.1685685101805987,human,UP
ATP5MC1,0.168529362504968,0.168529362504968,0.168529362504968,human,UP
MTLN,0.1671767300321846,0.1671767300321846,0.1671767300321846,human,UP
RPGR,0.1669713971021656,0.1669713971021656,0.1669713971021656,human,UP
SNHG25,0.1662691657815119,0.1662691657815119,0.1662691657815119,human,UP
QKI,0.1661962089247249,0.1661962089247249,0.1661962089247249,human,UP
KIF2A,0.1658639463162177,0.1658639463162177,0.1658639463162177,human,UP
HMGB1,0.1656973601083536,0.1656973601083536,0.1656973601083536,human,UP
MARCKS,0.1649005101248322,0.1649005101248322,0.1649005101248322,human,UP
PLAAT3,0.1638272658525599,0.1638272658525599,0.1638272658525599,human,UP
HOXB3,0.1634390721761612,0.1634390721761612,0.1634390721761612,human,UP
SDK1,0.1633114832326293,0.1633114832326293,0.1633114832326293,human,UP
TMEM120B,0.1630724990761102,0.1630724990761102,0.1630724990761102,human,UP
DCDC2,0.1623477809655773,0.1623477809655773,0.1623477809655773,human,UP
TGFBR3,0.1620760538592765,0.1620760538592765,0.1620760538592765,human,UP
STAM2,0.162022424939444,0.162022424939444,0.162022424939444,human,UP
ADAM12,0.1620118853267818,0.1620118853267818,0.1620118853267818,human,UP
YWHAE,0.1611985146216979,0.1611985146216979,0.1611985146216979,human,UP
CYB561,0.1610548253304399,0.1610548253304399,0.1610548253304399,human,UP
ZNF655,0.1608807331090951,0.1608807331090951,0.1608807331090951,human,UP
C1orf56,0.160299552055259,0.160299552055259,0.160299552055259,human,UP
CEP162,0.160276163738283,0.160276163738283,0.160276163738283,human,UP
MAP3K8,0.1588624681974333,0.1588624681974333,0.1588624681974333,human,UP
PGR,0.1568852440005284,0.1568852440005284,0.1568852440005284,human,UP
SEC62,0.1559112355027819,0.1559112355027819,0.1559112355027819,human,UP
CTSD,0.1553514064222585,0.1553514064222585,0.1553514064222585,human,UP
NDUFV3,0.154221843244799,0.154221843244799,0.154221843244799,human,UP
PLSCR1,0.1534070782246995,0.1534070782246995,0.1534070782246995,human,UP
DZANK1,0.1529248475416831,0.1529248475416831,0.1529248475416831,human,UP
BBIP1,0.1523436788326358,0.1523436788326358,0.1523436788326358,human,UP
ARID5B,0.1521495282936789,0.1521495282936789,0.1521495282936789,human,UP
TNFAIP8L1,0.1515881854400248,0.1515881854400248,0.1515881854400248,human,UP
B2M,0.1511846041780966,0.1511846041780966,0.1511846041780966,human,UP
CCDC82,0.1510769522077866,0.1510769522077866,0.1510769522077866,human,UP
TTC25,0.1500107037006267,0.1500107037006267,0.1500107037006267,human,UP
BICC1,0.1490247215401934,0.1490247215401934,0.1490247215401934,human,UP
CDS1,0.1479496738676753,0.1479496738676753,0.1479496738676753,human,UP
CLMN,0.1475023142687775,0.1475023142687775,0.1475023142687775,human,UP
TNFRSF21,0.1473970916612561,0.1473970916612561,0.1473970916612561,human,UP
FAM98B,0.1465582376901951,0.1465582376901951,0.1465582376901951,human,UP
CDC42SE1,0.1461434583282861,0.1461434583282861,0.1461434583282861,human,UP
MFSD10,0.1456796215749179,0.1456796215749179,0.1456796215749179,human,UP
TYMP,0.145119101953967,0.145119101953967,0.145119101953967,human,UP
RALGAPB,0.1448341672375469,0.1448341672375469,0.1448341672375469,human,UP
FAM27C,0.1447131451838926,0.1447131451838926,0.1447131451838926,human,UP
CDC16,0.1440714675251196,0.1440714675251196,0.1440714675251196,human,UP
GOLGA8A,0.14357515935253,0.14357515935253,0.14357515935253,human,UP
VAMP8,0.1433028844659994,0.1433028844659994,0.1433028844659994,human,UP
GSTP1,0.1431209690556061,0.1431209690556061,0.1431209690556061,human,UP
TTC21B,0.142117821018569,0.142117821018569,0.142117821018569,human,UP
LITAF,0.1420674630286958,0.1420674630286958,0.1420674630286958,human,UP
GBP3,0.1419467850313872,0.1419467850313872,0.1419467850313872,human,UP
BBOF1,0.1415591476491405,0.1415591476491405,0.1415591476491405,human,UP
EFHC1,0.1415508149507767,0.1415508149507767,0.1415508149507767,human,UP
TRIM22,0.1414813795980754,0.1414813795980754,0.1414813795980754,human,UP
PIK3R1,0.1414747038426766,0.1414747038426766,0.1414747038426766,human,UP
KCNRG,0.1414674236940511,0.1414674236940511,0.1414674236940511,human,UP
ATP6V1E1,0.1414318710326223,0.1414318710326223,0.1414318710326223,human,UP
NUCB2,0.1413245797965612,0.1413245797965612,0.1413245797965612,human,UP
HRH1,0.1410040691999971,0.1410040691999971,0.1410040691999971,human,UP
SKAP2,0.1409108684542126,0.1409108684542126,0.1409108684542126,human,UP
APH1B,0.1405851682275822,0.1405851682275822,0.1405851682275822,human,UP
TMTC4,0.1402534899771181,0.1402534899771181,0.1402534899771181,human,UP
SDF4,0.1399101935644412,0.1399101935644412,0.1399101935644412,human,UP
WDR6,0.1392706877293305,0.1392706877293305,0.1392706877293305,human,UP
KIAA1841,0.1390855571369503,0.1390855571369503,0.1390855571369503,human,UP
FOS,0.1389920334270691,0.1389920334270691,0.1389920334270691,human,UP
CFAP206,0.1387394888747253,0.1387394888747253,0.1387394888747253,human,UP
