"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"28904_at",-0.338406506665014,4.0011601563173,-3.70391557130823,0.000340558755064218,0.000495948069012899,-0.494760286617552,"28904_at"
"105374895_at",-0.33840418333575,3.63557958872236,-5.71447905926796,1.03728097104307e-07,2.55380569841901e-07,7.26210493820532,"105374895_at"
"1729_at",-0.33840309333819,8.35549365038253,-3.98901007261312,0.000122986468337365,0.000188355500368044,0.465328159969403,"1729_at"
"80833_at",-0.338375607298141,6.46507464549081,-2.93154758352005,0.00414056660356482,0.00541259516958658,-2.809793970728,"80833_at"
"101926987_at",-0.338355087425311,5.68133692472259,-4.27844106163523,4.16497146366758e-05,6.74039168238163e-05,1.49295272465761,"101926987_at"
"347252_at",-0.338349194238481,4.65545400970442,-3.93356538434869,0.00015050833316354,0.000228371310853478,0.274422428119183,"347252_at"
"1399_at",0.338269156759483,7.50379621727405,4.80392756563856,5.19312650502908e-06,9.57997148135948e-06,3.48395139269262,"1399_at"
"26751_at",0.338268012996863,8.15031421212975,2.69975165110931,0.00809048446049537,0.0102781867829811,-3.41625956852608,"26751_at"
"6821_at",-0.338254873273926,8.4423860856451,-4.01158940633204,0.000113221104275093,0.000174220335033879,0.543614966370873,"6821_at"
"51744_at",-0.338222579263962,4.83886098017279,-6.32231586887627,6.37457846347939e-09,2.01818957103418e-08,9.97325100086037,"51744_at"
"79100_at",0.338169572270271,4.67866632403944,3.15678252795036,0.00208278604866806,0.00280479846301469,-2.18020694454726,"79100_at"
"125_at",-0.338154521354995,4.43903903882338,-4.30131930794489,3.81560544869285e-05,6.21047771243737e-05,1.57636481513222,"125_at"
"10556_at",0.338142049605152,4.86596094105911,7.6499747647589,1.01161042540884e-11,7.18260934283352e-11,16.2702514291372,"10556_at"
"64969_at",0.338117244106362,7.70228207039138,6.23485710882356,9.59376460313947e-09,2.92047368302436e-08,9.57524591465857,"64969_at"
"83699_at",0.338062904093094,7.14819616090253,2.34478035423177,0.0209202573531138,0.0253868810202123,-4.25991887848637,"83699_at"
"359_at",-0.338057610642755,5.50232330916242,-5.9540724303756,3.5062594799657e-08,9.45526845545252e-08,8.31491279638708,"359_at"
"147004_at",-0.338032747123641,4.56233276459792,-3.59099291807879,0.000502784625047421,0.000718955690015454,-0.859968634765325,"147004_at"
"646023_at",-0.338012351632629,4.93357769961921,-5.33795233149319,5.45995659691297e-07,1.17369871897539e-06,5.6541983647506,"646023_at"
"10825_at",-0.337976753961328,6.32729115790839,-5.76827705544705,8.14529663338803e-08,2.04470902252844e-07,7.49658718344534,"10825_at"
"105370361_at",-0.337973591817414,4.52734858062921,-4.35372061890615,3.11849602288289e-05,5.14325865803004e-05,1.76858380457663,"105370361_at"
"9968_at",-0.337885429781989,8.2929651117913,-5.3617574648521,4.92399645319363e-07,1.06722191669896e-06,5.75405798247647,"9968_at"
"9381_at",-0.33787046137258,5.08900928596774,-5.66540336784132,1.292002826724e-07,3.12460282203241e-07,7.04920349759218,"9381_at"
"105369739_at",-0.337796261582609,6.82917659787399,-5.09963438172579,1.51573932811484e-06,3.02704537360869e-06,4.66872165224737,"105369739_at"
"284578_at",-0.337686185899628,4.92807766635195,-3.37500116332226,0.00103556106999563,0.00143667002761872,-1.53375776882899,"284578_at"
"100130452_at",-0.337611709856729,4.12656936413867,-4.69667260460062,8.03453457394241e-06,1.44115066736109e-05,3.0652277280872,"100130452_at"
"120066_at",-0.33753869483766,5.25721563423148,-4.26916975589587,4.31510626157785e-05,6.97032068939048e-05,1.45924617371054,"120066_at"
"AFFX-r2-Ec-bioC-5_at",-0.337518882724955,10.2801130940793,-2.90553062992618,0.00447239122618385,0.00582368964955502,-2.87998852217855,"AFFX-r2-Ec-bioC-5_at"
"6511_at",-0.337402587370707,4.01300482271984,-4.49354030455834,1.80748307588907e-05,3.08177820263955e-05,2.28916859983913,"6511_at"
"7574_at",0.337346592787826,6.23673081259963,3.86525382851844,0.000192527116792516,0.000288410520723849,0.0420021147407121,"7574_at"
"8471_at",-0.337297306858086,4.60015564115433,-6.55787238125771,2.09611381308465e-09,7.42209081196647e-09,11.0571265435297,"8471_at"
"4862_at",-0.337226491265069,6.28465843243596,-3.39849213471198,0.000958702851996801,0.0013345612789876,-1.46208481911255,"4862_at"
"27285_at",0.337159937507159,5.99345276144074,2.09223126055429,0.038830607840197,0.0459745778277901,-4.79492103616287,"27285_at"
"6738_at",0.33714990855132,7.45359253760473,3.99175681619948,0.00012175685803291,0.000186597896150391,0.474834329635639,"6738_at"
"2299_at",-0.337121892338847,4.52409178213263,-4.10053433484323,8.14916968042274e-05,0.000127474296856647,0.855176741805965,"2299_at"
"160851_at",0.337113540277689,5.61975588759386,3.57253710065579,0.000535428312790555,0.00076323685171898,-0.918821294076245,"160851_at"
"84498_at",0.337066720760619,7.92940219674419,2.7362828761428,0.00729854927205943,0.00931021816470702,-3.32353624012927,"84498_at"
"2114_at",0.337057856246277,9.03008986186439,1.85825555679793,0.0659360114406637,0.0764494967085841,-5.24041214157303,"2114_at"
"285441_at",-0.33705622007396,3.78005668033361,-5.07459634929486,1.68494223190838e-06,3.34117683237282e-06,4.56673234975137,"285441_at"
"777_at",-0.336988206592812,4.16042772873745,-6.43144385451769,3.81533043201116e-09,1.26687029614713e-08,10.4732802965376,"777_at"
"57185_at",0.336967853715193,7.20745246757465,6.38085805539962,4.8423297216913e-09,1.5729508724885e-08,10.2410315420804,"57185_at"
"3106_at",-0.336951218676109,12.6111211674486,-3.04274692351008,0.002962370000662,0.00393165654357655,-2.50383274795547,"3106_at"
