"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id"
"9945_at",0.023581673218461,7.87171679432324,0.113667046202464,0.910147215341605,0.922532315258422,-6.60584629804199,"9945_at"
"9797_at",-0.0235650910904677,7.97744801158346,-0.337864995042192,0.737463230002287,0.769302877010826,-6.5548130852635,"9797_at"
"56164_at",-0.0235632505771934,3.89848657931981,-0.290518520151318,0.773117197849086,0.801565656766749,-6.5697962856399,"56164_at"
"80017_at",0.0234116699495313,8.02219593874518,0.182247869212463,0.856433158797796,0.875626494874672,-6.59560262210937,"80017_at"
"150159_at",-0.0233919564279618,3.46106748343374,-0.330845115648076,0.742714628281988,0.774079904636626,-6.55717630160099,"150159_at"
"56052_at",-0.0233817239974378,4.80916516121514,-0.100326613280395,0.920653962261835,0.931890881206277,-6.60728775698656,"56052_at"
"118_at",0.0233271653027372,9.09712378696825,0.275024933476914,0.784898217309057,0.812025094302349,-6.57421148429822,"118_at"
"54974_at",0.0232483245042492,7.3703683869098,0.184095952163202,0.854994061532561,0.874460672879617,-6.5952609849347,"54974_at"
"8824_at",0.0231911599173896,8.22867131113873,0.258764888085607,0.79731750493106,0.823198173941927,-6.57858603197247,"8824_at"
"7283_at",0.0231847963294365,8.2357225449647,0.0863143451599748,0.931705381455234,0.941541836888457,-6.60860838697607,"7283_at"
"3174_at",0.0231541091371783,3.96883384196353,0.405954842797712,0.687222748541295,0.723570844570542,-6.52933649079246,"3174_at"
"374987_at",-0.0230862944244635,3.39872208922184,-0.288283310807962,0.774813519114472,0.803121147937499,-6.57044811484926,"374987_at"
"2660_at",-0.0230319352896781,2.95598085485088,-0.461066935376153,0.647574955866359,0.686519273158395,-6.50533403875527,"2660_at"
"6503_at",0.0229469487085574,7.91499014614407,0.091588259862406,0.927544133260122,0.937984499688997,-6.60813459064947,"6503_at"
"57634_at",0.0229361833161915,7.29573151421256,0.368452857652603,0.714733034044556,0.749032613801734,-6.54394078600556,"57634_at"
"4208_at",0.0229191957087663,7.03879493109684,0.232984822727894,0.817117003218417,0.84139268556407,-6.58497752779987,"4208_at"
"343450_at",-0.0229096719045029,3.55128805283681,-0.266236977339329,0.791603522069292,0.818017327605648,-6.57660872687641,"343450_at"
"220441_at",0.0228990142936979,3.97094098030437,0.210223573798764,0.834702394420835,0.856825641436199,-6.5900641302792,"220441_at"
"92335_at",-0.0228192986222941,8.91667273207262,-0.337775281450557,0.737530262582435,0.769302877010826,-6.55484359797743,"92335_at"
"107984270_at",-0.0228021305710294,5.82247121278017,-0.182294760505007,0.856396638494224,0.875626494874672,-6.59559399630801,"107984270_at"
"389337_at",0.0227255869265198,6.71810967606687,0.22167414897562,0.82584382141228,0.849032448461488,-6.58757053842719,"389337_at"
"191_at",-0.0226569537004439,10.846564980914,-0.098767620581225,0.921882784775782,0.932966879584868,-6.60744448768378,"191_at"
"10563_at",-0.0225255346854385,8.94872302609024,-0.0280665327030293,0.977767521132648,0.98126450947436,-6.61197316957513,"10563_at"
"395_at",-0.0224962466112371,4.58747115417877,-0.285277730946909,0.777096248579861,0.805002708910235,-6.57131670011068,"395_at"
"285972_at",0.0224516379523421,4.67881428249042,0.0971093658528496,0.923190060628231,0.934134815348186,-6.60760850509186,"285972_at"
"115361_at",-0.0224074789204869,5.26754377078394,-0.213728635295995,0.831987930833361,0.85447183630938,-6.58931505791417,"115361_at"
"115811_at",0.0223628337724013,5.97050585160326,0.155141660393681,0.87759536041589,0.893834042118099,-6.60021810079942,"115811_at"
"112574_at",-0.0223376803718376,5.71874123418424,-0.209818773171215,0.835015381796531,0.857022501288713,-6.59015016394515,"112574_at"
"1906_at",0.0223228410671892,7.68240976974433,0.11054298519441,0.912606286496875,0.92479604099149,-6.60619996336655,"1906_at"
"2139_at",-0.0221781164910823,9.09982954989301,-0.108521412908777,0.914198012326985,0.92627155782292,-6.60642357077288,"2139_at"
"55163_at",-0.0220975523936621,7.9739452277688,-0.106071752254217,0.916127282696418,0.927996798474603,-6.60668900259831,"55163_at"
"644540_at",0.0220008141262465,4.43270722123507,0.186737683460683,0.852937409661689,0.872705789186316,-6.59476684694797,"644540_at"
"3615_at",-0.0219362689091721,11.3351523907145,-0.104380035321843,0.917459923671601,0.929128194649903,-6.60686877251918,"3615_at"
"7982_at",-0.0217524175104516,6.98242196555978,-0.227681760556553,0.821205445397,0.844880579784638,-6.58620944688083,"7982_at"
"3776_at",-0.0217207049534376,4.98618251475774,-0.159936802154202,0.873844607685952,0.890583260054681,-6.59945552256924,"3776_at"
"101928728_at",-0.0216863117728346,3.77575492510168,-0.292656207200868,0.771495943829436,0.800213378880248,-6.56916820892251,"101928728_at"
"9267_at",-0.0216531873056484,7.49474199193783,-0.204952315301849,0.838786360188137,0.860203254335326,-6.59116846715188,"9267_at"
"11043_at",0.0216208667506332,6.94061217382347,0.259233249513949,0.796959007577122,0.822910994616885,-6.57846373855777,"11043_at"
"84548_at",0.0215850264610267,6.91685890780727,0.233482440141643,0.816733624994564,0.841040195776627,-6.58486047850686,"84548_at"
"10675_at",-0.0215282772126834,5.85091013099686,-0.185607372697287,0.853816871787128,0.873518369877512,-6.59497930360246,"10675_at"
"286887_at",0.0214522132867716,3.36729015825431,0.163886539791226,0.870757344366847,0.888099653555592,-6.59880998259472,"286887_at"
"57134_at",-0.0214315686318244,7.5325446865137,-0.0880019557145523,0.930373597690381,0.940427968176154,-6.60845983085374,"57134_at"
"107986513_at",-0.021420123206933,5.58649261511425,-0.225917364191308,0.822566852150005,0.84619623339899,-6.58661305264655,"107986513_at"
"1387_at",-0.0213911095360257,7.86058749076729,-0.292002351098125,0.77199172803909,0.800560854409595,-6.56936080568186,"1387_at"
"1773_at",0.021370011098169,6.54641194227161,0.252237643532941,0.802318254108056,0.827818824215455,-6.58026742412157,"1773_at"
"23368_at",-0.0213549288050203,7.29056741442429,-0.147423530588526,0.883638457714323,0.899401250574916,-6.60139684451904,"23368_at"
"10007_at",-0.0213209205518355,8.49881478474009,-0.158439958716835,0.87501512320519,0.891687467476002,-6.5996960560228,"10007_at"
"26784_at",-0.0213159774409266,4.66230463445893,-0.117288877704948,0.907297454515042,0.920007972787789,-6.60542395470865,"26784_at"
"255403_at",0.0212495164028241,4.747045622605,0.341182410632463,0.734985975797458,0.767156826916439,-6.55367913861235,"255403_at"
"23176_at",-0.0212252444429309,7.15249607608763,-0.313118463884335,0.756030680302426,0.786255415491297,-6.56292440233757,"23176_at"
"9948_at",-0.0212197487593133,10.4284396587144,-0.16724261735393,0.868135719426071,0.886087601610625,-6.5982491139417,"9948_at"
"147686_at",0.0211631017809663,6.27786349990541,0.18885940764951,0.851285891066348,0.871233584441822,-6.59436509794254,"147686_at"
"10055_at",-0.0211615203844849,8.92442627306182,-0.176894955695546,0.860603906483875,0.879188590115989,-6.59657289558846,"10055_at"
"23315_at",0.0211530813882466,7.07937210903412,0.179473444520245,0.85859412897672,0.877397961484616,-6.59610921644399,"23315_at"
"16_at",0.0211485678648256,9.27122112479273,0.210292076281308,0.834647162375252,0.856816301197488,-6.5900506866539,"16_at"
"6374_at",-0.0211272304730302,3.70258378865796,-0.125058593728972,0.901188265458674,0.91426578325271,-6.60447327357035,"6374_at"
"7592_at",0.0211091085499851,4.44563517641754,0.309784370375315,0.75854382058224,0.788531419477625,-6.56397037068566,"7592_at"
"7727_at",-0.0210672868241463,6.05885400581235,-0.163732144944849,0.870877986936071,0.888178475698207,-6.59883551198848,"7727_at"
"101928847_at",-0.0210670600682606,3.86054730307824,-0.275009444818339,0.784910020854643,0.812025094302349,-6.57421577759247,"101928847_at"
"488_at",-0.021042858261114,9.04971119333562,-0.144327207321022,0.886064806915931,0.901288683328331,-6.60185284669847,"488_at"
"2167_at",-0.0210126354889365,5.01087295959706,-0.10273723112166,0.918754265495169,0.930289786179092,-6.607040580443,"2167_at"
"84343_at",0.0210100262396152,6.20606146832274,0.19315406881123,0.847945811285034,0.868422678784193,-6.5935377119017,"84343_at"
"56478_at",0.0209396557410734,7.22721512577947,0.34340345563011,0.733329031399863,0.765778541965477,-6.55291379859687,"56478_at"
"79839_at",-0.0209057992984224,3.29519200786694,-0.394578195299287,0.695524852429063,0.731334689038393,-6.53391502156676,"79839_at"
"23682_at",0.0208769401156856,6.47698483327046,0.119464304975362,0.905586361662809,0.918318367935692,-6.60516391467557,"23682_at"
"26270_at",-0.0207970361419554,7.67442275659211,-0.0538531456916249,0.957356484407702,0.964086830864135,-6.61090624172716,"26270_at"
"100506299_at",-0.0207663922968982,4.93494041480002,-0.163649164060967,0.870942828653329,0.888200383457871,-6.59884922306215,"100506299_at"
"80862_at",0.0206276368907465,3.68308863077594,0.387596979045733,0.700638384219333,0.735993674992247,-6.53666075498704,"80862_at"
"205428_at",-0.0205949575748153,6.90609187210025,-0.268125187816173,0.790161420843128,0.816715437710699,-6.57610018570374,"205428_at"
"100616668_at",-0.0205850357852771,5.06657718699307,-0.219718240490413,0.82735448244092,0.850352695349715,-6.58800627818446,"100616668_at"
"23236_at",0.0205678411719838,6.95236043782704,0.181153350210574,0.857284847162675,0.876366044978552,-6.59580370071881,"23236_at"
"5245_at",-0.0204999592494452,8.98336056919868,-0.127493879222748,0.89927468176092,0.912866969680891,-6.60416276250686,"5245_at"
"25921_at",-0.0204511062174426,8.94153774748535,-0.192067968072019,0.848789571363321,0.869199899005462,-6.59374901233625,"25921_at"
"4685_at",0.0204439056419045,3.19570554303003,0.415563857653432,0.680241036674276,0.717030689818137,-6.52536893453706,"4685_at"
"101927609_at",-0.0203647448794965,5.9370965275286,-0.0680195033152825,0.946154806764487,0.954307699136529,-6.61003428912829,"101927609_at"
"26040_at",0.0203506921838169,6.87330632785686,0.2035324972275,0.839885989080345,0.861244723684511,-6.59146170446665,"26040_at"
"7262_at",0.0203114869400536,6.5325686700828,0.0346889082915876,0.972523663547376,0.976815058727855,-6.61176326188473,"7262_at"
"51061_at",0.0203105371401099,7.2080077599195,0.211547337479848,0.833675140932641,0.855990054479409,-6.5897835970061,"51061_at"
"7704_at",0.0202543920116452,7.18144721971107,0.0625906189276911,0.950446369735527,0.958305938061751,-6.610392393374,"7704_at"
"155435_at",0.0201580745084506,5.49590467511653,0.308118444207662,0.759800545508197,0.789437198792285,-6.56448883127548,"155435_at"
"23247_at",-0.0201531111164741,8.08956527533454,-0.211711126193181,0.833548329362563,0.855902750948054,-6.58974862973991,"23247_at"
"29086_at",0.0201418464110522,9.65861442452932,0.10292815439267,0.918603828190516,0.930229425383357,-6.60702075316765,"29086_at"
"140545_at",-0.0201159307404915,3.9781104832155,-0.346790707549542,0.730804568446111,0.763414798309456,-6.55173710369143,"140545_at"
"105374187_at",-0.0200909126351358,3.62165739846808,-0.314028408113006,0.755345257475614,0.785669390425313,-6.56263700152688,"105374187_at"
"3485_at",-0.019858034549804,12.4368157756452,-0.0901129809697871,0.928707961460066,0.939022354634878,-6.60826995493586,"3485_at"
"100507462_at",-0.0198518644731012,3.51051794183556,-0.327698577486939,0.745072552532508,0.776221450822698,-6.55821956917386,"100507462_at"
"90933_at",0.0197006424578705,8.35375449026612,0.145463849591314,0.885173977503072,0.900606156815822,-6.60168657396375,"90933_at"
"3614_at",-0.0195949836478868,8.07928050895753,-0.0635705310447313,0.949671629125585,0.957619063257285,-6.61032995688392,"3614_at"
"27315_at",-0.0195756352163578,8.57870141981119,-0.0964495357884365,0.923710294376754,0.934568886200407,-6.60767299672487,"27315_at"
"348327_at",-0.0195314012616039,4.78492385747662,-0.307934644244372,0.759939239298407,0.789535712825444,-6.56454586221286,"348327_at"
"201134_at",-0.0195232887788736,6.07095826432248,-0.229556337171921,0.819759638870824,0.843732109467891,-6.58577720757502,"201134_at"
"10152_at",0.01951664727798,7.91066627131914,0.274121628141125,0.785586691392142,0.812602019213081,-6.57446146869338,"10152_at"
"4293_at",-0.0193395016470834,5.70068888654769,-0.188122177189696,0.851857285839714,0.871774812307189,-6.5945062761969,"4293_at"
"79365_at",-0.0192802987840516,5.56611692143449,-0.20183628642628,0.841201762729127,0.862291793411571,-6.59180855986256,"79365_at"
"57692_at",0.019267110106423,6.65724843261272,0.224880178913254,0.823367403807554,0.846977245999796,-6.58684884775885,"57692_at"
"26152_at",0.0192474116781258,6.79469992910669,0.155103506980112,0.877625215576779,0.893834042118099,-6.60022407544582,"26152_at"
"643072_at",0.0189790099370049,6.12091783194448,0.142748111986925,0.88730265253282,0.902502981006122,-6.60208168113113,"643072_at"
