creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
Rhinovirus_infection,,,,,no_match,
Rotavirus_infection_of_children,,,,,no_match,
Schizophrenia,MONDO_0005090,schizophrenia,"schizophrenia|schizophrenia-1|schizophrenia (disease)|schizophrenia with or without an affective disorder|schizoaffective disorder|schizophrenia, susceptibility to|SCZD|schizophrenia 12","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005090', 'name': 'MONDO_0005090'}}",name_match,Psychiatric|Nervous System
Senescence,,,,,no_match,
Septic_Shock,EFO_0006834,septic shock,,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0006834', 'name': 'EFO_0006834'}}",name_match,Phenotype
Setleis_syndrome,MONDO_0013996,focal facial dermal dysplasia type II,"focal facial dermal dysplasia 2, Brauer-Setleis type|FFDD type II|FFDD2|Setleis Syndrome|Brauer-Setleis syndrome","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0013996', 'name': 'MONDO_0013996'}}",synonym_match,Skin/Integumentary|Genetic/Congenital
Simian_Acquired_Immune_Deficiency_Syndrome,,,,,no_match,
Sjogren's_syndrome,EFO_0000699,Sjogren syndrome,"Sjogren's disease|Mikulicz disease|sicca syndrome|Sjogren's syndrome (disorder)|Sicca syndrome|SJOGREN'S SYNDROME|Syndrome, Sicca|syndrome, Sjogren's|xerodermosteosis|Sjögren-Gougerot syndrome|Sjogrens Syndrome|Sicca (Sjogren's) syndrome|Sicca syndrome (disorder)|Sjogren syndrome|Sjögren syndrome|Sjgren's syndrome (disorder)|Syndrome, Sjogren's|primary Sjogren-Gougerot syndrome|primary Sjögren-Gougerot syndrome|Sjogren's syndrome|primary Sjögren syndrome","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000699', 'name': 'EFO_0000699'}}",name_match,Immune System|Visual System|Gastrointestinal
Squamous_cell_carcinoma_of_mouth,EFO_0000199,oral squamous cell carcinoma,oral cavity squamous cell cancer|OSCC|scc of mouth|scc of the mouth|squamous cell carcinoma of the oral cavity|squamous cell carcinoma of the mouth|mouth scc|oral cavity squamous cell carcinoma|squamous cell carcinoma of oral cavity|oral cavity scc|squamous cell carcinoma of mouth|mouth squamous cell carcinoma|scc of oral cavity|scc of the oral cavity|oral squamous cell carcinoma|OCSC,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000199', 'name': 'EFO_0000199'}}",synonym_match,Cancer/Tumor|Gastrointestinal
Teratospermia,HP_0012864,Abnormal sperm morphology,Teratospermia|Teratozoospermia|Abnormal shape of sperm,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0012864', 'name': 'HP_0012864'}}",synonym_match,Phenotype
Turner_syndrome,MONDO_0019499,Turner syndrome,"monosomy X syndrome|45,X/46,XX syndrome|karyotype 45, X|XO syndrome|45,X0 syndrome|gonadal dysgenesis - Turner|45,X gonadal dysgenesis|45,X syndrome|45X syndrome|gonadal dysgenesis Turner type|genital dwarfism|Ullrich-Turner syndrome|Schereshevkii Turner syndrome|gonadal dysgenesis (45,X)|genital dwarfism, Turner type|chromosome X monosomy X|45, X syndrome|Turner Varny syndrome|Bonnevie-Ullrich syndrome|monosomy X|gonadal dysgenesis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019499', 'name': 'MONDO_0019499'}}",name_match,Reproductive/Breast|Genetic/Congenital|Endocrine System
Urothelial_carcinoma_in_situ,,,,,no_match,
Venezuelan_equine_encephalitis,EFO_0007534,Venezuelan equine encephalitis,"Venezuelan equine encephalitis virus caused disease or disorder|Venezuelan equine encephalitis virus disease or disorder|Venezuelan equine encephalitis virus infectious disease|Encephalomyelitis, Venezuelan Equine|Venezuelan equine encephalitis|Venezuelan equine fever","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0007534', 'name': 'EFO_0007534'}}",name_match,Infectious Disease|Nervous System
Viral_cardiomyopathy,EFO_0002629,viral cardiomyopathy,Dilated cardiomyopathy secondary to viral myocarditis|Viruses caused dilated cardiomyopathy|viral dilated cardiomyopathy|Viruses dilated cardiomyopathy|Dilated cardiomyopathy secondary to viral myocarditis (disorder),"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0002629', 'name': 'EFO_0002629'}}",name_match,Infectious Disease|Musculoskeletal|Cardiovascular
Vulvar_intraepithelial_tumor,EFO_0002627,vulvar intraepithelial neoplasia,intraepithelial neoplasia of vulva|vulvar intraepithelial neoplasia|vulva intraepithelial neoplasia|intraepithelial neoplasia of the vulva|vulval intraepithelial neoplasia|squamous vulvar intraepithelial neoplasia|VIN|vulvar intraepithelial tumour|vulvar intraepithelial tumor,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0002627', 'name': 'EFO_0002627'}}",synonym_match,Reproductive/Breast|Cancer/Tumor
Waldenstrom_Macroglobulinemia,EFO_0009441,Waldenstrom macroglobulinemia,Waldenstrom macroglobulinemia|Waldenström macroglobulinemia|Waldenstrom's macroglobulinemia|Waldenström Macroglobulinemia|lymphoplasmacytic lymphoma with IgM gammopathy|Waldenstrom's macroglobulinaemia|Waldenstrom's syndrome|Waldenstroem's macroglobulinemia|macroglobulinemia of Waldenstrom,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0009441', 'name': 'EFO_0009441'}}",name_match,Genetic/Congenital|Immune System|Hematologic|Metabolic|Cancer/Tumor
West_Nile_fever,MONDO_0002282,West Nile fever,West Nile virus infectious disease|West Nile virus caused disease or disorder|West Nile virus disease or disorder,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002282', 'name': 'MONDO_0002282'}}",name_match,Infectious Disease
Williams-Beuren_syndrome,MONDO_0008678,Williams syndrome,"monosomy 7q11.23|Williams-Beuren syndrome|Fanconi Schlesinger syndrome|Williams syndrome|Williams-Beuren syndrome (WBS)|deletion 7q11.23|WBS|WMS|chromosome 7Q11.23 deletion syndrome, 1.5- to 1.8-Mb","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0008678', 'name': 'MONDO_0008678'}}",synonym_match,Nervous System|Genetic/Congenital
