creeds_disease,disease_id,disease_name,disease_synonyms,disease_ontology,match_type,therapeutic_areas
chronic_obstructive_pulmonary_disease,EFO_0000341,chronic obstructive pulmonary disease,"COLD|Dops|chronic obstructive airways disease NOS|COAD - Chronic obstructive airways disease|CHRONIC OBSTRUCTIVE LUNG DIS|CAL - Chronic airflow limitation|chronic obstructive lung disease [Ambiguous]|PULM DIS CHRONIC OBSTRUCTIVE|CAFL - Chronic airflow limitation|Chronic Obstructive Pulmonary Disease (COPD)|chronic airway obstruction, NEC in ICD9CM_2006|cold (chronic obstructive lung disease)|COLD - Chronic obstructive lung disease|DISEASE (COPD), CHRONIC OBSTRUCTIVE|chronic obstructive lung disease|CHRONIC OBSTRUCTIVE PULMONARY DISEASE, (COPD)|CHRONIC OBSTRUCTIVE PULM DIS|COPD NOS|Chronic Airflow Obstruction|chronic obstructive airways disease NOS (disorder)|Chronic Obstructive Airways Disease|chronic obstructive airways disease|Chronic obstructive pulmonary disease NOS|Chronic obstructive lung disease, NEC|Chronic obstructive lung disease, NOS|COPD - Chronic obstructive pulmonary disease|disease (COPD), chronic obstructive|pulmonary disease (COPD), chronic obstructive|chronic airway obstruction, not elsewhere classified|chronic obstructive pulmonary disease and allied conditions|CHRONIC OBSTRUCTIVE AIRWAY DIS|Chronic Airflow Obstructions|chronic obstructive pulmonary disease|cold|Chronic Obstructive Lung Disease|Chronic airway disease|chronic obstructive pulmonary disease (COPD)|COPD|CAO - Chronic airflow obstruction|PULMONARY DISEASE (COPD), CHRONIC OBSTRUCTIVE|COAD|Airflow Obstructions, Chronic|Chronic airflow limitation|obstructive pulmonary disease (COPD), chronic|COPD, CHRONIC OBSTRUCTIVE PULMONARY DISEASE|chronic obstructive airway disease|COPD, chronic obstructive pulmonary disease|Chronic irreversible airway obstruction|Chronic obstructive pulmonary disease finding|chronic obstructive lung disease (disorder)|Pulmonary Disease, Chronic Obstructive|COLD (chronic obstructive lung disease)|chronic obstructive pulmonary disease, (COPD)|Airflow Obstruction, Chronic|Chronic airway obstruction|OBSTRUCTIVE PULMONARY DISEASE (COPD), CHRONIC|Chronic obstructive pulmonary disease finding (finding)|obstructive lung disease, chronic","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000341', 'name': 'EFO_0000341'}}",name_match,Respiratory
cleft_lip,EFO_0003959,cleft lip,"Harelip|Cleft Lips|Lip, Cleft|Lips, Cleft|Harelips","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003959', 'name': 'EFO_0003959'}}",name_match,Phenotype
colitis,EFO_0003872,colitis,inflammation of colon|colitis (disease)|Colitides|colitis|colon inflammation,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003872', 'name': 'EFO_0003872'}}",name_match,Gastrointestinal|Genetic/Congenital|Immune System
colon_adenoma,MONDO_0000527,colon adenoma,adenoma of the colon|colon adenoma|adenoma of colon|colonic adenoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0000527', 'name': 'MONDO_0000527'}}",name_match,Gastrointestinal|Cancer/Tumor
colon_cancer,EFO_1001950,colon carcinoma,colon cancer|carcinoma of the colon|carcinoma of colon|colonic carcinoma|colon carcinoma|colon cancer,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1001950', 'name': 'EFO_1001950'}}",synonym_match,Cancer/Tumor|Gastrointestinal
colorectal_adenocarcinoma,EFO_0000365,colorectal adenocarcinoma,large intestine adenocarcinoma|colorectal adenocarcinoma|adenocarcinoma of the large intestine|adenocarcinoma of large intestine|large bowel adenocarcinoma|colorectum adenocarcinoma|colorectal (colon or rectal) adenocarcinoma|adenocarcinoma of large bowel|adenocarcinoma of the large bowel,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000365', 'name': 'EFO_0000365'}}",name_match,Gastrointestinal|Cancer/Tumor
colorectal_cancer,MONDO_0005575,colorectal cancer,"cancer of the large bowel|malignant large bowel tumour|malignant large intestine neoplasm|malignant neoplasm of the large bowel|malignant tumour of large intestine|malignant tumour of the large intestine|cancer of large bowel|malignant colorectum neoplasm|malignant tumor of large bowel|malignant large intestine tumor|cancer of colorectum|malignant neoplasm of colorectum|malignant neoplasm of large bowel|malignant neoplasm of the large intestine|malignant tumour of large bowel|colorectum cancer|colorectal cancer, somatic|colon cancer, somatic|cancer of large intestine|colon cancer, advanced, somatic|malignant colorectal neoplasm|malignant large intestine tumour|malignant tumor of large intestine|malignant neoplasm of large intestine|malignant large bowel tumor|colorectal cancer with chromosomal instability, somatic|colorectal cancer, autosomal dominant, somatic mutation|malignant colorectal tumour|malignant large bowel neoplasm|colorectal cancer|colorectal cancer, susceptibility to, autosomal dominant, somatic mutation|malignant tumor of the large bowel|malignant tumor of the large intestine|malignant colorectal tumor|malignant tumour of the large bowel|large intestine cancer|CRC|colon cancer|colon cancer, susceptibility to, autosomal dominant, somatic mutation","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005575', 'name': 'MONDO_0005575'}}",name_match,Cancer/Tumor|Gastrointestinal
cystic_fibrosis,MONDO_0009061,cystic fibrosis,"cystic fibrosis|cystic fibrosis lung disease, modifier of|mucoviscidosis|CF|pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0009061', 'name': 'MONDO_0009061'}}",name_match,Genetic/Congenital|Respiratory
cystitis,EFO_1000025,cystitis,cystitis|bladder infection|inflammation of urinary bladder|urinary bladder inflammation,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000025', 'name': 'EFO_1000025'}}",name_match,Urinary System
dengue_disease,EFO_0005547,dengue disease,Dengue virus caused disease or disorder|classic dengue|break bone fever|Dengue|dengue disease|Dengue virus disease or disorder|breakbone fever|DF|Dengue virus infectious disease|Dengue virus infection|DENV infection|Dengue fever|Dengue Fever|Thai hemorrhagic fever|Singapore hemorrhagic fever|Philippine hemorrhagic fever|classical dengue|hemorrhagic dengue,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005547', 'name': 'EFO_0005547'}}",name_match,Infectious Disease
dengue_hemorrhagic_fever,EFO_0004227,Dengue Hemorrhagic Fever,"Hemorrhagic Fever, Dengue|Dengue Shock Syndrome|Thai Hemorrhagic Fever|DHF|Hemorrhagic Dengue|Singapore Hemorrhagic Fever|Dengue hemorrhagic fever|Philippine Hemorrhagic Fever|Dengue haemorrhagic fever","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0004227', 'name': 'EFO_0004227'}}",name_match,Infectious Disease
dermatomyositis,EFO_0000398,dermatomyositis,"Polydermatomyositis|dermatopolymyositis|Dermatomyositis (disorder)|Dermatomyositides, Adult Type|Adult Type Dermatomyositis|Dermatomyositides|dermatomyositis|[X]Dermatopolymyositis, unspecified (disorder)|Dermatomyositis, Childhood Type|Dermatopolymyositis, unspecified|Dermatomyositis, Adult Type|Dermatopolymyositides|Wagner-Unverricht syndrome|polymyositis with skin involvement|Polymyositis with skin involvement|Polymyositis-Dermatomyositides|Polymyositis Dermatomyositis|Dermatopolymyositis, unspecified (disorder)|DM - Dermatomyositis|Polymyositis-Dermatomyositis|DM|Adult Type Dermatomyositides|[X]Dermatopolymyositis, unspecified|Dermatopolymyositis|Amyopathic dermatomyositis|adult dermatomyositis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000398', 'name': 'EFO_0000398'}}",name_match,Urinary System|Immune System|Skin/Integumentary|Nervous System|Musculoskeletal
diabetes_mellitus,EFO_0000400,diabetes mellitus,"Diabetes NOS|diabetes mellitus|DM - Diabetes mellitus|DM|Diabetes|diabetes|Diabetes mellitus, NOS|Diabetes mellitus (disorder)|diabetes mellitus (disease)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000400', 'name': 'EFO_0000400'}}",name_match,Metabolic|Endocrine System|Pancreas
dilated_cardiomyopathy,EFO_0000407,dilated cardiomyopathy,"Cardiomyopathy, Congestive|Familial Idiopathic Cardiomyopathy|Cardiomyopathies, Congestive|Cardiomyopathy, Dilated, with Conduction Deffect1|Congestive dilated cardiomyopathy|DCM - Dilated cardiomyopathy|CCM - Congestive cardiomyopathy|Cardiomyopathy, Dilated|Primary dilated cardiomyopathy|dilated cardiomyopathy|Idiopathic Cardiomyopathies, Familial|Cardiomyopathies, Dilated|Congestive Cardiomyopathies|primary dilated cardiomyopathy (disorder)|Dilated Cardiomyopathies|Idiopathic Cardiomyopathy, Familial|Congestive cardiomyopathy (disorder)|Cardiomyopathy, Dilated, CMD1A|Cardiomyopathy, Dilated, LMNA|Cardiomyopathy, Familial Idiopathic|DCM|Familial Idiopathic Cardiomyopathies|Congestive cardiomyopathy|COCM - Congestive cardiomyopathy|Cardiomyopathies, Familial Idiopathic|congestive cardiomyopathy|familial dilated cardiomyopathy|idiopathic dilation cardiomyopathy|primary dilated cardiomyopathy","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000407', 'name': 'EFO_0000407'}}",name_match,Cardiovascular|Musculoskeletal
discoid_lupus_erythematosus,MONDO_0019558,discoid lupus erythematosus,DLE,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0019558', 'name': 'MONDO_0019558'}}",name_match,Immune System|Musculoskeletal
ductal_carcinoma_in_situ,EFO_0000432,breast ductal carcinoma in situ,mammary duct carcinoma in situ|non-infiltrating intraductal adenocarcinoma of the breast|non-infiltrating intraductal adenocarcinoma of breast|non-invasive intraductal breast adenocarcinoma|intraductal breast carcinoma|non-invasive ductal carcinoma of breast|non-invasive intraductal adenocarcinoma of breast|non-invasive intraductal adenocarcinoma of the breast|non-infiltrating ductal breast carcinoma|intraductal carcinoma of breast|DCIS|ductal carcinoma in situ of the breast|non-infiltrating ductal adenocarcinoma of breast|non-infiltrating intraductal breast adenocarcinoma|non-invasive ductal breast adenocarcinoma|mammary duct in situ carcinoma|ductal carcinoma in situ (DCIS)|ductal breast carcinoma in situ|non-invasive ductal adenocarcinoma of breast|ductal carcinoma in situ|non-infiltrating ductal adenocarcinoma of the breast|non-invasive ductal carcinoma of the breast|non-infiltrating intraductal adenocarcinoma|non-infiltrating ductal carcinoma of the breast|carcinoma in situ of mammary duct|non-infiltrating ductal carcinoma of breast|non-invasive ductal breast carcinoma|non-infiltrating ductal breast adenocarcinoma|non-infiltrating intraductal carcinoma|intraductal carcinoma|non-invasive ductal adenocarcinoma of the breast|ductal carcinoma in situ of breast|intraductal carcinoma of the breast|stage 0 mammary duct carcinoma|breast ductal carcinoma in situ,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000432', 'name': 'EFO_0000432'}}",synonym_match,Cancer/Tumor|Reproductive/Breast|Skin/Integumentary
dystonia,HP_0001332,Dystonia,Dystonic movements|Dystonic disease,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0001332', 'name': 'HP_0001332'}}",name_match,Phenotype
endometrial_cancer,MONDO_0011962,endometrial cancer,"endometrial cancer, susceptibility to, autosomal dominant, somatic mutation|malignant endometrium neoplasm|endometrial cancer|malignant neoplasm of endometrium|primary malignant neoplasm of endometrium|endometrial carcinoma, somatic|cancer of endometrium|endometrium cancer|endometrial Ca|malignant endometrial neoplasm|endometrial cancer, familial, autosomal dominant, somatic mutation|tumour of endometrium|tumor of endometrium|neoplasm of endometrium|endometrial neoplasm","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0011962', 'name': 'MONDO_0011962'}}",name_match,Reproductive/Breast|Cancer/Tumor
endometriosis,EFO_0001065,endometriosis,"ENDOMETRIOSIS NEC|Endometriosis (disorder)|Endometriosis (clinical)|endometriosis|Endometriosis NOS|Endometriosis (morphologic abnormality)|Endometriosis NOS (disorder)|Endometriosis of other specified sites|Endometriosis, site unspecified|endometriosis (disease)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0001065', 'name': 'EFO_0001065'}}",name_match,Reproductive/Breast
endometriosis_of_ovary,EFO_1000418,Ovarian Endometriosis,endometriosis (disease) of ovary|ovarian endometriosis|ovary endometriosis (disease)|endometriosis of ovary,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_1000418', 'name': 'EFO_1000418'}}",synonym_match,Reproductive/Breast|Endocrine System
epidermolysis_bullosa_simplex,MONDO_0017610,epidermolysis bullosa simplex,EEB|epidermolysis bullosa simplex|EBS|epidermolysis bullosa intraepidermic,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0017610', 'name': 'MONDO_0017610'}}",name_match,Genetic/Congenital|Skin/Integumentary
epilepsy_syndrome,MONDO_0015650,epilepsy syndrome,epileptic syndrome|syndromic epilepsy,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0015650', 'name': 'MONDO_0015650'}}",name_match,Nervous System
esophagus_adenocarcinoma,EFO_0000478,esophageal adenocarcinoma,oesophagus adenocarcinoma|EAC|adenocarcinoma of esophagus|adenocarcinoma - oesophagus|adenocarcinoma of oesophagus|adenocarcinoma of the oesophagus|adenocarcinoma of the esophagus|esophagus adenocarcinoma|adenocarcinoma - esophagus|esophageal adenocarcinoma|oesophageal adenocarcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000478', 'name': 'EFO_0000478'}}",synonym_match,Gastrointestinal|Cancer/Tumor
esophagus_squamous_cell_carcinoma,EFO_0005922,esophageal squamous cell carcinoma,ESCC|esophageal epidermoid carcinoma|esophageal scc|oesophagus scc|esophageal squamous cell carcinoma|esophagus squamous cell carcinoma|squamous cell car. - esophagus|esophageal squamous cell cancer|scc of the esophagus|squamous cell carcinoma of the esophagus|squamous cell carcinoma of the oesophagus|squamous cell carcinoma of esophagus|oesophagus squamous cell carcinoma|squamous cell carcinoma of oesophagus|scc of esophagus|scc of oesophagus|squamous cell car. - oesophagus|scc of the oesophagus|esophagus scc,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0005922', 'name': 'EFO_0005922'}}",synonym_match,Gastrointestinal|Cancer/Tumor
facioscapulohumeral_muscular_dystrophy,MONDO_0001347,facioscapulohumeral muscular dystrophy,"muscular dystrophy, Landouzy-Dejerine|FSHD|FSH dystrophy|Landouzy-Dejerine muscular dystrophy|facioscapulohumeral myopathy|facioscapulohumeral muscular dystrophy|facioscapulohumeral dystrophy|Landouzy-Dejerine myopathy|Landouzy Dejerine muscular dystrophy","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0001347', 'name': 'MONDO_0001347'}}",name_match,Nervous System|Musculoskeletal|Genetic/Congenital
familial_combined_hyperlipidemia,,,,,no_match,
familial_hypercholesterolemia,EFO_0004911,familial hypercholesterolemia,Hyperlipoproteinemia Type II|familial hypercholesteremia|hyperbetalipoproteinemia|Fredrickson type IIa lipidaemia|Fredrickson type IIa hyperlipoproteinemia|familial hyperbetalipoproteinaemia|familial hypercholesterolaemia|familial hypercholesterolemia|hyperlipoproteinemia type II|type II hyperlipidemia,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0004911', 'name': 'EFO_0004911'}}",name_match,Genetic/Congenital|Metabolic
fragile_X_syndrome,MONDO_0010383,fragile X syndrome,"FraX syndrome|Martin-Bell syndrome|FXS|fragile X syndrome|FRAXA syndrome|marker X syndrome|fragile X intellectual disability syndrome|fragile X mental retardation syndrome|Fragile X syndrome, X-linked dominant|marker 10 syndrome|fragile 10 mental retardation syndrome|fragile 10 intellectual disability syndrome|intellectual disability, X-linked, associated with Marxq28|primary ovarian insufficiency, fragile X-associated|fra(X) syndrome|fragile 10 premature ovarian failure|X-linked mental retardation and macroorchidism|X-linked intellectual disability and macroorchidism|mental retardation, X-linked, associated with Marxq28|fragile 10 syndrome","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0010383', 'name': 'MONDO_0010383'}}",name_match,Genetic/Congenital
gastroesophageal_reflux_disease,EFO_0003948,gastroesophageal reflux disease,"GASTROESOPHAGEAL REFLUX DIS|GERD|GERD - gastro-esophageal reflux disease|Gastro-oesophageal Reflux|Gastroesophageal Reflux|Reflux, Gastro-Esophageal|Reflux, Gastroesophageal|gastro-esophageal reflux|gastroesophageal reflux|reflux|Gastro Esophageal Reflux|Reflux, Gastro-oesophageal|acid reflux|Gastro-Esophageal Reflux|Esophageal Reflux|Gastresophageal reflux|Gastro oesophageal Reflux|gastroesophageal reflux disease|gastroesophageal reflux, paediatric|ger|gastroesophageal reflux, pediatric","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003948', 'name': 'EFO_0003948'}}",name_match,Gastrointestinal|Genetic/Congenital
gastrointestinal_stromal_tumor,MONDO_0011719,gastrointestinal stromal tumor,"Gastrointestinal Stromal Tumors|gastrointestinal stromal neoplasm|gastrointestinal stromal tumor|gastrointestinal stromal tumor, familial, isolated cases|gastrointestinal stromal sarcoma|gastrointestinal stromal tumor, isolated cases|stromal tumor of gastrointestinal tract|stromal tumour of gastrointestinal tract|gastrointestinal stromal tumour (gist)|gant|gastrointestinal stromal tumor (gist)|gist|GANT|GIST|gastrointestinal stromal tumors|gastrointestinal stromal tumours","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0011719', 'name': 'MONDO_0011719'}}",name_match,Genetic/Congenital|Cancer/Tumor|Gastrointestinal
glaucoma,MONDO_0005041,glaucoma,glaucoma|glaucoma (disease),"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0005041', 'name': 'MONDO_0005041'}}",name_match,Visual System
glioblastoma_multiforme,EFO_0000519,glioblastoma multiforme,GBM|grade IV astrocytic tumour|grade IV astrocytoma|spongioblastoma multiforme|glioblastoma|primary glioblastoma multiforme|glioblastoma (disease)|grade IV adult astrocytic tumor|glioblastoma multiforme|grade IV astrocytic tumor|GBM (glioblastoma)|WHO grade IV glioma|glioblastoma multiforme (disease)|grade IV astrocytic neoplasm|gliosarcoma (histologic variant)|giant cell glioblastoma (histologic variant)|grade IV adult astrocytic tumor|grade IV adult astrocytic tumour,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000519', 'name': 'EFO_0000519'}}",name_match,Cancer/Tumor|Nervous System
head_and_neck_squamous_cell_carcinoma,EFO_0000181,head and neck squamous cell carcinoma,"squamous cell carcinoma of head and neck|squamous cell carcinoma of the head and neck|head and neck squamous cell carcinoma|squamous cell carcinomas of head and neck|squamous cell carcinoma, head and neck, somatic|SCCHN|HNSCC|craniocervical region squamous cell carcinoma|squamous cell carcinoma, head and neck|carcinoma of the head and neck","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000181', 'name': 'EFO_0000181'}}",name_match,Cancer/Tumor
hemorrhagic_thrombocythemia,EFO_0000479,essential thrombocythemia,essential thrombocythemia|primary thrombocythemia|primary thrombocytosis|essential thrombocythaemia|essential thrombocytemia|essential thrombocytosis|hemorrhagic thrombocythemia|idiopathic thrombocythemia|ET,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000479', 'name': 'EFO_0000479'}}",synonym_match,Genetic/Congenital|Hematologic|Cancer/Tumor|Immune System|Musculoskeletal
hepatitis_C,EFO_0003047,hepatitis C virus infection,"Hepatitis C virus hepatitis|Hepatitis C virus caused hepatitis|hepatitis nonA nonB|HCV infection|acute hepatitis C with hepatic coma|Hepatitis C (disorder)|hepatitis type C|non-A, non-B Hepatitis|Hepatitis non-A non-B (disorder)|hepatitis C infection|hepatitis C|hepatitis C virus infection|Viral hepatitis C|Viral hepatitis C (disorder)|hepatitis Nona nonB|NANBH|viral hepatitis C|chronic hepatitis C","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003047', 'name': 'EFO_0003047'}}",synonym_match,Infectious Disease|Endocrine System|Gastrointestinal
hepatitis_C_virus_related_hepatocellular_carcinoma,EFO_0008504,hepatitis C virus induced hepatocellular carcinoma,hepatitis C virus related hepatocellular carcinoma|hepatitis C virus-related hepatocellular carcinoma,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0008504', 'name': 'EFO_0008504'}}",synonym_match,Cancer/Tumor|Gastrointestinal|Endocrine System
hepatocellular_carcinoma,EFO_0000182,hepatocellular carcinoma,"hepatocellular carcinoma, somatic|liver carcinoma|hepatocellular carcinoma|hepatoma|carcinoma, hepatocellular, malignant|hepatocellular adenocarcinoma|hepatocellular cancer|liver cell cancer (hepatocellular carcinoma)|liver cell carcinoma|carcinoma of liver|hepatocellular cancer, somatic|primary carcinoma of liver cells|hepatocellular carcinoma, childhood type, somatic|primary carcinoma of the liver cells|HCC|liver and intrahepatic bile duct carcinoma|carcinoma of liver cells|hepatoblastoma, somatic|cancer, hepatocellular|carcinoma of the liver cells|hepatoblastoma|hepatoblastoma caused by somatic mutation|liver and intrahepatic bile duct carcinoma|liver cancer|adult hepatoma|adult primary hepatocellular carcinoma","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000182', 'name': 'EFO_0000182'}}",name_match,Endocrine System|Cancer/Tumor|Gastrointestinal
hypertension,EFO_0000537,hypertension,"Blood Pressures, High|HTN - hypertension|High Blood Pressures|blood pressure, high|blood pressure, increased|hypertensive disease|High Blood Pressure|increased blood pressure|pressure, high blood|Blood Pressure, High|HYPERTENSIVE DISEASE|HTN|Hypertensive disease (disorder)|hypertensive disease NOS|Hypertensive disease NOS (disorder)|High blood pressure (& [essential hypertension])|[X]Hypertensive diseases (disorder)|hyperpiesia|high blood pressure|hypertension NOS|[X]Hypertensive diseases|vascular hypertensive disorder|(hypertensive disease) or (hypertension)|SURG COMP - HYPERTENSION|hypertensive disorder|hypertension|HTN","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000537', 'name': 'EFO_0000537'}}",name_match,Cardiovascular
idiopathic_interstitial_pneumonia,MONDO_0002429,idiopathic interstitial pneumonia,diffuse idiopathic pulmonary fibrosis|IIp|IIP|noninfectious pneumonia|idiopathic interstitial pneumonitis|idiopathic fibrosing alveolitis|IPF,"{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/MONDO_0002429', 'name': 'MONDO_0002429'}}",name_match,Infectious Disease|Respiratory
idiopathic_pulmonary_fibrosis,EFO_0000768,idiopathic pulmonary fibrosis,"usual interstitial pneumonia|fibrocystic pulmonary dysplasia|CFA|UIP|idiopathic pulmonary fibrosis|cryptogenic fibrosing alveolitis|idiopathic pulmonary fibrosis, familial|familial idiopathic pulmonary fibrosis|fibrosing alveolitis, cryptogenic|Hamman-rich disease|interstitial pneumonitis, usual|IPF|pulmonary fibrosis, idiopathic|fibrosing alveolitis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0000768', 'name': 'EFO_0000768'}}",name_match,Cancer/Tumor|Respiratory
inclusion_body_myositis,EFO_0007323,inclusion body myositis,"sporadic inclusion body myositis|inclusion body myopathy 2|inclusion body myositis|Distal myopathy, Nonaka type|Nonaka myopathy|IBM2|Nonaka Myopathy|Sporadic Inclusion Body Myositis|inclusion body myopathy 3|HIBM|sIBM|Hereditary Inclusion Body Myopathy|IBM-3|IBM|Myositis, Inclusion Body|Distal Myopathy with Rimmed Vacuoles (DMRV)|Ibm|inflammatory myopathy","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0007323', 'name': 'EFO_0007323'}}",name_match,Immune System|Musculoskeletal
inflammatory_bowel_disease,EFO_0003767,inflammatory bowel disease,"Bowel Diseases, Inflammatory|INFLAMM BOWEL DIS|IBD|inflammatory bowel disease|autoimmune bowel disorder|Inflammatory Bowel Diseases","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0003767', 'name': 'EFO_0003767'}}",name_match,Genetic/Congenital|Immune System|Gastrointestinal
influenza,EFO_0007328,influenza,"Influenza with other manifestations NOS (disorder)|influenza|Influenza with non-respiratory manifestation (disorder)|Influenza with other manifestations|orthomyxoviridae caused disease or disorder|orthomyxoviridae disease or disorder|orthomyxoviridae infectious disease|flu|influenza with non-respiratory manifestation|influenza infection|Influenza, Human|influenza virus infection|Influenza with other manifestations (disorder)","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0007328', 'name': 'EFO_0007328'}}",name_match,Infectious Disease|Respiratory
intellectual_disability,HP_0001249,Intellectual disability,"Nonprogressive intellectual disability|Nonprogressive mental retardation|Intellectual disability|Mental deficiency|Mental retardation|Mental retardation, nonspecific|Mental-retardation|Dull intelligence|Poor school performance|Low intelligence","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://purl.obolibrary.org/obo/HP_0001249', 'name': 'HP_0001249'}}",name_match,Phenotype
interstitial_cystitis,EFO_0008507,interstitial cystitis,"bladder pain syndrome|chronic interstitial cystitis|interstitial cystitis/painful bladder syndrome|painful bladder syndrome|IC/PBS|interstitial cystitis, chronic|interstitial cystitis/bladder pain syndrome|ulcerative cystitis|IC/BPS|interstitial cystitis","{'isTherapeuticArea': False, 'leaf': False, 'sources': {'url': 'http://www.ebi.ac.uk/efo/EFO_0008507', 'name': 'EFO_0008507'}}",name_match,Musculoskeletal|Urinary System
