disease_id,drug_disease_label
EFO_0000699,Sjogren syndrome
EFO_0000701,skin disease
EFO_0000702,small cell lung carcinoma
EFO_0000706,spondyloarthropathy
EFO_0000707,squamous cell carcinoma
EFO_0000708,squamous cell lung carcinoma
EFO_0000712,stroke
EFO_0000713,subarachnoid hemorrhage
EFO_0000717,systemic scleroderma
EFO_0000729,ulcerative colitis
EFO_0000731,uterine fibroid
EFO_0000756,melanoma
EFO_0000759,lipoma
EFO_0000760,malignant peripheral nerve sheath tumor
EFO_0000763,viral disease
EFO_0000764,HIV infection
EFO_0000765,AIDS
EFO_0000768,idiopathic pulmonary fibrosis
EFO_0000769,Epstein-Barr virus infection
EFO_0000770,malignant pleural mesothelioma
EFO_0000771,bacterial disease
EFO_0000773,temporal lobe epilepsy
EFO_0000778,anthrax infection
EFO_0000783,myositis
EFO_0001054,leprosy
EFO_0001060,celiac disease
EFO_0001061,cervical carcinoma
EFO_0001062,cytomegalovirus infection
EFO_0001063,deafness
EFO_0001064,Down syndrome
EFO_0001065,endometriosis
EFO_0001068,malaria
EFO_0001069,nutritional disorder
EFO_0001071,lung carcinoma
EFO_0001072,memory impairment
EFO_0001073,obesity
EFO_0001074,morbid obesity
EFO_0001075,ovarian carcinoma
EFO_0001356,familial amyotrophic lateral sclerosis
EFO_0001357,sporadic amyotrophic lateral sclerosis
EFO_0001358,post-traumatic stress disorder
EFO_0001361,pulmonary arterial hypertension
EFO_0001365,age-related macular degeneration
EFO_0001376,synovial sarcoma
EFO_0001378,multiple myeloma
EFO_0001379,endocrine system disease
EFO_0001380,hypopituitarism
EFO_0001382,puberty
EFO_0001416,cervical adenocarcinoma
EFO_0001421,liver disease
EFO_0001422,cirrhosis of liver
EFO_0001423,encephalomyelitis
EFO_0001642,lymphoid neoplasm
EFO_0001645,coronary artery disease
EFO_0001663,prostate carcinoma
EFO_0001666,aortic aneurysm
EFO_0001668,human papilloma virus infection
EFO_0002087,fibrosarcoma
EFO_0002424,fibroma
EFO_0002426,neoplasm of mature T-cells or NK-cells
EFO_0002427,myeloid neoplasm
EFO_0002428,chronic myeloproliferative disorder
EFO_0002429,polycythemia vera
EFO_0002430,primary myelofibrosis
EFO_0002431,tumour of cranial and spinal nerves
EFO_0002460,hypertrophy
EFO_0002496,actinic keratosis
EFO_0002497,acute hypotension
EFO_0002499,anaplastic astrocytoma
EFO_0002500,anaplastic oligoastrocytoma
EFO_0002501,anaplastic oligodendroglioma
EFO_0002546,abnormal glucose tolerance
EFO_0002608,AIDS dementia
EFO_0002609,juvenile idiopathic arthritis
EFO_0002610,cocaine dependence
EFO_0002612,human herpesvirus 8 infection
EFO_0002614,insulin resistance
EFO_0002615,internal carotid artery stenosis
EFO_0002617,metastatic melanoma
EFO_0002618,pancreatic carcinoma
EFO_0002621,prostate intraepithelial neoplasia
EFO_0002626,thymus neoplasm
EFO_0002627,vulvar intraepithelial neoplasia
EFO_0002628,peripartum cardiomyopathy
EFO_0002687,ischemia reperfusion injury
EFO_0002689,antiphospholipid syndrome
EFO_0002756,fasting
EFO_0002890,renal carcinoma
EFO_0002892,thyroid carcinoma
EFO_0002893,choriocarcinoma
EFO_0002913,Cutaneous T-cell lymphoma
EFO_0002914,uterine sarcoma
EFO_0002916,esophageal carcinoma
EFO_0002917,ovarian serous adenocarcinoma
EFO_0002918,rhabdomyosarcoma
EFO_0002921,vulvar carcinoma
EFO_0002938,hypopharyngeal carcinoma
EFO_0002939,medulloblastoma
EFO_0002950,pregnancy
EFO_0002970,muscular disease
EFO_0003014,breast fibrocystic disease
EFO_0003015,aggressive behavior
EFO_0003016,collecting duct carcinoma
EFO_0003017,transitional cell carcinoma of kidney
EFO_0003025,acute megakaryoblastic leukaemia
EFO_0003027,acute myeloblastic leukemia without maturation
EFO_0003028,acute myeloblastic leukemia with maturation
EFO_0003029,acute basophilic leukemia
EFO_0003030,abscess
EFO_0003032,anaplastic large cell lymphoma
EFO_0003035,cellulitis
EFO_0003047,hepatitis C virus infection
EFO_0003050,large cell lung carcinoma
EFO_0003060,non-small cell lung carcinoma
EFO_0003063,polymyositis
EFO_0003073,asymptomatic myeloma
EFO_0003085,dedifferentiated liposarcoma
EFO_0003086,kidney disease
EFO_0003095,non-alcoholic fatty liver disease
EFO_0003097,empyema
EFO_0003099,Cushing syndrome
EFO_0003100,peripheral neuropathy
EFO_0003102,osteomyelitis
EFO_0003103,urinary tract infection
EFO_0003106,pneumonia
EFO_0003108,essential tremor
EFO_0003144,heart failure
EFO_0003756,autism spectrum disorder
EFO_0003757,Asperger syndrome
EFO_0003758,autism
EFO_0003762,vitamin D deficiency
EFO_0003763,cerebrovascular disorder
EFO_0003764,transient ischemic attack
EFO_0003767,inflammatory bowel disease
EFO_0003768,nicotine dependence
EFO_0003769,endocrine neoplasm
EFO_0003770,diabetic retinopathy
EFO_0003777,heart disease
EFO_0003778,psoriatic arthritis
EFO_0003780,Behcet's syndrome
EFO_0003781,carotid artery disease
EFO_0003782,motor neuron disease
EFO_0003802,refractory anemia
EFO_0003811,refractory anemia with excess blasts
EFO_0003812,refractory anemia with ringed sideroblasts
EFO_0003817,laryngeal neoplasm
EFO_0003818,lung disease
EFO_0003820,bone neoplasm
EFO_0003822,hyperemia
EFO_0003825,serous adenocarcinoma
EFO_0003826,salivary gland neoplasm
EFO_0003827,pulmonary embolism
EFO_0003828,spinal cord neoplasm
EFO_0003830,prostatitis
EFO_0003833,brain neoplasm
EFO_0003834,cutaneous lupus erythematosus
EFO_0003835,anal neoplasm
EFO_0003839,retinopathy
EFO_0003840,chronic progressive multiple sclerosis
EFO_0003841,thyroid neoplasm
EFO_0003843,pain
EFO_0003846,urethral neoplasm
EFO_0003851,meningeal neoplasm
EFO_0003852,developmental disability
EFO_0003853,respiratory system neoplasm
EFO_0003854,postmenopausal osteoporosis
EFO_0003855,intestinal polyp
EFO_0003859,uterine neoplasm
EFO_0003860,pancreatic neoplasm
EFO_0003863,urogenital neoplasm
EFO_0003865,kidney neoplasm
EFO_0003866,paranasal sinus neoplasm
EFO_0003867,rhabdomyolysis
EFO_0003868,mouth neoplasm
EFO_0003869,breast neoplasm
EFO_0003870,brain aneurysm
EFO_0003872,colitis
EFO_0003875,peripheral vascular disease
EFO_0003876,intermittent vascular claudication
EFO_0003877,sleep apnea
EFO_0003878,urethritis
EFO_0003882,osteoporosis
EFO_0003884,chronic kidney disease
EFO_0003888,attention deficit hyperactivity disorder
EFO_0003890,drug dependence
EFO_0003891,biliary tract neoplasm
EFO_0003893,ovarian neoplasm
EFO_0003894,acne
EFO_0003895,epistaxis
EFO_0003896,left ventricular hypertrophy
EFO_0003897,stomach neoplasm
EFO_0003898,ankylosing spondylitis
EFO_0003899,contracture
EFO_0003901,dysuria
EFO_0003902,spinal fracture
EFO_0003907,deep vein thrombosis
EFO_0003911,atrial flutter
EFO_0003913,angina pectoris
EFO_0003914,atherosclerosis
EFO_0003917,premature birth
EFO_0003918,obstructive sleep apnea
EFO_0003921,pouchitis
EFO_0003925,cognition
EFO_0003928,necrotizing enterocolitis
EFO_0003929,relapsing-remitting multiple sclerosis
EFO_0003931,bone fracture
EFO_0003938,aphthous ulcer
EFO_0003940,physical activity
EFO_0003943,humerus fracture
EFO_0003944,tibia fracture
EFO_0003948,gastroesophageal reflux disease
EFO_0003956,seasonal allergic rhinitis
EFO_0003957,radius fracture
EFO_0003958,sunburn
EFO_0003963,freckles
EFO_0003964,hip fracture
EFO_0003966,eye disease
EFO_0003968,angiosarcoma
EFO_0004129,familial amyloid neuropathy
EFO_0004142,colorectal neoplasm
EFO_0004143,carpal tunnel syndrome
EFO_0004145,myopathy
EFO_0004149,neuropathy
EFO_0004152,chorea
EFO_0004190,open-angle glaucoma
EFO_0004191,androgenetic alopecia
EFO_0004192,alopecia areata
EFO_0004193,basal cell carcinoma
EFO_0004194,IGA glomerulonephritis
EFO_0004197,hepatitis B virus infection
EFO_0004198,skin neoplasm
EFO_0004207,pathological myopia
EFO_0004208,Vitiligo
EFO_0004209,hypospadias
EFO_0004211,Hypertriglyceridemia
EFO_0004212,Keloid
EFO_0004214,Abdominal Aortic Aneurysm
EFO_0004216,conduct disorder
EFO_0004220,chronic hepatitis C virus infection
EFO_0004224,Coronary Restenosis
EFO_0004225,Coronary Vasospasm
EFO_0004227,Dengue Hemorrhagic Fever
EFO_0004228,drug-induced liver injury
EFO_0004229,Dupuytren Contracture
EFO_0004230,endometrial neoplasm
EFO_0004232,eosinophilic esophagitis
EFO_0004234,erectile dysfunction
EFO_0004235,exfoliation syndrome
EFO_0004236,focal segmental glomerulosclerosis
EFO_0004237,Graves disease
EFO_0004238,hearing loss
EFO_0004239,chronic hepatitis B virus infection
EFO_0004240,heroin dependence
EFO_0004242,obsessive-compulsive disorder
EFO_0004243,carcinoid tumor
EFO_0004244,interstitial lung disease
EFO_0004246,mucocutaneous lymph node syndrome
EFO_0004247,mood disorder
EFO_0004248,male infertility
EFO_0004251,myeloproliferative disorder
EFO_0004252,nasopharyngeal neoplasm
EFO_0004253,nephrolithiasis
EFO_0004254,membranous glomerulonephritis
EFO_0004255,nephrotic syndrome
EFO_0004256,neuromyelitis optica
EFO_0004257,neurotic disorder
EFO_0004259,osteonecrosis
EFO_0004260,bone disease
EFO_0004261,osteitis deformans
EFO_0004262,panic disorder
EFO_0004263,partial epilepsy
EFO_0004264,vascular disease
EFO_0004265,peripheral arterial disease
EFO_0004266,primary ovarian insufficiency
EFO_0004267,biliary liver cirrhosis
EFO_0004268,sclerosing cholangitis
EFO_0004269,cardiac arrhythmia
EFO_0004270,restless legs syndrome
EFO_0004272,anemia (phenotype)
EFO_0004273,scoliosis
EFO_0004274,gout
EFO_0004276,Stevens-Johnson syndrome
EFO_0004277,brain infarction
EFO_0004278,sudden cardiac arrest
EFO_0004280,movement disorder
EFO_0004281,testicular neoplasm
EFO_0004282,thoracic aortic aneurysm
EFO_0004284,upper aerodigestive tract neoplasm
EFO_0004285,albuminuria
EFO_0004286,venous thromboembolism
EFO_0004287,ventricular fibrillation
EFO_0004288,colonic neoplasm
EFO_0004289,lymphoid leukemia
EFO_0004318,smoking behavior
EFO_0004319,smoking cessation
EFO_0004320,suicidal ideation
EFO_0004321,attempted suicide
EFO_0004329,alcohol drinking
EFO_0004335,short-term memory
EFO_0004337,intelligence
EFO_0004364,neurobehavioral manifestations
EFO_0004517,arterial stiffness measurement
EFO_0004540,chronic fatigue syndrome
EFO_0004566,body weight gain
EFO_0004593,gestational diabetes
EFO_0004599,acute graft vs. host disease
EFO_0004606,gallbladder neoplasm
EFO_0004607,duodenal ulcer
EFO_0004610,acute lung injury
EFO_0004616,"osteoarthritis, knee"
EFO_0004683,wet macular degeneration
EFO_0004698,insomnia
EFO_0004699,gambling behaviour
EFO_0004701,methamphetamine dependence
EFO_0004705,hypothyroidism
EFO_0004708,nodular sclerosis Hodgkin lymphoma
EFO_0004710,pelvic organ prolapse
EFO_0004714,sexual dysfunction
EFO_0004718,vascular dementia
EFO_0004719,pemphigus vulgaris
EFO_0004775,toxic epidermal necrolysis
EFO_0004777,alcohol withdrawal
EFO_0004799,cholelithiasis
EFO_0004826,anti-neutrophil antibody associated vasculitis
EFO_0004888,post operative nausea and vomiting
EFO_0004895,Tourette syndrome
EFO_0004911,familial hypercholesterolemia
EFO_0004991,Myasthenia gravis
EFO_0004992,Otitis media
EFO_0004997,type 2 diabetes nephropathy
EFO_0005044,Leishmaniasis
EFO_0005046,cutaneous Leishmaniasis
EFO_0005088,testicular carcinoma
EFO_0005109,energy expenditure
EFO_0005140,autoimmune disease
EFO_0005203,eating disorder
EFO_0005204,bulimia nervosa
EFO_0005207,congenital heart disease
EFO_0005220,pulmonary neuroendocrine tumor
EFO_0005221,cholangiocarcinoma
EFO_0005222,avian influenza
EFO_0005223,acute stress reaction
EFO_0005226,swine influenza
EFO_0005230,anxiety
EFO_0005232,endometrium adenocarcinoma
EFO_0005235,primitive neuroectodermal tumor
EFO_0005240,rhegmatogenous retinal detachment
EFO_0005246,hypersomnia
EFO_0005251,hypotension
EFO_0005252,orthostatic hypotension
EFO_0005279,temporomandibular joint disorder
EFO_0005288,non-small cell lung adenocarcinoma
EFO_0005297,Granulomatosis with Polyangiitis
EFO_0005306,ventricular tachycardia
EFO_0005319,contact dermatitis
EFO_0005323,post-operative sign or symptom
EFO_0005406,colorectal adenoma
EFO_0005407,psychosis
EFO_0005411,schizoaffective disorder
EFO_0005422,skin aging
EFO_0005529,Chagas cardiomyopathy
EFO_0005531,urticaria
EFO_0005532,angioedema
EFO_0005537,triple-negative breast cancer
EFO_0005539,adrenal gland disease
EFO_0005540,bile duct carcinoma
EFO_0005542,botulism
EFO_0005543,glioma
EFO_0005547,dengue disease
EFO_0005555,gamma chain deficiency
EFO_0005558,hemolytic anemia
EFO_0005561,histiocytoma
EFO_0005567,malignant peritoneal mesothelioma
EFO_0005570,oral cavity cancer
EFO_0005577,pharynx cancer
EFO_0005582,renal pelvis carcinoma
EFO_0005588,small intestine carcinoma
EFO_0005592,T-cell leukemia
EFO_0005611,opioid dependence
EFO_0005612,morphine dependence
EFO_0005628,proctitis
EFO_0005629,small bowel Crohn's disease
EFO_0005631,rectal adenocarcinoma
EFO_0005669,intracerebral hemorrhage
EFO_0005672,acute coronary syndrome
EFO_0005676,Autoimmune Hepatitis
EFO_0005687,fibromyalgia
EFO_0005701,malignant rhabdoid tumour
EFO_0005708,renal cell adenocarcinoma
EFO_0005741,infectious disease
EFO_0005751,eye allergy
EFO_0005752,eye inflammation
EFO_0005753,ocular vascular disease
EFO_0005754,parathyroid disease
EFO_0005755,rheumatic disease
EFO_0005756,skin wound
EFO_0005757,vaginal inflammation
EFO_0005761,lupus nephritis
EFO_0005762,neuropathic pain
EFO_0005773,retinal detachment
EFO_0005774,brain disease
EFO_0005783,NUT midline carcinoma
EFO_0005799,neonatal abstinence syndrome
EFO_0005800,substance withdrawal syndrome
EFO_0005801,cholesterol embolism
EFO_0005803,hematologic disease
EFO_0005854,allergic rhinitis
EFO_0005856,arthritis
EFO_0005878,vitamin deficiency
EFO_0005922,esophageal squamous cell carcinoma
EFO_0005924,binge eating
EFO_0005950,head and neck neoplasia
EFO_0005952,non-Hodgkins lymphoma
EFO_0006313,chemotherapy-induced oral mucositis
EFO_0006318,breast ductal adenocarcinoma
EFO_0006344,medication adherence behavior
EFO_0006346,severe cutaneous adverse reaction
EFO_0006352,laryngeal squamous cell carcinoma
EFO_0006452,malignant epithelioid mesothelioma
EFO_0006462,ovarian mucinous adenocarcinoma
EFO_0006475,plasma cell leukemia
EFO_0006501,carotid plaque build
EFO_0006505,chronic bronchitis
EFO_0006510,Herpes Zoster
EFO_0006544,bladder transitional cell carcinoma
EFO_0006718,ovarian leiomyosarcoma
EFO_0006732,pancreatic adenosquamous carcinoma
EFO_0006738,plasmacytoma
EFO_0006772,undifferentiated carcinoma
EFO_0006788,anxiety disorder
EFO_0006790,cerebral amyloid angiopathy
EFO_0006792,Lewy body dementia
EFO_0006803,vasculitis
EFO_0006818,stricture
EFO_0006834,septic shock
EFO_0006859,head and neck malignant neoplasia
EFO_0006861,male breast carcinoma
EFO_0006862,Meniere disease
EFO_0006865,urgency urinary incontinence
EFO_0006888,vascular malformation
EFO_0006890,fibrosis
EFO_0006911,Chemotherapy-induced nausea and vomiting
EFO_0006912,Radiation-induced nausea and vomiting
EFO_0006926,acquired aplastic anemia
EFO_0006927,severe aplastic anemia
EFO_0006928,motion sickness
EFO_0007053,myelosuppression
EFO_0007067,decubitus ulcer
EFO_0007126,Acanthamoeba keratitis
EFO_0007135,adult-onset Still's disease
EFO_0007140,allergic bronchopulmonary aspergillosis
EFO_0007141,allergic conjunctivitis
EFO_0007143,alveolar soft part sarcoma
EFO_0007147,anogenital venereal wart
EFO_0007148,aortic valve insufficiency
EFO_0007149,appendicitis
EFO_0007157,aspergillosis
EFO_0007160,autoimmune thrombocytopenic purpura
EFO_0007167,Bell's palsy
EFO_0007168,berylliosis
EFO_0007169,biliary dyskinesia
EFO_0007183,bronchiolitis obliterans
EFO_0007185,brucellosis
EFO_0007187,bullous pemphigoid
EFO_0007191,cannabis dependence
EFO_0007200,cerebral toxoplasmosis
EFO_0007205,Chlamydia trachomatis infectious disease
EFO_0007208,Churg-Strauss syndrome
EFO_0007211,coccidioidomycosis
EFO_0007214,common cold
EFO_0007224,coronavirus infectious disease
EFO_0007227,croup
EFO_0007228,cryptococcal meningitis
EFO_0007231,cysticercosis
EFO_0007243,Ebola hemorrhagic fever
EFO_0007257,eosinophilic pneumonia
EFO_0007262,epilepsy with generalized tonic-clonic seizures
EFO_0007272,filarial elephantiasis
EFO_0007292,Guillain-Barre syndrome
EFO_0007294,"hand, foot and mouth disease"
EFO_0007304,hepatitis D virus infection
EFO_0007310,histoplasmosis
EFO_0007312,HIV wasting syndrome
EFO_0007313,HIV-associated nephropathy
EFO_0007318,hyperinsulinemic hypoglycemia
EFO_0007319,hyperprolactinemia
EFO_0007323,inclusion body myositis
EFO_0007328,influenza
EFO_0007331,islet cell tumor
EFO_0007332,Japanese encephalitis
EFO_0007338,Lassa fever
EFO_0007344,leptospirosis
EFO_0007355,male reproductive organ cancer
EFO_0007357,mansonelliasis
EFO_0007359,mast-cell leukemia
EFO_0007362,mediastinal cancer
EFO_0007363,meibomian cyst
EFO_0007369,milk allergic reaction
EFO_0007372,mitral valve stenosis
EFO_0007375,molluscum contagiosum
EFO_0007386,Mycobacterium avium complex disease
EFO_0007401,oligohydramnios
EFO_0007403,ophthalmic herpes zoster
EFO_0007405,optic neuritis
EFO_0007410,ornithosis
EFO_0007415,otitis media with effusion
EFO_0007416,pancreatic endocrine carcinoma
EFO_0007421,paronychia
EFO_0007425,peanut allergic reaction
EFO_0007427,pericarditis
EFO_0007430,persian gulf syndrome
EFO_0007440,placenta accreta
EFO_0007442,placenta praevia
EFO_0007443,placental insufficiency
EFO_0007444,Plasmodium falciparum malaria
EFO_0007448,pneumocystosis
EFO_0007450,poliomyelitis
EFO_0007453,postpartum depression
EFO_0007454,postpoliomyelitis syndrome
EFO_0007455,progressive multifocal leukoencephalopathy
EFO_0007456,pseudomyxoma peritonei
EFO_0007460,reactive arthritis
EFO_0007462,REM sleep behavior disorder
EFO_0007466,retroperitoneal cancer
EFO_0007470,rhinoscleroma
EFO_0007480,scrub typhus
EFO_0007486,sinusitis
EFO_0007490,spinal stenosis
EFO_0007498,Stiff-Person syndrome
EFO_0007504,syphilis
EFO_0007507,thoracic outlet syndrome
EFO_0007512,tinea pedis
EFO_0007520,trichinosis
EFO_0007527,tropical spastic paraparesis
EFO_0007532,uterine corpus cancer
EFO_0007533,vasomotor rhinitis
EFO_0007535,verrucous carcinoma
EFO_0007537,vestibular neuronitis
EFO_0007541,viral pneumonia
EFO_0007549,Zollinger-Ellison Syndrome
EFO_0007585,Cannabis use
EFO_0007623,suicide behaviour
EFO_0007634,major depressive episode
EFO_0007948,HIV-associated neurocognitive disorder
EFO_0007949,acute-on-chronic liver failure
EFO_0008490,ampulla of Vater adenocarcinoma
EFO_0008493,cerebral small vessel disease
EFO_0008496,chronic hepatitis
EFO_0008506,hyperparathyroidism
EFO_0008507,interstitial cystitis
EFO_0008510,Lyme disease
EFO_0008514,neurofibromatosis
EFO_0008515,nodular melanoma
EFO_0008516,non-functioning pituitary adenoma
EFO_0008517,oral lichen planus
EFO_0008518,polymyalgia rheumatica
EFO_0008520,primary progressive multiple sclerosis
EFO_0008521,rhinitis
EFO_0008522,secondary progressive multiple sclerosis
EFO_0008524,small cell carcinoma
EFO_0008525,spinal muscular atrophy
EFO_0008526,status epilepticus
EFO_0008527,steatosis
EFO_0008528,urothelial carcinoma
EFO_0008533,dyspepsia
EFO_0008546,poisoning
EFO_0008549,digestive system neoplasm
EFO_0008550,Hepatobiliary Neoplasm
EFO_0008553,femur fracture
EFO_0008560,female infertility
EFO_0008568,Sleep Disorder
EFO_0008571,viral conjunctivitis
EFO_0008572,malnutrition
EFO_0008573,alcoholic liver disease
EFO_0008583,acute myocardial infarction
EFO_0008585,ST Elevation Myocardial Infarction
EFO_0008586,Non-ST Elevation Myocardial Infarction
EFO_0008588,peritonitis
EFO_0008590,Status Asthmaticus
EFO_0008615,cystic kidney disease
EFO_0008620,Polycystic Kidney Disease
EFO_0008623,dysthymic disorder
EFO_0008626,vitreous hemorrhage
EFO_0008997,synovitis
EFO_0009001,Mastocytosis
EFO_0009006,hyperandrogenism
EFO_0009029,Central precocious puberty
EFO_0009052,Pleuropulmonary blastoma
EFO_0009064,X-linked erythropoietic protoporphyria
EFO_0009085,arterial occlusive disease
EFO_0009104,hyperuricemia
EFO_0009117,typhus
EFO_0009146,pik3ca related overgrowth spectrum
EFO_0009189,hyperthyroidism
EFO_0009190,Thyrotoxicosis
EFO_0009197,Pulmonary arterial hypertension associated with portal hypertension
EFO_0009200,Eisenmenger syndrome
EFO_0009259,skin carcinoma
EFO_0009260,non-melanoma skin carcinoma
EFO_0009267,delirium
EFO_0009314,blood coagulation disease
EFO_0009315,thrombophilia
EFO_0009321,diabetic macular edema
EFO_0009322,proliferative diabetic retinopathy
EFO_0009364,non-allergic rhinitis
EFO_0009373,edema
EFO_0009386,central nervous system disease
EFO_0009387,peripheral nervous system disease
EFO_0009425,Yersinia pestis infectious disease
EFO_0009429,Mycobacterium infection
EFO_0009430,neuralgia
EFO_0009431,intestinal disease
EFO_0009441,Waldenstrom macroglobulinemia
EFO_0009444,hypoxia
EFO_0009447,hypoxemia
EFO_0009448,pulmonary fibrosis
EFO_0009451,hypoparathyroidism
EFO_0009452,hyperaldosteronism
EFO_0009453,hemiplegia
EFO_0009454,gastric ulcer
EFO_0009456,exfoliative dermatitis
EFO_0009473,hemolysis
EFO_0009482,drug allergy
EFO_0009483,breast disease
EFO_0009488,spinal cord disease
EFO_0009490,nervous system injury
EFO_0009491,adrenocortical insufficiency
EFO_0009492,cardiac arrest
EFO_0009493,paroxysmal tachycardia
EFO_0009505,head injury
EFO_0009507,knee injury
EFO_0009509,limb injury
EFO_0009513,multiple bone fractures
EFO_0009514,upper extremity fracture
EFO_0009515,wrist fracture
EFO_0009516,burn
EFO_0009520,contraception
EFO_0009523,fecal incontinence
EFO_0009531,aortic valve disease
EFO_0009534,biliary tract disease
EFO_0009536,blepharitis
EFO_0009538,chronic inflammatory demyelinating polyneuropathy
EFO_0009545,esophageal varices
EFO_0009550,headache disorder
EFO_0009552,hemorrhoid
EFO_0009558,mononeuropathy
EFO_0009560,otitis externa
