creeds_disease,disease_id,disease_name,drug_disease_match_id,drug_match_method,therapeutic_areas,primary_therapeutic_area
intellectual_disability,HP_0001249,Intellectual disability,HP_0001249,id_match,Phenotype,Phenotype
interstitial_cystitis,EFO_0008507,interstitial cystitis,EFO_0008507,id_match,Musculoskeletal|Urinary System,Musculoskeletal
intracranial_aneurysm,EFO_0003870,brain aneurysm,EFO_0003870,id_match,Nervous System|Cardiovascular,Nervous System
invasive_ductal_carcinoma,EFO_0000186,invasive breast ductal carcinoma,EFO_0000186,id_match,Cancer/Tumor|Reproductive/Breast|Skin/Integumentary,Cancer/Tumor
juvenile_rheumatoid_arthritis,EFO_0002609,juvenile idiopathic arthritis,EFO_0002609,id_match,Immune System|Musculoskeletal,Immune System
large_cell_neuroendocrine_carcinoma,EFO_0000563,large cell neuroendocrine carcinoma,EFO_0000563,id_match,Endocrine System|Cancer/Tumor,Endocrine System
leukemia,EFO_0000565,leukemia,EFO_0000565,id_match,Cancer/Tumor|Hematologic,Cancer/Tumor
liver_cirrhosis,EFO_0001422,cirrhosis of liver,EFO_0001422,id_match,Cancer/Tumor|Endocrine System|Gastrointestinal,Cancer/Tumor
lung_adenocarcinoma,EFO_0000571,lung adenocarcinoma,EFO_0000571,id_match,Cancer/Tumor|Respiratory,Cancer/Tumor
lung_large_cell_carcinoma,EFO_0003050,large cell lung carcinoma,EFO_0003050,id_match,Cancer/Tumor|Respiratory,Cancer/Tumor
lung_small_cell_carcinoma,EFO_0000702,small cell lung carcinoma,EFO_0000702,id_match,Genetic/Congenital|Endocrine System|Respiratory|Cancer/Tumor,Genetic/Congenital
lung_squamous_cell_carcinoma,EFO_0000708,squamous cell lung carcinoma,EFO_0000708,id_match,Cancer/Tumor|Respiratory,Cancer/Tumor
lupus_erythematosus,MONDO_0004670,lupus erythematosus,MONDO_0004670,id_match,Musculoskeletal|Immune System,Musculoskeletal
macular_degeneration,EFO_0009606,macular degeneration,EFO_0009606,id_match,Nervous System|Visual System,Nervous System
malignant_pleural_mesothelioma,EFO_0000770,malignant pleural mesothelioma,EFO_0000770,id_match,Gastrointestinal|Respiratory|Cancer/Tumor,Gastrointestinal
melanoma,EFO_0000756,melanoma,EFO_0000756,id_match,Cancer/Tumor,Cancer/Tumor
mental_depression,MONDO_0002050,depressive disorder,MONDO_0002050,id_match,Nervous System|Psychiatric,Nervous System
monoclonal_gammopathy_of_uncertain_significance,EFO_0000203,monoclonal gammopathy,EFO_0000203,id_match,Hematologic,Hematologic
morbid_obesity,EFO_0001074,morbid obesity,EFO_0001074,id_match,Metabolic,Metabolic
multiple_myeloma,EFO_0001378,multiple myeloma,EFO_0001378,id_match,Immune System|Hematologic|Genetic/Congenital|Cancer/Tumor,Immune System
multiple_sclerosis,MONDO_0005301,multiple sclerosis,MONDO_0005301,id_match,Nervous System|Immune System,Nervous System
muscular_dystrophy,MONDO_0020121,muscular dystrophy,MONDO_0020121,id_match,Nervous System|Genetic/Congenital|Musculoskeletal,Nervous System
myelodysplastic_syndrome,EFO_0000198,myelodysplastic syndrome,EFO_0000198,id_match,Hematologic|Cancer/Tumor|Genetic/Congenital,Hematologic
myocardial_infarction,EFO_0000612,myocardial infarction,EFO_0000612,id_match,Cardiovascular,Cardiovascular
myotonic_dystrophy_type_1,MONDO_0008056,myotonic dystrophy type 1,MONDO_0008056,id_match,Cardiovascular|Genetic/Congenital|Musculoskeletal|Nervous System,Cardiovascular
nasopharynx_carcinoma,MONDO_0015459,nasopharyngeal carcinoma,MONDO_0015459,id_match,Cancer/Tumor|Gastrointestinal|Infectious Disease|Respiratory,Cancer/Tumor
nephroblastoma,Orphanet_654,Nephroblastoma,MONDO_0006058,synonym_match,Urinary System|Genetic/Congenital|Cancer/Tumor,Urinary System
nicotine_dependence,EFO_0003768,nicotine dependence,EFO_0003768,id_match,Psychiatric|Nervous System,Psychiatric
obesity,EFO_0001073,obesity,EFO_0001073,id_match,Metabolic,Metabolic
oligodendroglioma,EFO_0000632,oligodendroglioma,EFO_0000632,id_match,Cancer/Tumor|Nervous System,Cancer/Tumor
osteoarthritis,MONDO_0005178,osteoarthritis,MONDO_0005178,id_match,Musculoskeletal,Musculoskeletal
