gene_symbol,adj.P.Val,logfc_dz
GIPC1,0.000237445522713168,-1.14119787127616
LINC01355,0.0138642933086113,-1.14674287011569
MCHR2-AS1,0.000843458974069793,-1.14972982463986
DAPK1-IT1,0.00319814771400016,-1.15372020230828
SIRPB1,0.00213917793589346,-1.15813426673364
SNORA71B,0.00127706984661004,-1.15828598269599
NR4A1,0.046404981392833,-1.1720963356119
LOC102724929,0.000680699669702785,-1.17387219397051
JSRP1,0.000662144928496812,-1.17497426355523
LINC01676,0.00109005582138525,-1.1833732103819
KMT5C,0.000407434875721742,-1.19785547117457
TRAPPC1,0.00435166731948518,-1.22677495551378
SMIM24,0.0309158506326867,-1.22848347871671
KCNS1,0.000405705492675839,-1.22979804984425
WNT10B,0.00024644418401655,-1.23008117300943
LRRC25,0.00198661021051321,-1.23481959277251
RN7SL587P,0.00134370027852576,-1.23756806054555
TOB2,0.0110592119181112,-1.24431222950453
CST2,0.000544885356223023,-1.25656278010975
HSPB6,0.0122176818424072,-1.26349647637401
PMCHL1,0.000841112320749758,-1.27620814055397
PNPLA2,0.000405705492675839,-1.28010121267977
PLA2G4F,0.0102921993010629,-1.28167420033222
RAB3IL1,0.000846520285029016,-1.28757595826094
PPP1R1B,0.0099115714350264,-1.28986709144722
CST4,0.00615510395290487,-1.29301587618622
FKBP8,0.00215764045506719,-1.29760132782364
RN7SKP187,0.000459829383484945,-1.30111409796746
COL6A1,0.00143255328807004,-1.31198958718873
IL2RG,0.00100866980106027,-1.32108684675209
ELN,0.00660449042884594,-1.32983064018483
LINC00520,0.00024644418401655,-1.34291228819692
LINC00957,0.000204345298305107,-1.34680336437193
ZFP36,0.0334298797040444,-1.34750723206501
IGLV2-14,0.000479930558143798,-1.38282185286595
IGLL3P,0.0378058887333307,-1.38430389409887
MUC8,0.000438186877737724,-1.38712480043302
RHOB,0.00125671288750128,-1.39578667859146
JUNB,0.0135183377072688,-1.41117192082397
EGR1,0.0328787235724958,-1.41123944363317
SPTAN1,0.00053542513783174,-1.41913302160754
CFL1,0.00100290764706464,-1.42632494383496
LOC112268025,0.00127302279604806,-1.43803795074221
PTMAP4,0.000405705492675839,-1.46550996739811
STXBP2,0.00168433682861167,-1.47764601432375
CD74,0.0017134405489683,-1.48167836252917
IER2,0.00275664956280007,-1.48268449934683
CREB3L1,0.00373819608073633,-1.500470809597
APOD,0.0194036298920358,-1.50565650556532
APOC1P1,0.000373269824466886,-1.56861571060821
PRKCSH,0.000706522116364576,-1.61684171207157
PRB3,0.000390452432347699,-1.62724238024088
EPHX1,0.0014578131368665,-1.63852425512949
CYP4F12,0.000148982680816544,-1.6438984450348
PKM,0.000778720283062816,-1.65019244147599
LOC114224,0.00172096285215379,-1.65241566866817
BANF1,0.00120974403938209,-1.67740683658213
LINC01913,0.000405705492675839,-1.82815392061648
SUZ12P1,0.00228717902359084,-2.070208274003
FOSB,0.00914925489622953,-2.4848299500472
CST1,0.00345598994545532,-2.96768350898467
FOS,0.00327074042477886,-3.22105410147866
