gene_symbol,adj.P.Val,logfc_dz
CTHRC1,1.99676931931241e-08,1.38443128561967
CMPK2,3.17286582462837e-14,1.38358335801304
RAD51AP1,2.84349279467202e-09,1.38217865399191
APPL1,2.10177089387997e-18,1.3816181396351
PAXIP1,1.22146101328185e-16,1.38159252802325
CDC6,6.04926445201271e-11,1.38145048673385
NDUFA5,5.34615936995449e-11,1.3802545934792
RRP15,1.61579583283762e-18,1.3786432725987
SLU7,7.13257267219861e-16,1.37738687742281
FUNDC1,1.92880593232002e-15,1.37599742694646
SHPRH,5.74043480195736e-11,1.3751127002389
EXOC8,5.14011528278644e-13,1.37470641931999
PRTFDC1,1.29380121876862e-11,1.37411778555428
NAP1L5,8.57346689498827e-14,1.37135564440386
BBS2,4.97458955732512e-14,1.36622493587418
MGP,8.68349942773634e-09,1.36248461975553
ING2,1.97109209655582e-17,1.36178103252218
PRPF39,8.91425646101853e-10,1.36130248425729
SCNN1G,3.89311548104106e-07,1.36016327913388
AURKA,1.57762353377807e-11,1.36014448245612
SLC47A1,0.00372357671973626,1.36014031254439
FBXO5,6.04868977314626e-12,1.3565242331925
HTR2B,1.46703405428991e-07,1.35641292601786
NME5,7.81281844604387e-15,1.35579676718569
EML1,1.07752261364528e-17,1.35535535243469
SRP72,2.98788152530626e-15,1.35525925620163
PDGFC,3.45661174703947e-07,1.35288029987164
YWHAB,1.00644867353136e-15,1.35225328860755
CASP6,2.10936656545828e-17,1.35210979323163
SNX30,3.40679065226249e-09,1.35164123654801
GBP3,5.82973918045686e-07,1.35132336838647
OPN3,6.87320998028568e-09,1.35098452641044
PLOD2,2.13542294860647e-13,1.35046112959498
ZC3H12C,2.35381814116173e-14,1.34780939947993
CCDC91,4.30527467122434e-16,1.34622292500553
E2F8,3.86135078373777e-09,1.34404859172116
FAM81B,1.12980021582493e-08,1.34349388174841
CNN3,1.04712277039532e-11,1.34254220317541
GLT8D2,4.66592025810676e-07,1.34230989528611
NEK4,5.9052034356079e-17,1.34215746374405
EEF1AKMT2,1.30187525134085e-17,1.34097998518621
HIBCH,1.11805502065483e-10,1.34069911736997
ALG14,5.42463086490641e-15,1.33844670490055
SPA17P1,1.06012892169652e-11,1.33840046516951
NPAS3,1.83790832165716e-06,1.33833880639068
PIGK,6.96670318464405e-18,1.338143579729
MRPL13,5.21926153543539e-12,1.33609967085266
CAP2,1.66834240401592e-14,1.33598006887208
MITD1,2.79970307342402e-12,1.33427386286522
HSDL2,2.51542355434507e-14,1.33298956697829
BLOC1S6,1.57315387859255e-15,1.33193022876553
HMGB2,6.62592873240959e-09,1.33106564915158
VEZT,2.10952635701804e-13,1.33028997017153
PALB2,5.07893553081112e-19,1.32720046057167
GCH1,3.09386908361701e-09,1.32677748947511
NUP35,1.71494571654144e-12,1.32595763986651
HERPUD2-AS1,9.02178369985579e-18,1.32422295848112
FNBP1L,3.98402307789367e-15,1.32375725952554
UXS1,5.99189483322515e-16,1.32296666597351
TRAPPC6B,4.93999604406156e-10,1.32261898178343
LRRC40,1.10846153678466e-12,1.32208601206785
