gene_symbol,logfc_dz,mean_logfc,median_logfc,P.Value,adj.P.Val,AveExpr,t,B,probe.id,signature_type
WNT10B,1.2177546496162,1.2177546496162,1.2177546496162,1.23167953175514e-07,6.2760506289732e-06,7.02930009861619,-6.59824568313848,7.5698355020389,7480_at,UP
ITGA3,1.21379349553543,1.21379349553543,1.21379349553543,6.46354572406418e-06,6.1295958616542e-05,8.55744759035344,-5.29460027066936,3.73822069259521,3675_at,UP
ZFPM1,1.21204435309642,1.21204435309642,1.21204435309642,6.48093048199708e-06,6.13188822139622e-05,8.34371549477336,-5.29371733221242,3.73562769229652,161882_at,UP
KMT5C,1.21036248874409,1.21036248874409,1.21036248874409,2.1512455785823e-08,2.34641951912781e-06,7.17258376902678,-7.1817387153709,9.25888239316125,84787_at,UP
IL34,1.20837994201671,1.20837994201671,1.20837994201671,2.41971303556681e-07,8.84101993260302e-06,7.50208292622976,-6.37460751771903,6.91595473915941,146433_at,UP
CCN1,1.20817788784025,1.20817788784025,1.20817788784025,0.0208000062180016,0.0321876049988324,9.22595486596573,-2.42032103794358,-3.87923181494346,3491_at,UP
APOC1P1,1.20472084255047,1.20472084255047,1.20472084255047,0.0001377327508461,0.0005295126744031,7.04895665545142,-4.27709964722869,0.797749473219813,342_at,UP
RBMY2MP,1.20046387433778,1.20046387433778,1.20046387433778,3.76395822012306e-06,4.43565216012212e-05,7.92782593366264,-5.47220343877836,4.26045035546935,140101_at,UP
SIRPB1,1.19976895667295,1.19976895667295,1.19976895667295,2.46056344117383e-07,8.85250030184487e-06,4.88130327238673,-6.36907523044956,6.89974372986159,10326_at,UP
GLI1,1.1980178861966,1.1980178861966,1.1980178861966,1.57925271227113e-07,7.05670899425259e-06,7.76487186825423,-6.51580527841753,7.32913817886237,2735_at,UP
ADAM3B,1.19770673040794,1.19770673040794,1.19770673040794,2.91929157846939e-07,9.59851824933659e-06,4.77893287472614,-6.31261410035168,6.73421135332762,1596_at,UP
PTMAP4,1.1972338619381,1.1972338619381,1.1972338619381,1.75950819627118e-06,2.72630604329945e-05,6.89333028266404,-5.72176723305237,4.99561894222316,5761_at,UP
FAM110D,1.19596174570559,1.19596174570559,1.19596174570559,5.5245449713256e-06,5.59390900606196e-05,6.55982887276553,-5.34618731769054,3.88978253118473,79927_at,UP
