"","logFC","AveExpr","t","P.Value","adj.P.Val","B","probe.id","symbols"
"6425_at",-1.13477530806218,5.93397714745827,-7.74931553530744,5.06700417085283e-10,3.4266263927286e-09,12.6593593047527,"6425_at","SFRP5"
"57688_at",1.13458021443181,8.77114294246083,6.11227718793048,1.65140254705811e-07,4.70673852427137e-07,6.95657116513417,"57688_at","ZSWIM6"
"115752_at",1.13448173311786,8.21901748176148,6.58093762283596,3.1440016362254e-08,1.09713338188145e-07,8.58799863388319,"115752_at","DIS3L"
"10554_at",-1.13445218334224,9.66501183797389,-11.0532455384085,7.76245285488546e-15,9.94366161402023e-13,23.6047150828287,"10554_at","AGPAT1"
"81537_at",1.134066451596,6.92575078598027,6.37162708494324,6.59959433360024e-08,2.09688367193217e-07,7.8582407116482,"81537_at","SGPP1"
"7718_at",1.13402368610799,5.58975816498446,7.27384485376654,2.70342100357588e-09,1.362284768444e-08,11.0065464454084,"7718_at","ZNF165"
"51564_at",-1.1338030242692,8.19165442398168,-12.7698612656579,4.07593273044108e-17,2.58623228377458e-14,28.7654419323007,"51564_at","HDAC7"
"116143_at",1.13362035473857,7.74304325585456,11.922628589399,5.19788006323209e-16,1.52104821736066e-13,26.2656976614714,"116143_at","DNAAF10"
"255783_at",-1.1332096522857,9.362598945495,-5.65385743819136,8.28120696976719e-07,1.97132183112971e-06,5.37482014175091,"255783_at","INAFM1"
"23059_at",1.13307417542104,7.85214510310339,9.99497454060691,2.38947778726395e-13,1.04585604688707e-11,20.2253559557789,"23059_at","CLUAP1"
"51249_at",1.13277580140448,8.458944339714,6.59750704345211,2.96469173227876e-08,1.04362855205359e-07,8.64581843283822,"51249_at","TMEM69"
"659_at",1.13208061239013,6.969101389229,9.38449132016818,1.82527605512247e-12,4.51557424071601e-11,18.2177093013919,"659_at","BMPR2"
"200575_at",-1.13187859423379,6.42977043201326,-9.0478192905302,5.69210437665578e-12,1.03737856809181e-10,17.0941116597618,"200575_at","CRYGEP"
"124411_at",1.13174098902632,8.0648825569108,9.80207239491422,4.53261861263418e-13,1.65945127780822e-11,19.5934555871182,"124411_at","KRBOX5"
"301_at",1.13151196601327,9.24638159179002,4.51389921607904,4.08795327581097e-05,6.98978588495091e-05,1.57658670253814,"301_at","ANXA1"
"109729146_at",-1.13148194961989,6.87074086031179,-5.26465370236143,3.20674135593476e-06,6.71919905226755e-06,4.05085940083847,"109729146_at","POC1B-AS1"
"3298_at",1.13142971874024,6.63417110720318,8.96230536361064,7.61327157508034e-12,1.29526789820553e-10,16.8067821230697,"3298_at","HSF2"
"9662_at",1.13136341572386,6.98272848133693,8.46143019906945,4.2431488578353e-11,4.97804474249131e-10,15.1092678022431,"9662_at","CEP135"
"1111_at",1.13125923319414,5.70850824993927,9.12967481852798,4.31211368676165e-12,8.44448726191449e-11,17.3684274112413,"1111_at","CHEK1"
"8454_at",1.13111336256087,7.74618302439598,6.28516775942165,8.96234647532021e-08,2.74211658253113e-07,7.55726842600271,"8454_at","CUL1"
"51637_at",1.13071101744074,11.5201136467732,8.58401575087938,2.78047371584973e-11,3.56638845306611e-10,15.5269129005944,"51637_at","RTRAF"
"23517_at",1.13067274343043,8.66202217521483,7.55653122443842,9.9763989320179e-10,5.96835735173641e-09,11.9904366514565,"23517_at","MTREX"
"55862_at",1.1306380596825,8.48126510695552,7.60562125026511,8.39394409958724e-10,5.16651294879642e-09,12.1609498067482,"55862_at","ECHDC1"
"9949_at",1.13049145238555,7.06613378908347,9.37230747044779,1.90155913549569e-12,4.63708777755878e-11,18.1772659054717,"9949_at","AMMECR1"
"1349_at",1.13018745460607,6.6251623685322,8.06596392023163,1.67394839566909e-10,1.42455998906879e-09,13.7533015556915,"1349_at","COX7B"
"255520_at",1.12999716520378,7.80707743220948,8.60887396756122,2.5525106832767e-11,3.34364934109818e-10,15.6114377928375,"255520_at","ELMOD2"
"1633_at",1.12974344422368,6.91378827976067,7.35068677419989,2.0609831523351e-09,1.08919450186874e-08,11.2742901225034,"1633_at","DCK"
"55300_at",1.12929187430422,7.88431826537186,8.82869065906224,1.20106066296531e-11,1.83464031470406e-10,16.3563292417787,"55300_at","PI4K2B"
"25901_at",1.12907845892544,7.96240607122736,8.61165220504164,2.52823236617187e-11,3.31763688588499e-10,15.6208810302572,"25901_at","CCDC28A"
"2824_at",1.12907722159471,8.1035368321399,7.17925338612868,3.77664469742166e-09,1.81318559996589e-08,10.6767174477526,"2824_at","GPM6B"
