gene_symbol,logfc_dz:496,logfc_dz:741,logfc_dz:941,logfc_dz:940,logfc_dz:1080,logfc_dz:788,mean_logfc,median_logfc,common_experiment,organism,signature_type
RAB8A,0.0242409836500883,,,,,,0.0242409836500883,0.0242409836500883,,human,UP
CCT3,0.02268772944808,,0.0256022494286298,,,,0.0241449894383549,0.0241449894383549,,human,UP
UBL3,0.0210862178355455,,,0.0268876794725656,,,0.0239869486540555,0.0239869486540555,,human,UP
PHGDH,,,0.0239547211676836,,,,0.0239547211676836,0.0239547211676836,,human,UP
RPL28,,,0.0126339718699455,,,0.0352208726108074,0.0239274222403764,0.0239274222403764,,human,UP
PFKFB3,0.03707255423069,,0.0105282878503203,,,,0.0238004210405051,0.0238004210405051,,human,UP
NDE1,,,,,,0.0237693395465612,0.0237693395465612,0.0237693395465612,,human,UP
NUPR1,,,0.0347380004823207,0.0127953486517071,,,0.0237666745670139,0.0237666745670139,,human,UP
XPO1,0.0234890710562467,,,,,,0.0234890710562467,0.0234890710562467,,human,UP
CXCL11,,,0.0233458578586578,,,,0.0233458578586578,0.0233458578586578,,human,UP
MT3,0.0272772293537855,,0.0296674203127622,0.0286105275154113,0.0077460990287363,,0.0233253190526738,0.0279438784345984,,human,UP
ARPC3,,,,,,0.0232667084783315,0.0232667084783315,0.0232667084783315,,human,UP
ALOX5AP,,,,0.0149112083017826,,0.0310765411704778,0.0229938747361302,0.0229938747361302,,human,UP
TMEM47,,,0.0228900853544473,,,,0.0228900853544473,0.0228900853544473,,human,UP
GRIA2,0.0228577088564634,,,,,,0.0228577088564634,0.0228577088564634,,human,UP
LAMP2,,,0.0123468609526753,0.0332824997603893,,,0.0228146803565323,0.0228146803565323,,human,UP
NAP1L1,,0.0226375441998243,,,,,0.0226375441998243,0.0226375441998243,0.0226375441998243,human,UP
CYCS,,0.0350540429353714,,,0.0101837944239377,,0.0226189186796545,0.0226189186796545,0.0350540429353714,human,UP
TREM1,,,,,,0.0225803293287754,0.0225803293287754,0.0225803293287754,,human,UP
AP2M1,0.0225657206028699,,,,,,0.0225657206028699,0.0225657206028699,,human,UP
C3,,-0.0101873716339468,,0.0551403388381004,,,0.0224764836020767,0.0224764836020767,-0.0101873716339468,human,UP
PCK1,0.0223046690225601,,,,,,0.0223046690225601,0.0223046690225601,,human,UP
RPL9,0.0351397432386875,0.1714160293340683,0.0255484338849782,,-0.1012032404541969,-0.0195794012397527,0.0222643129527568,0.0255484338849782,0.1714160293340683,human,UP
DAPP1,0.0308820512145757,,,,0.0135158319026231,,0.0221989415585994,0.0221989415585994,,human,UP
STAT3,,,,,,0.0221369750797748,0.0221369750797748,0.0221369750797748,,human,UP
RCBTB2,,,,,,0.0221236199140548,0.0221236199140548,0.0221236199140548,,human,UP
SOD1,0.0151996379718184,0.0334030017256736,0.089953027665615,-0.0502832941710948,,,0.022068093298003,0.024301319848746,0.0334030017256736,human,UP
OPHN1,0.0387315116822719,0.0473409406840801,0.0160968583077192,,-0.0144249247387051,,0.0219360964838415,0.0274141849949955,0.0473409406840801,human,UP
JTB,,,,0.0218460150063037,,,0.0218460150063037,0.0218460150063037,,human,UP
PNMA1,0.0330573990941047,,0.0104686077684164,,,,0.0217630034312605,0.0217630034312605,,human,UP
TNFRSF1A,,,,,,0.0217325333505868,0.0217325333505868,0.0217325333505868,,human,UP
GNAS,,0.0216515101492404,,,,,0.0216515101492404,0.0216515101492404,0.0216515101492404,human,UP
HPCAL1,,,,0.021536061540246,,,0.021536061540246,0.021536061540246,,human,UP
ARGLU1,0.0325274094939231,0.010279812850058,,,,,0.0214036111719906,0.0214036111719906,0.010279812850058,human,UP
ATP8B1,0.0439869575202465,-0.0146936634555459,,,0.0348337739706039,,0.0213756893451015,0.0348337739706039,-0.0146936634555459,human,UP
NCF2,,,,,,0.0212748143821954,0.0212748143821954,0.0212748143821954,,human,UP
ATP2B1,,,,0.0211948528885841,,,0.0211948528885841,0.0211948528885841,,human,UP
SGK3,,,0.0211835093796253,,,,0.0211835093796253,0.0211835093796253,,human,UP
TSPAN7,,,,0.0211463645100593,,,0.0211463645100593,0.0211463645100593,,human,UP
RPS3,0.0411420054733753,0.0133420275524258,0.0672351494431495,0.0321326181292533,,-0.0483083873987197,0.0211086826398968,0.0321326181292533,0.0133420275524258,human,UP
CSF2RB,,,,,,0.0211032852530479,0.0211032852530479,0.0211032852530479,,human,UP
STIP1,,,0.0207604821771383,,,,0.0207604821771383,0.0207604821771383,,human,UP
CAPZA1,0.0147434389218688,0.0253203846514225,,,,0.0221047587692737,0.020722860780855,0.0221047587692737,0.0253203846514225,human,UP
