gene_symbol,logfc_dz:323,logfc_dz:678,logfc_dz:198,logfc_dz:115,mean_logfc,median_logfc,common_experiment,organism,signature_type
NIN,,,,0.023131113499403,0.023131113499403,0.023131113499403,0.023131113499403,human,UP
EBLN2,,,,0.0230715777724981,0.0230715777724981,0.0230715777724981,0.0230715777724981,human,UP
SDCBP,,0.0230336058884859,,,0.0230336058884859,0.0230336058884859,,human,UP
TMEM43,,,0.022907281294465,,0.022907281294465,0.022907281294465,,human,UP
MBNL2,,0.0228988286107778,,,0.0228988286107778,0.0228988286107778,,human,UP
MS4A4A,,,,0.022883340716362,0.022883340716362,0.022883340716362,0.022883340716362,human,UP
BAMBI,,,,0.022861760109663,0.022861760109663,0.022861760109663,0.022861760109663,human,UP
SLC25A5,,0.0139550529420375,0.0285569764673709,0.026049368083477,0.0228537991642951,0.026049368083477,0.026049368083477,human,UP
GDF9,,,,0.0228272341191768,0.0228272341191768,0.0228272341191768,0.0228272341191768,human,UP
COBLL1,,,,0.0228009149432182,0.0228009149432182,0.0228009149432182,0.0228009149432182,human,UP
MCL1,,,,0.0227989517152309,0.0227989517152309,0.0227989517152309,0.0227989517152309,human,UP
PTPRB,,,,0.0227854643017053,0.0227854643017053,0.0227854643017053,0.0227854643017053,human,UP
CXCL9,,,,0.0227118134498596,0.0227118134498596,0.0227118134498596,0.0227118134498596,human,UP
BICD1,,,,0.0226918905973434,0.0226918905973434,0.0226918905973434,0.0226918905973434,human,UP
NFIB,0.022674448788166,,,,0.022674448788166,0.022674448788166,,human,UP
MAP1B,,0.0226178877055645,,,0.0226178877055645,0.0226178877055645,,human,UP
RPL22,,,0.0225866287946701,,0.0225866287946701,0.0225866287946701,,human,UP
CXCL1,-0.0185675974935293,,,0.0637308731675148,0.0225816378369927,0.0225816378369927,0.0637308731675148,human,UP
HBEGF,0.0237599778920412,0.0212494768202304,,,0.0225047273561358,0.0225047273561358,,human,UP
RBM19,,,,0.0225022044032812,0.0225022044032812,0.0225022044032812,0.0225022044032812,human,UP
CYP4A11,,,,0.0224658884108066,0.0224658884108066,0.0224658884108066,0.0224658884108066,human,UP
TMEM123,,0.0224371403455734,,,0.0224371403455734,0.0224371403455734,,human,UP
UPF3A,,,,0.0223369114100933,0.0223369114100933,0.0223369114100933,0.0223369114100933,human,UP
CATSPER2,,,,0.022290701046586,0.022290701046586,0.022290701046586,0.022290701046586,human,UP
HTR5A,,,,0.0222848579287529,0.0222848579287529,0.0222848579287529,0.0222848579287529,human,UP
GOLGA4,,,,0.0222703479230403,0.0222703479230403,0.0222703479230403,0.0222703479230403,human,UP
PPARGC1A,,0.0222162771970033,,,0.0222162771970033,0.0222162771970033,,human,UP
ADNP2,,,,0.0222154073417186,0.0222154073417186,0.0222154073417186,0.0222154073417186,human,UP
RBM6,,,,0.0221966877579689,0.0221966877579689,0.0221966877579689,0.0221966877579689,human,UP
ZMYND11,0.0221747439354658,,,,0.0221747439354658,0.0221747439354658,,human,UP
CRIP2,0.0224223788827657,0.0218946915119886,,,0.0221585351973772,0.0221585351973772,,human,UP
ABI3BP,,0.0221126936376094,,,0.0221126936376094,0.0221126936376094,,human,UP
THAP10,,,,0.0221115071326494,0.0221115071326494,0.0221115071326494,0.0221115071326494,human,UP
ATP6V1E1,0.0220556855201721,,,,0.0220556855201721,0.0220556855201721,,human,UP
ABCA6,,,,0.0220051705837249,0.0220051705837249,0.0220051705837249,0.0220051705837249,human,UP
IQCH,,,,0.0219627805054187,0.0219627805054187,0.0219627805054187,0.0219627805054187,human,UP
CSGALNACT2,,,,0.0219616033136844,0.0219616033136844,0.0219616033136844,0.0219616033136844,human,UP
DAD1,,0.0303914751857519,0.0134838791564106,,0.0219376771710813,0.0219376771710813,,human,UP
TAF1D,,,,0.0219280514866113,0.0219280514866113,0.0219280514866113,0.0219280514866113,human,UP
N4BP2L2,,,,0.021918224170804,0.021918224170804,0.021918224170804,0.021918224170804,human,UP
RBBP6,,,,0.0218668188899755,0.0218668188899755,0.0218668188899755,0.0218668188899755,human,UP
HNRNPC,,0.0217838492244482,,,0.0217838492244482,0.0217838492244482,,human,UP
KCNJ2,,,0.021783648058772,,0.021783648058772,0.021783648058772,,human,UP
GDAP1,,,,0.0216742102056741,0.0216742102056741,0.0216742102056741,0.0216742102056741,human,UP
MYL7,0.1227574348449707,0.1006320714950561,-0.0767790526151657,-0.0600366964936256,0.0216434393078088,0.0202976875007152,-0.0600366964936256,human,UP
PPDPF,,,0.0216265767812728,,0.0216265767812728,0.0216265767812728,,human,UP
RAPGEF5,,,,0.0215248297899961,0.0215248297899961,0.0215248297899961,0.0215248297899961,human,UP
PCOLCE2,0.0268986877053976,,0.0161140114068985,,0.021506349556148,0.021506349556148,,human,UP
ATF7IP2,,,,0.0214226599782705,0.0214226599782705,0.0214226599782705,0.0214226599782705,human,UP
MRPL35,,0.0214174836874008,,,0.0214174836874008,0.0214174836874008,,human,UP
ZNF106,0.0214143861085176,,,,0.0214143861085176,0.0214143861085176,,human,UP
RWDD2A,,,,0.0213989373296499,0.0213989373296499,0.0213989373296499,0.0213989373296499,human,UP
VEGFA,,0.0213822815567255,,,0.0213822815567255,0.0213822815567255,,human,UP
EIF4G2,,0.0213582888245582,,,0.0213582888245582,0.0213582888245582,,human,UP
CCDC28A,,,,0.0213372856378555,0.0213372856378555,0.0213372856378555,0.0213372856378555,human,UP
ZNF654,,,,0.0213205274194479,0.0213205274194479,0.0213205274194479,0.0213205274194479,human,UP
MT1E,,,0.0213195942342281,,0.0213195942342281,0.0213195942342281,,human,UP
KIF13B,,,,0.0212708711624145,0.0212708711624145,0.0212708711624145,0.0212708711624145,human,UP
KCNT2,,,,0.0212630294263362,0.0212630294263362,0.0212630294263362,0.0212630294263362,human,UP
DPYSL2,,0.0153319863602519,0.0271794516593217,,0.0212557190097868,0.0212557190097868,,human,UP
RPS6KA6,,,,0.0212478656321764,0.0212478656321764,0.0212478656321764,0.0212478656321764,human,UP
PXN,,,,0.02122338488698,0.02122338488698,0.02122338488698,0.02122338488698,human,UP
RABGGTB,,,,0.0212106052786111,0.0212106052786111,0.0212106052786111,0.0212106052786111,human,UP
CCL18,,0.0211952626705169,,,0.0211952626705169,0.0211952626705169,,human,UP
HSPH1,,0.0211527850478887,,,0.0211527850478887,0.0211527850478887,,human,UP
CD69,,,,0.0211517587304115,0.0211517587304115,0.0211517587304115,0.0211517587304115,human,UP
KLF13,,,,0.0211090296506881,0.0211090296506881,0.0211090296506881,0.0211090296506881,human,UP
CEP290,,,,0.0211040619760751,0.0211040619760751,0.0211040619760751,0.0211040619760751,human,UP
BACH1,,,,0.0210340563207864,0.0210340563207864,0.0210340563207864,0.0210340563207864,human,UP
ARL6IP1,,0.0210140608251094,,,0.0210140608251094,0.0210140608251094,,human,UP
ZNF211,,,,0.021002922207117,0.021002922207117,0.021002922207117,0.021002922207117,human,UP
RPL28,,,0.021000687032938,,0.021000687032938,0.021000687032938,,human,UP
PSME1,0.0209779329597949,,,,0.0209779329597949,0.0209779329597949,,human,UP
NELFA,0.0209322646260261,,,,0.0209322646260261,0.0209322646260261,,human,UP
NCR1,,,,0.020889775827527,0.020889775827527,0.020889775827527,0.020889775827527,human,UP
CENPC,,,,0.0208784658461809,0.0208784658461809,0.0208784658461809,0.0208784658461809,human,UP
GATM,,0.0208098255097866,,,0.0208098255097866,0.0208098255097866,,human,UP
GSC2,,,,0.0207776166498661,0.0207776166498661,0.0207776166498661,0.0207776166498661,human,UP
FHL1,-0.0165724623948335,0.041654709726572,0.0371929295361042,,0.0207583922892808,0.0371929295361042,,human,UP
PROM1,,,,0.0207451414316892,0.0207451414316892,0.0207451414316892,0.0207451414316892,human,UP
TNFAIP6,,,,0.0206868853420019,0.0206868853420019,0.0206868853420019,0.0206868853420019,human,UP
TSC22D3,0.0100015001371502,,0.0313637852668762,,0.0206826427020132,0.0206826427020132,,human,UP
FOXO3,,,0.0206399038434028,,0.0206399038434028,0.0206399038434028,,human,UP
DBF4,,,,0.0206294413655996,0.0206294413655996,0.0206294413655996,0.0206294413655996,human,UP
ATXN3,,,,0.0206224657595157,0.0206224657595157,0.0206224657595157,0.0206224657595157,human,UP
TTC3,,,,0.0206082556396722,0.0206082556396722,0.0206082556396722,0.0206082556396722,human,UP
FNBP4,,,,0.0205868184566497,0.0205868184566497,0.0205868184566497,0.0205868184566497,human,UP
TEF,,,,0.020541027188301,0.020541027188301,0.020541027188301,0.020541027188301,human,UP
USP16,,,,0.0204043518751859,0.0204043518751859,0.0204043518751859,0.0204043518751859,human,UP
BAZ2B,,,,0.0203894041478633,0.0203894041478633,0.0203894041478633,0.0203894041478633,human,UP
AK1,0.0203636214137077,,,,0.0203636214137077,0.0203636214137077,,human,UP
AIF1,,,,0.0203632805496454,0.0203632805496454,0.0203632805496454,0.0203632805496454,human,UP
HTRA1,0.0251054316759109,,0.0155554926022887,,0.0203304621390998,0.0203304621390998,,human,UP
ASNS,,,,0.0202946867793798,0.0202946867793798,0.0202946867793798,0.0202946867793798,human,UP
PFKFB3,,,,0.0202830117195844,0.0202830117195844,0.0202830117195844,0.0202830117195844,human,UP
RPL7,,0.0211930107325315,,0.0193379092961549,0.0202654600143432,0.0202654600143432,0.0193379092961549,human,UP
SNAI1,,,,0.0202418528497219,0.0202418528497219,0.0202418528497219,0.0202418528497219,human,UP
MIP,,,,0.0202324111014604,0.0202324111014604,0.0202324111014604,0.0202324111014604,human,UP
ZNF350,,,,0.0202168971300125,0.0202168971300125,0.0202168971300125,0.0202168971300125,human,UP
ANXA5,,0.0148287899792194,0.0255795661360025,,0.0202041780576109,0.0202041780576109,,human,UP
TRIP11,,,,0.0201914925128221,0.0201914925128221,0.0201914925128221,0.0201914925128221,human,UP
SYCP2,,,,0.0201841965317726,0.0201841965317726,0.0201841965317726,0.0201841965317726,human,UP
SETD3,0.0201504249125719,,,,0.0201504249125719,0.0201504249125719,,human,UP
FOXJ1,,,,0.0201340075582265,0.0201340075582265,0.0201340075582265,0.0201340075582265,human,UP
MGP,,,,0.0201299712061882,0.0201299712061882,0.0201299712061882,0.0201299712061882,human,UP
KIFAP3,0.0201279111206531,,,,0.0201279111206531,0.0201279111206531,,human,UP
COMP,,,,0.0201089270412921,0.0201089270412921,0.0201089270412921,0.0201089270412921,human,UP
ACSL1,0.0224685333669185,0.0294396020472049,-0.0147773120552301,,0.0123769411196311,0.0224685333669185,,human,UP
CRYAB,0.0297990683466196,0.0217354986816644,-0.0155030516907572,,0.0120105051125089,0.0217354986816644,,human,UP
TTN,,-0.0914761647582054,-0.1113843545317649,,-0.1014302596449852,-0.1014302596449852,,human,DOWN
COX6A2,-0.174672931432724,,-0.0178760103881359,,-0.0962744709104299,-0.0962744709104299,,human,DOWN
APOD,-0.1019027456641197,-0.0446568615734577,-0.1042274013161659,,-0.0835956695179144,-0.1019027456641197,,human,DOWN
HSPB3,-0.079058326780796,,-0.0833249688148498,,-0.0811916477978229,-0.0811916477978229,,human,DOWN
SUPT20H,,,-0.0807031840085983,,-0.0807031840085983,-0.0807031840085983,,human,DOWN
MYH6,,-0.0880818665027618,-0.0675504803657531,,-0.0778161734342575,-0.0778161734342575,,human,DOWN
GPX3,,-0.0772033035755157,-0.1225210726261138,-0.0280179847031831,-0.0759141203016042,-0.0772033035755157,-0.0280179847031831,human,DOWN
CDH13,,-0.0746913254261016,,,-0.0746913254261016,-0.0746913254261016,,human,DOWN
CASQ2,,-0.0744575038552284,,,-0.0744575038552284,-0.0744575038552284,,human,DOWN
PTP4A3,,-0.1051148474216461,-0.038554310798645,,-0.0718345791101455,-0.0718345791101455,,human,DOWN
ACTG2,-0.0686651617288589,,,,-0.0686651617288589,-0.0686651617288589,,human,DOWN
CKM,-0.2036968022584915,-0.0157135315239429,-0.0147303603589534,-0.0270590018481016,-0.0652999239973723,-0.0213862666860222,-0.0270590018481016,human,DOWN
A2M,,-0.0650770589709281,-0.0617754347622394,,-0.0634262468665838,-0.0634262468665838,,human,DOWN
B2M,,,-0.0631255730986595,,-0.0631255730986595,-0.0631255730986595,,human,DOWN
ARL6IP5,,-0.0619486086070537,,,-0.0619486086070537,-0.0619486086070537,,human,DOWN
DES,,-0.0704240426421165,-0.0525751337409019,,-0.0614995881915092,-0.0614995881915092,,human,DOWN
HBG1,,,,-0.060592483729124,-0.060592483729124,-0.060592483729124,-0.060592483729124,human,DOWN
MYL3,-0.1247550919651985,-0.0349580198526382,-0.0163690224289894,,-0.058694044748942,-0.0349580198526382,,human,DOWN
EBAG9,,,,-0.057820376008749,-0.057820376008749,-0.057820376008749,-0.057820376008749,human,DOWN
STAT3,,-0.066017135977745,-0.0486876554787159,,-0.0573523957282304,-0.0573523957282304,,human,DOWN
TUBA3D,,,,-0.0540437847375869,-0.0540437847375869,-0.0540437847375869,-0.0540437847375869,human,DOWN
TNNT2,,-0.0743856206536293,-0.0333173051476478,,-0.0538514629006385,-0.0538514629006385,,human,DOWN
PRG4,,,,-0.05375662073493,-0.05375662073493,-0.05375662073493,-0.05375662073493,human,DOWN
GPNMB,,-0.0905172750353813,-0.015222942456603,,-0.0528701087459921,-0.0528701087459921,,human,DOWN
CCL2,-0.0703394412994384,-0.0972677841782569,-0.0733104050159454,0.0316201075911521,-0.0523243807256221,-0.0718249231576919,0.0316201075911521,human,DOWN
DLK1,,,,-0.0507320240139961,-0.0507320240139961,-0.0507320240139961,-0.0507320240139961,human,DOWN
PDP1,,-0.050690658390522,,,-0.050690658390522,-0.050690658390522,,human,DOWN
LDHB,,-0.0733995214104652,-0.0267270058393478,,-0.0500632636249065,-0.0500632636249065,,human,DOWN
PTPRO,,,-0.0500220321118831,,-0.0500220321118831,-0.0500220321118831,,human,DOWN
PLN,,-0.0173282790929079,-0.0822829902172088,,-0.0498056346550583,-0.0498056346550583,,human,DOWN
UQCRFS1,,,-0.0494082532823085,,-0.0494082532823085,-0.0494082532823085,,human,DOWN
NCOA4,,,-0.0489415787160396,,-0.0489415787160396,-0.0489415787160396,,human,DOWN
SAA1,,,,-0.048915259540081,-0.048915259540081,-0.048915259540081,-0.048915259540081,human,DOWN
APOBEC2,,-0.0723223686218261,-0.0243213605135679,,-0.048321864567697,-0.048321864567697,,human,DOWN
COX7B,,,-0.047170240432024,,-0.047170240432024,-0.047170240432024,,human,DOWN
NGFR,,,,-0.0471119433641433,-0.0471119433641433,-0.0471119433641433,-0.0471119433641433,human,DOWN
THBS1,,-0.0469374619424343,,,-0.0469374619424343,-0.0469374619424343,,human,DOWN
ATP2A2,,-0.0462162271142005,,,-0.0462162271142005,-0.0462162271142005,,human,DOWN
TFRC,,,-0.0460549741983413,,-0.0460549741983413,-0.0460549741983413,,human,DOWN
FTL,,,-0.0458893030881881,,-0.0458893030881881,-0.0458893030881881,,human,DOWN
TCAP,,-0.0499333254992961,-0.0410652235150337,,-0.0454992745071649,-0.0454992745071649,,human,DOWN
NCAM1,,-0.0454222671687603,,,-0.0454222671687603,-0.0454222671687603,,human,DOWN
IL9,-0.0451656095683574,,,,-0.0451656095683574,-0.0451656095683574,,human,DOWN
HLA-B,,-0.0453946888446807,-0.0445831604301929,,-0.0449889246374368,-0.0449889246374368,,human,DOWN
FHL2,0.0125129641965031,-0.0601984299719333,-0.0868212580680847,,-0.0448355746145049,-0.0601984299719333,,human,DOWN
PFKM,,-0.0600210614502429,-0.0283298976719379,,-0.0441754795610904,-0.0441754795610904,,human,DOWN
HLA-A,,-0.0450285449624061,-0.0424925833940506,,-0.0437605641782283,-0.0437605641782283,,human,DOWN
AGTR2,,,,-0.0433686263859272,-0.0433686263859272,-0.0433686263859272,-0.0433686263859272,human,DOWN
TMEM14B,,-0.042897917330265,,,-0.042897917330265,-0.042897917330265,,human,DOWN
MGST3,,-0.0379299893975257,-0.0477967038750648,,-0.0428633466362953,-0.0428633466362953,,human,DOWN
COX5A,,,-0.0422187969088554,,-0.0422187969088554,-0.0422187969088554,,human,DOWN
PTDSS1,,-0.0441808253526687,-0.0400431826710701,,-0.0421120040118694,-0.0421120040118694,,human,DOWN
FCGBP,,,,-0.0420896112918853,-0.0420896112918853,-0.0420896112918853,-0.0420896112918853,human,DOWN
POPDC2,,-0.0417395271360874,,,-0.0417395271360874,-0.0417395271360874,,human,DOWN
PTGDS,-0.0351381190121173,,-0.0482410602271556,,-0.0416895896196365,-0.0416895896196365,,human,DOWN
GOT1,,,-0.0416075251996517,,-0.0416075251996517,-0.0416075251996517,,human,DOWN
THPO,,,,-0.0414482653141021,-0.0414482653141021,-0.0414482653141021,-0.0414482653141021,human,DOWN
PPIA,,,-0.0407248176634311,,-0.0407248176634311,-0.0407248176634311,,human,DOWN
AMH,,,,-0.04048827663064,-0.04048827663064,-0.04048827663064,-0.04048827663064,human,DOWN
ANKRD2,-0.0526316426694393,-0.0146588729694485,-0.0516938418149948,-0.0419321171939373,-0.040229118661955,-0.046812979504466,-0.0419321171939373,human,DOWN
STATH,,,,-0.040210772305727,-0.040210772305727,-0.040210772305727,-0.040210772305727,human,DOWN
CS,,,-0.039823580533266,,-0.039823580533266,-0.039823580533266,,human,DOWN
CA14,,,,-0.0395841151475906,-0.0395841151475906,-0.0395841151475906,-0.0395841151475906,human,DOWN
GPC3,,,,-0.0394258685410022,-0.0394258685410022,-0.0394258685410022,-0.0394258685410022,human,DOWN
NDUFC1,,,-0.0392663367092609,,-0.0392663367092609,-0.0392663367092609,,human,DOWN
KCNIP2,-0.0391712486743927,,,,-0.0391712486743927,-0.0391712486743927,,human,DOWN
NSG1,,,,-0.0389863029122352,-0.0389863029122352,-0.0389863029122352,-0.0389863029122352,human,DOWN
IFITM3,-0.0303700044751167,,-0.0666124820709228,-0.0197714995592832,-0.0389179953684409,-0.0303700044751167,-0.0197714995592832,human,DOWN
C1orf105,,,-0.0266894549131393,-0.050022218376398,-0.0383558366447687,-0.0383558366447687,-0.050022218376398,human,DOWN
IDH2,,-0.0357446447014808,-0.0407941490411758,,-0.0382693968713283,-0.0382693968713283,,human,DOWN
