disease,original_file,rows_standardised,rows_after_shared_gene_filter,rows_removed,retention_percentage
chronic_obstructive_pulmonary_disease,chronic_obstructive_pulmonary_disease_signature.csv,366,315,51,86.07
cleft_lip,cleft_lip_signature.csv,382,315,67,82.46
colitis,colitis_signature.csv,296,261,35,88.18
colon_adenoma,colon_adenoma_signature.csv,284,217,67,76.41
colon_cancer,colon_cancer_signature.csv,533,412,121,77.3
colorectal_adenocarcinoma,colorectal_adenocarcinoma_signature.csv,276,250,26,90.58
colorectal_cancer,colorectal_cancer_signature.csv,366,286,80,78.14
cystic_fibrosis,cystic_fibrosis_signature.csv,221,191,30,86.43
cystitis,cystitis_signature.csv,600,533,67,88.83
dengue_disease,dengue_disease_signature.csv,377,295,82,78.25
dengue_hemorrhagic_fever,dengue_hemorrhagic_fever_signature.csv,387,286,101,73.9
dermatomyositis,dermatomyositis_signature.csv,485,389,96,80.21
diabetes_mellitus,diabetes_mellitus_signature.csv,1404,926,478,65.95
dilated_cardiomyopathy,dilated_cardiomyopathy_signature.csv,958,696,262,72.65
discoid_lupus_erythematosus,discoid_lupus_erythematosus_signature.csv,265,239,26,90.19
ductal_carcinoma_in_situ,ductal_carcinoma_in_situ_signature.csv,235,185,50,78.72
dystonia,dystonia_signature.csv,305,285,20,93.44
endometrial_cancer,endometrial_cancer_signature.csv,522,386,136,73.95
endometriosis,endometriosis_signature.csv,735,576,159,78.37
endometriosis_of_ovary,endometriosis_of_ovary_signature.csv,289,237,52,82.01
epidermolysis_bullosa_simplex,epidermolysis_bullosa_simplex_signature.csv,361,249,112,68.98
epilepsy_syndrome,epilepsy_syndrome_signature.csv,241,173,68,71.78
esophagus_adenocarcinoma,esophagus_adenocarcinoma_signature.csv,265,239,26,90.19
esophagus_squamous_cell_carcinoma,esophagus_squamous_cell_carcinoma_signature.csv,440,371,69,84.32
facioscapulohumeral_muscular_dystrophy,facioscapulohumeral_muscular_dystrophy_signature.csv,567,408,159,71.96
familial_combined_hyperlipidemia,familial_combined_hyperlipidemia_signature.csv,380,329,51,86.58
familial_hypercholesterolemia,familial_hypercholesterolemia_signature.csv,458,348,110,75.98
fragile_X_syndrome,fragile_X_syndrome_signature.csv,599,347,252,57.93
gastroesophageal_reflux_disease,gastroesophageal_reflux_disease_signature.csv,268,246,22,91.79
gastrointestinal_stromal_tumor,gastrointestinal_stromal_tumor_signature.csv,646,474,172,73.37
glaucoma,glaucoma_signature.csv,458,369,89,80.57
glioblastoma_multiforme,glioblastoma_multiforme_signature.csv,414,318,96,76.81
head_and_neck_squamous_cell_carcinoma,head_and_neck_squamous_cell_carcinoma_signature.csv,185,170,15,91.89
hemorrhagic_thrombocythemia,hemorrhagic_thrombocythemia_signature.csv,80,67,13,83.75
hepatitis_C,hepatitis_C_signature.csv,597,482,115,80.74
hepatitis_C_virus_related_hepatocellular_carcinoma,hepatitis_C_virus_related_hepatocellular_carcinoma_signature.csv,249,204,45,81.93
hepatocellular_carcinoma,hepatocellular_carcinoma_signature.csv,855,686,169,80.23
hypertension,hypertension_signature.csv,278,248,30,89.21
idiopathic_interstitial_pneumonia,idiopathic_interstitial_pneumonia_signature.csv,464,383,81,82.54
idiopathic_pulmonary_fibrosis,idiopathic_pulmonary_fibrosis_signature.csv,457,373,84,81.62
inclusion_body_myositis,inclusion_body_myositis_signature.csv,289,216,73,74.74
inflammatory_bowel_disease,inflammatory_bowel_disease_signature.csv,281,224,57,79.72
influenza,influenza_signature.csv,431,327,104,75.87
intellectual_disability,intellectual_disability_signature.csv,303,171,132,56.44
interstitial_cystitis,interstitial_cystitis_signature.csv,600,533,67,88.83
intracranial_aneurysm,intracranial_aneurysm_signature.csv,316,238,78,75.32
invasive_ductal_carcinoma,invasive_ductal_carcinoma_signature.csv,328,248,80,75.61
juvenile_rheumatoid_arthritis,juvenile_rheumatoid_arthritis_signature.csv,7,5,2,71.43
large_cell_neuroendocrine_carcinoma,large_cell_neuroendocrine_carcinoma_signature.csv,161,115,46,71.43
leukemia,leukemia_signature.csv,18,0,18,0.0
liver_cirrhosis,liver_cirrhosis_signature.csv,406,308,98,75.86
lung_adenocarcinoma,lung_adenocarcinoma_signature.csv,460,405,55,88.04
lung_large_cell_carcinoma,lung_large_cell_carcinoma_signature.csv,162,119,43,73.46
lung_small_cell_carcinoma,lung_small_cell_carcinoma_signature.csv,375,260,115,69.33
lung_squamous_cell_carcinoma,lung_squamous_cell_carcinoma_signature.csv,412,333,79,80.83
lupus_erythematosus,lupus_erythematosus_signature.csv,298,213,85,71.48
macular_degeneration,macular_degeneration_signature.csv,434,404,30,93.09
malignant_pleural_mesothelioma,malignant_pleural_mesothelioma_signature.csv,169,146,23,86.39
melanoma,melanoma_signature.csv,1252,912,340,72.84
melanoma_in_situ,melanoma_in_situ_signature.csv,232,182,50,78.45
mental_depression,mental_depression_signature.csv,342,320,22,93.57
monoclonal_gammopathy_of_uncertain_significance,monoclonal_gammopathy_of_uncertain_significance_signature.csv,271,188,83,69.37
morbid_obesity,morbid_obesity_signature.csv,376,303,73,80.59
multiple_myeloma,multiple_myeloma_signature.csv,602,466,136,77.41
multiple_sclerosis,multiple_sclerosis_signature.csv,783,590,193,75.35
muscular_dystrophy,muscular_dystrophy_signature.csv,503,334,169,66.4
myelodysplastic_syndrome,myelodysplastic_syndrome_signature.csv,475,366,109,77.05
myocardial_infarction,myocardial_infarction_signature.csv,239,180,59,75.31
myotonic_dystrophy_type_1,myotonic_dystrophy_type_1_signature.csv,401,314,87,78.3
nasopharynx_carcinoma,nasopharynx_carcinoma_signature.csv,567,417,150,73.54
nephroblastoma,nephroblastoma_signature.csv,201,180,21,89.55
nephrosclerosis,nephrosclerosis_signature.csv,387,347,40,89.66
nicotine_dependence,nicotine_dependence_signature.csv,284,228,56,80.28
nonspecific_interstitial_pneumonia,nonspecific_interstitial_pneumonia_signature.csv,184,121,63,65.76
obesity,obesity_signature.csv,455,374,81,82.2
oligodendroglioma,oligodendroglioma_signature.csv,727,532,195,73.18
osteoarthritis,osteoarthritis_signature.csv,326,269,57,82.52
osteoporosis,osteoporosis_signature.csv,241,200,41,82.99
ovarian_cancer,ovarian_cancer_signature.csv,282,205,77,72.7
ovarian_serous_carcinoma,ovarian_serous_carcinoma_signature.csv,340,249,91,73.24
pancreatic_cancer,pancreatic_cancer_signature.csv,655,539,116,82.29
pancreatic_ductal_adenocarcinoma,pancreatic_ductal_adenocarcinoma_signature.csv,268,224,44,83.58
pancreatic_intraductal_papillary-mucinous_adenoma,pancreatic_intraductal_papillary-mucinous_adenoma_signature.csv,165,127,38,76.97
pancreatic_invasive_intraductal_papillary-mucinous_carcinoma,pancreatic_invasive_intraductal_papillary-mucinous_carcinoma_signature.csv,173,140,33,80.92
pancreatic_non-invasive_intraductal_papillary-mucinous_carcinoma,pancreatic_non-invasive_intraductal_papillary-mucinous_carcinoma_signature.csv,156,129,27,82.69
papillary_thyroid_carcinoma,papillary_thyroid_carcinoma_signature.csv,818,587,231,71.76
parasitic_protozoa_infectious_disease,parasitic_protozoa_infectious_disease_signature.csv,289,269,20,93.08
peripartum_cardiomyopathy,peripartum_cardiomyopathy_signature.csv,315,242,73,76.83
polycystic_ovary_syndrome,polycystic_ovary_syndrome_signature.csv,1572,1088,484,69.21
post-traumatic_stress_disorder,post-traumatic_stress_disorder_signature.csv,424,378,46,89.15
pre-eclampsia,pre-eclampsia_signature.csv,314,193,121,61.46
precursor_B_lymphoblastic_lymphoma_leukemia,precursor_B_lymphoblastic_lymphoma_leukemia_signature.csv,321,241,80,75.08
primary_open_angle_glaucoma,primary_open_angle_glaucoma_signature.csv,458,369,89,80.57
prolactinoma,prolactinoma_signature.csv,25,25,0,100.0
prostate_cancer,prostate_cancer_signature.csv,900,691,209,76.78
psoriasis,psoriasis_signature.csv,856,598,258,69.86
psoriatic_arthritis,psoriatic_arthritis_signature.csv,52,34,18,65.38
pulmonary_fibrosis,pulmonary_fibrosis_signature.csv,457,373,84,81.62
pulmonary_hypertension,pulmonary_hypertension_signature.csv,278,248,30,89.21
pulmonary_sarcoidosis,pulmonary_sarcoidosis_signature.csv,328,267,61,81.4
relapsing-remitting_multiple_sclerosis,relapsing-remitting_multiple_sclerosis_signature.csv,325,256,69,78.77
renal_cell_carcinoma,renal_cell_carcinoma_signature.csv,320,279,41,87.19
rheumatoid_arthritis,rheumatoid_arthritis_signature.csv,543,445,98,81.95
salivary_gland_adenoid_cystic_carcinoma,salivary_gland_adenoid_cystic_carcinoma_signature.csv,146,109,37,74.66
sarcoidosis,sarcoidosis_signature.csv,396,302,94,76.26
scleroderma,scleroderma_signature.csv,317,295,22,93.06
serous_cystadenocarcinoma,serous_cystadenocarcinoma_signature.csv,373,255,118,68.36
severe_acute_respiratory_syndrome,severe_acute_respiratory_syndrome_signature.csv,304,284,20,93.42
sickle_cell_anemia,sickle_cell_anemia_signature.csv,991,708,283,71.44
skin_squamous_cell_carcinoma,skin_squamous_cell_carcinoma_signature.csv,323,285,38,88.24
smoldering_myeloma,smoldering_myeloma_signature.csv,204,154,50,75.49
sporadic_breast_cancer,sporadic_breast_cancer_signature.csv,285,230,55,80.7
stomach_cancer,stomach_cancer_signature.csv,661,509,152,77.0
swine_influenza,swine_influenza_signature.csv,431,327,104,75.87
systemic_lupus_erythematosus,systemic_lupus_erythematosus_signature.csv,822,617,205,75.06
tendinitis,tendinitis_signature.csv,359,276,83,76.88
testicular_cancer,testicular_cancer_signature.csv,195,114,81,58.46
testis_seminoma,testis_seminoma_signature.csv,302,270,32,89.4
tuberculosis,tuberculosis_signature.csv,258,218,40,84.5
type_1_diabetes_mellitus,type_1_diabetes_mellitus_signature.csv,245,178,67,72.65
type_2_diabetes_mellitus,type_2_diabetes_mellitus_signature.csv,1313,880,433,67.02
ulcerative_colitis,ulcerative_colitis_signature.csv,1559,1029,530,66.0
urticaria,urticaria_signature.csv,273,196,77,71.79
uterine_fibroid,uterine_fibroid_signature.csv,419,375,44,89.5
