"disease","filename","genes_before_standardization","genes_after_standardization","genes_after_shared_gene_filter","change_standardization","change_filtering","total_change","retention_after_standardization_pct","retention_after_filtering_pct","retention_total_pct"
"lung_small_cell_carcinoma","lung_small_cell_carcinoma_signature.csv",599,375,260,-224,-115,-339,62.6,69.33,43.41
"lung_squamous_cell_carcinoma","lung_squamous_cell_carcinoma_signature.csv",1117,412,333,-705,-79,-784,36.88,80.83,29.81
"melanoma","melanoma_signature.csv",2591,1252,912,-1339,-340,-1679,48.32,72.84,35.2
"mental_depression","mental_depression_signature.csv",598,342,320,-256,-22,-278,57.19,93.57,53.51
"multiple_myeloma","multiple_myeloma_signature.csv",1389,602,466,-787,-136,-923,43.34,77.41,33.55
"multiple_sclerosis","multiple_sclerosis_signature.csv",1898,783,590,-1115,-193,-1308,41.25,75.35,31.09
"myelodysplastic_syndrome","myelodysplastic_syndrome_signature.csv",1189,475,366,-714,-109,-823,39.95,77.05,30.78
"myocardial_infarction","myocardial_infarction_signature.csv",596,239,180,-357,-59,-416,40.1,75.31,30.2
"nasopharynx_carcinoma","nasopharynx_carcinoma_signature.csv",1456,567,417,-889,-150,-1039,38.94,73.54,28.64
"nicotine_dependence","nicotine_dependence_signature.csv",599,284,228,-315,-56,-371,47.41,80.28,38.06
"obesity","obesity_signature.csv",947,455,374,-492,-81,-573,48.05,82.2,39.49
"osteoarthritis","osteoarthritis_signature.csv",598,326,269,-272,-57,-329,54.52,82.52,44.98
"osteoporosis","osteoporosis_signature.csv",596,241,200,-355,-41,-396,40.44,82.99,33.56
"ovarian_cancer","ovarian_cancer_signature.csv",597,282,205,-315,-77,-392,47.24,72.7,34.34
"pancreatic_cancer","pancreatic_cancer_signature.csv",1689,655,539,-1034,-116,-1150,38.78,82.29,31.91
"pancreatic_ductal_adenocarcinoma","pancreatic_ductal_adenocarcinoma_signature.csv",592,268,224,-324,-44,-368,45.27,83.58,37.84
"papillary_thyroid_carcinoma","papillary_thyroid_carcinoma_signature.csv",1518,818,587,-700,-231,-931,53.89,71.76,38.67
"polycystic_ovary_syndrome","polycystic_ovary_syndrome_signature.csv",3962,1572,1088,-2390,-484,-2874,39.68,69.21,27.46
"post-traumatic_stress_disorder","post-traumatic_stress_disorder_signature.csv",596,424,378,-172,-46,-218,71.14,89.15,63.42
"pre-eclampsia","pre-eclampsia_signature.csv",600,314,193,-286,-121,-407,52.33,61.46,32.17
"primary_open_angle_glaucoma","primary_open_angle_glaucoma_signature.csv",1001,458,369,-543,-89,-632,45.75,80.57,36.86
"prostate_cancer","prostate_cancer_signature.csv",2475,900,691,-1575,-209,-1784,36.36,76.78,27.92
"psoriasis","psoriasis_signature.csv",2784,856,598,-1928,-258,-2186,30.75,69.86,21.48
"psoriatic_arthritis","psoriatic_arthritis_signature.csv",599,52,34,-547,-18,-565,8.68,65.38,5.68
"pulmonary_hypertension","pulmonary_hypertension_signature.csv",600,278,248,-322,-30,-352,46.33,89.21,41.33
"relapsing-remitting_multiple_sclerosis","relapsing-remitting_multiple_sclerosis_signature.csv",595,325,256,-270,-69,-339,54.62,78.77,43.03
"renal_cell_carcinoma","renal_cell_carcinoma_signature.csv",600,320,279,-280,-41,-321,53.33,87.19,46.5
"rheumatoid_arthritis","rheumatoid_arthritis_signature.csv",1877,543,445,-1334,-98,-1432,28.93,81.95,23.71
"sarcoidosis","sarcoidosis_signature.csv",1036,396,302,-640,-94,-734,38.22,76.26,29.15
"severe_acute_respiratory_syndrome","severe_acute_respiratory_syndrome_signature.csv",600,304,284,-296,-20,-316,50.67,93.42,47.33
"sickle_cell_anemia","sickle_cell_anemia_signature.csv",1984,991,708,-993,-283,-1276,49.95,71.44,35.69
"stomach_cancer","stomach_cancer_signature.csv",1573,661,509,-912,-152,-1064,42.02,77,32.36
"systemic_lupus_erythematosus","systemic_lupus_erythematosus_signature.csv",2648,822,617,-1826,-205,-2031,31.04,75.06,23.3
"testicular_cancer","testicular_cancer_signature.csv",600,195,114,-405,-81,-486,32.5,58.46,19
"tuberculosis","tuberculosis_signature.csv",595,258,218,-337,-40,-377,43.36,84.5,36.64
"type_1_diabetes_mellitus","type_1_diabetes_mellitus_signature.csv",597,245,178,-352,-67,-419,41.04,72.65,29.82
"type_2_diabetes_mellitus","type_2_diabetes_mellitus_signature.csv",2498,1313,880,-1185,-433,-1618,52.56,67.02,35.23
"ulcerative_colitis","ulcerative_colitis_signature.csv",4292,1559,1029,-2733,-530,-3263,36.32,66,23.97
"urticaria","urticaria_signature.csv",567,273,196,-294,-77,-371,48.15,71.79,34.57
"uterine_fibroid","uterine_fibroid_signature.csv",1101,419,375,-682,-44,-726,38.06,89.5,34.06
